   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_203.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0277385, 406, 0, 0, 20.199, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.01987, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120015, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00413294, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00373559, 0, 3.75867e-23, 0, 1.41421, -3.75867e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.846e-25, 0, 0, 2.14266e-28, 4.98669e-27, 0, 3.71969e-23, 0, 0, 0
0.0116041, 0, 9.83653e-23, 0, 1.41421, -9.83653e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0065e-24, 0, 0, 5.6532e-28, 1.3481e-26, 0, 9.73447e-23, 0, 0, 0
0.0194727, 0, 2.51869e-22, 0, 1.41421, -2.51869e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57719e-24, 0, 0, 1.45972e-27, 3.55748e-26, 0, 2.49255e-22, 0, 0, 0
0.0273412, 0, 6.32009e-22, 0, 1.41421, -6.32009e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.46685e-24, 0, 0, 3.69457e-27, 9.18215e-26, 0, 6.25447e-22, 0, 0, 0
0.0352097, 0, 1.5562e-21, 0, 1.41421, -1.5562e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59233e-23, 0, 0, 9.17821e-27, 2.32195e-25, 0, 1.54004e-21, 0, 0, 0
0.0430783, 0, 3.76447e-21, 0, 1.41421, -3.76447e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85186e-23, 0, 0, 2.24053e-26, 5.76089e-25, 0, 3.72535e-21, 0, 0, 0
