   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_208.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284132, 416, 0, 0, 20.445, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205443, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126755, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00480659, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00306228, 0, 4.03829e-23, 0, 1.41421, -4.03829e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10548e-27, 0, 0, 4.03788e-23, 0, 0, 0
0.0109311, 0, 1.07532e-22, 0, 1.41421, -1.07532e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11013e-26, 0, 0, 1.07521e-22, 0, 0, 0
0.0188, 0, 2.79663e-22, 0, 1.41421, -2.79663e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9318e-26, 0, 0, 2.79633e-22, 0, 0, 0
0.0266689, 0, 7.1172e-22, 0, 1.41421, -7.1172e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57667e-26, 0, 0, 7.11644e-22, 0, 0, 0
0.0345378, 0, 1.77523e-21, 0, 1.41421, -1.77523e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91914e-25, 0, 0, 1.77504e-21, 0, 0, 0
0.0424066, 0, 4.34561e-21, 0, 1.41421, -4.34561e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77093e-25, 0, 0, 4.34513e-21, 0, 0, 0
0.0502755, 0, 1.04517e-20, 0, 1.41421, -1.04517e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16538e-24, 0, 0, 1.04506e-20, 0, 0, 0
0.0581444, 0, 2.47228e-20, 0, 1.41421, -2.47228e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79988e-24, 0, 0, 2.472e-20, 0, 0, 0
0.0660132, 0, 5.75634e-20, 0, 1.41421, -5.75634e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.622e-24, 0, 0, 5.75568e-20, 0, 0, 0
0.0738821, 0, 1.32026e-19, 0, 1.41421, -1.32026e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54293e-23, 0, 0, 1.3201e-19, 0, 0, 0
