   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_209.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0270451, 418, 0, 0, 20.4939, 418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0191778, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0113105, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00344317, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00442413, 0, 3.83193e-26, 0, 1.41421, -3.83193e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01127e-30, 0, 0, 3.83183e-26, 0, 0, 0
0.0122914, 0, 1.57922e-25, 0, 1.41421, -1.57922e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18282e-30, 0, 0, 1.57918e-25, 0, 0, 0
0.0201587, 0, 5.92168e-25, 0, 1.41421, -5.92168e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57626e-29, 0, 0, 5.92152e-25, 0, 0, 0
0.028026, 0, 2.06877e-24, 0, 1.41421, -2.06877e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53879e-29, 0, 0, 2.06872e-24, 0, 0, 0
0.0358934, 0, 6.83323e-24, 0, 1.41421, -6.83323e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84107e-28, 0, 0, 6.83305e-24, 0, 0, 0
0.0437607, 0, 2.18652e-23, 0, 1.41421, -2.18652e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94163e-28, 0, 0, 2.18647e-23, 0, 0, 0
0.051628, 0, 6.68757e-23, 0, 1.41421, -6.68757e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8321e-27, 0, 0, 6.68739e-23, 0, 0, 0
0.0594953, 0, 1.96928e-22, 0, 1.41421, -1.96928e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43789e-27, 0, 0, 1.96923e-22, 0, 0, 0
0.0673626, 0, 5.61134e-22, 0, 1.41421, -5.61134e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5617e-26, 0, 0, 5.61119e-22, 0, 0, 0
0.0752299, 0, 1.55295e-21, 0, 1.41421, -1.55295e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35615e-26, 0, 0, 1.55291e-21, 0, 0, 0
0.0830972, 0, 4.54413e-21, 0, 1.41421, -4.54413e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29107e-25, 0, 0, 4.544e-21, 0, 0, 0
