   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_220.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0283601, 440, 0, 0, 21.0238, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0204914, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126226, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0047539, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00311484, 0, 2.17598e-23, 0, 1.41421, -2.17598e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.11281e-26, 0, 0, 5.44335e-29, 0, 0, 2.17386e-23, 0, 0, 0
0.0109836, 0, 6.02553e-23, 0, 1.41421, -6.02553e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85062e-26, 0, 0, 1.52859e-28, 0, 0, 6.01967e-23, 0, 0, 0
0.0188523, 0, 1.62162e-22, 0, 1.41421, -1.62162e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57454e-25, 0, 0, 4.1714e-28, 0, 0, 1.62004e-22, 0, 0, 0
0.0267211, 0, 4.25415e-22, 0, 1.41421, -4.25415e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13065e-25, 0, 0, 1.10961e-27, 0, 0, 4.25e-22, 0, 0, 0
0.0345898, 0, 1.09046e-21, 0, 1.41421, -1.09046e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05881e-24, 0, 0, 2.88406e-27, 0, 0, 1.0894e-21, 0, 0, 0
0.0424585, 0, 2.73637e-21, 0, 1.41421, -2.73637e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65693e-24, 0, 0, 7.33891e-27, 0, 0, 2.7337e-21, 0, 0, 0
0.0503273, 0, 6.73264e-21, 0, 1.41421, -6.73264e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.53719e-24, 0, 0, 1.83125e-26, 0, 0, 6.72608e-21, 0, 0, 0
0.058196, 0, 1.62637e-20, 0, 1.41421, -1.62637e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57915e-23, 0, 0, 4.48685e-26, 0, 0, 1.62478e-20, 0, 0, 0
0.0660647, 0, 3.86156e-20, 0, 1.41421, -3.86156e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74946e-23, 0, 0, 1.08071e-25, 0, 0, 3.8578e-20, 0, 0, 0
0.0739335, 0, 9.0206e-20, 0, 1.41421, -9.0206e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75874e-23, 0, 0, 2.56138e-25, 0, 0, 9.01182e-20, 0, 0, 0
0.0818022, 0, 2.07492e-19, 0, 1.41421, -2.07492e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01469e-22, 0, 0, 5.97874e-25, 0, 0, 2.0729e-19, 0, 0, 0
0.0896709, 0, 4.703e-19, 0, 1.41421, -4.703e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56648e-22, 0, 0, 1.37542e-24, 0, 0, 4.69842e-19, 0, 0, 0
0.0975397, 0, 1.05108e-18, 0, 1.41421, -1.05108e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02056e-21, 0, 0, 3.12056e-24, 0, 0, 1.05005e-18, 0, 0, 0
0.105408, 0, 2.31751e-18, 0, 1.41421, -2.31751e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25024e-21, 0, 0, 6.98635e-24, 0, 0, 2.31525e-18, 0, 0, 0
0.113277, 0, 5.04373e-18, 0, 1.41421, -5.04373e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89731e-21, 0, 0, 1.54422e-23, 0, 0, 5.03881e-18, 0, 0, 0
0.121146, 0, 1.08397e-17, 0, 1.41421, -1.08397e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0525e-20, 0, 0, 3.37134e-23, 0, 0, 1.08291e-17, 0, 0, 0
0.129015, 0, 2.30136e-17, 0, 1.41421, -2.30136e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23456e-20, 0, 0, 7.27292e-23, 0, 0, 2.29912e-17, 0, 0, 0
0.136883, 0, 4.82847e-17, 0, 1.41421, -4.82847e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68831e-20, 0, 0, 1.5509e-22, 0, 0, 4.82377e-17, 0, 0, 0
0.144752, 0, 1.00145e-16, 0, 1.41421, -1.00145e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72375e-20, 0, 0, 3.27015e-22, 0, 0, 1.00047e-16, 0, 0, 0
0.152621, 0, 2.05382e-16, 0, 1.41421, -2.05382e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9942e-19, 0, 0, 6.82012e-22, 0, 0, 2.05182e-16, 0, 0, 0
0.16049, 0, 4.16604e-16, 0, 1.41421, -4.16604e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0451e-19, 0, 0, 1.40725e-21, 0, 0, 4.16198e-16, 0, 0, 0
0.168358, 0, 8.36014e-16, 0, 1.41421, -8.36014e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.11744e-19, 0, 0, 2.87351e-21, 0, 0, 8.35199e-16, 0, 0, 0
0.176227, 0, 1.66006e-15, 0, 1.41421, -1.66006e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61187e-18, 0, 0, 5.80782e-21, 0, 0, 1.65844e-15, 0, 0, 0
0.184096, 0, 3.26241e-15, 0, 1.41421, -3.26241e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16769e-18, 0, 0, 1.16215e-20, 0, 0, 3.25923e-15, 0, 0, 0
0.191965, 0, 6.34648e-15, 0, 1.41421, -6.34648e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16222e-18, 0, 0, 2.30272e-20, 0, 0, 6.3403e-15, 0, 0, 0
0.199833, 0, 1.2223e-14, 0, 1.41421, -1.2223e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18681e-17, 0, 0, 4.51882e-20, 0, 0, 1.22111e-14, 0, 0, 0
0.207702, 0, 2.33098e-14, 0, 1.41421, -2.33098e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26329e-17, 0, 0, 8.78383e-20, 0, 0, 2.3287e-14, 0, 0, 0
0.215571, 0, 4.40222e-14, 0, 1.41421, -4.40222e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27437e-17, 0, 0, 1.69155e-19, 0, 0, 4.39793e-14, 0, 0, 0
0.223439, 0, 8.23443e-14, 0, 1.41421, -8.23443e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99526e-17, 0, 0, 3.22764e-19, 0, 0, 8.2264e-14, 0, 0, 0
0.231308, 0, 1.52572e-13, 0, 1.41421, -1.52572e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4814e-16, 0, 0, 6.10364e-19, 0, 0, 1.52423e-13, 0, 0, 0
0.239177, 0, 2.80052e-13, 0, 1.41421, -2.80052e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71917e-16, 0, 0, 1.14403e-18, 0, 0, 2.79779e-13, 0, 0, 0
0.247046, 0, 5.10398e-13, 0, 1.41421, -5.10398e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95572e-16, 0, 0, 2.13368e-18, 0, 0, 5.099e-13, 0, 0, 0
0.254914, 0, 9.19416e-13, 0, 1.41421, -9.19416e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92711e-16, 0, 0, 3.9292e-18, 0, 0, 9.1852e-13, 0, 0, 0
0.262783, 0, 1.64126e-12, 0, 1.41421, -1.64126e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59359e-15, 0, 0, 7.17551e-18, 0, 0, 1.63966e-12, 0, 0, 0
0.270652, 0, 2.90359e-12, 0, 1.41421, -2.90359e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81929e-15, 0, 0, 1.29972e-17, 0, 0, 2.90075e-12, 0, 0, 0
0.278521, 0, 5.09113e-12, 0, 1.41421, -5.09113e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94341e-15, 0, 0, 2.33545e-17, 0, 0, 5.08616e-12, 0, 0, 0
0.286389, 0, 8.84801e-12, 0, 1.41421, -8.84801e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5915e-15, 0, 0, 4.16399e-17, 0, 0, 8.83938e-12, 0, 0, 0
0.294258, 0, 1.52425e-11, 0, 1.41421, -1.52425e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48011e-14, 0, 0, 7.36831e-17, 0, 0, 1.52276e-11, 0, 0, 0
0.302127, 0, 2.60296e-11, 0, 1.41421, -2.60296e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52773e-14, 0, 0, 1.29437e-16, 0, 0, 2.60042e-11, 0, 0, 0
0.309996, 0, 4.40662e-11, 0, 1.41421, -4.40662e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27958e-14, 0, 0, 2.25792e-16, 0, 0, 4.40232e-11, 0, 0, 0
0.317864, 0, 7.39598e-11, 0, 1.41421, -7.39598e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18347e-14, 0, 0, 3.91255e-16, 0, 0, 7.38875e-11, 0, 0, 0
0.325733, 0, 1.23072e-10, 3.06884e-43, 1.41421, -1.23072e-10, 0, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 3.06884e-43, 1.19552e-13, 3.06884e-43, 3.06884e-43, 6.73711e-16, 3.06884e-43, 3.06884e-43, 1.22951e-10, 3.06884e-43, 3.06884e-43, 3.06884e-43
0.333602, 0, 2.03055e-10, 5.31933e-42, 1.41421, -2.03055e-10, 0, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 5.31933e-42, 1.97282e-13, 5.31933e-42, 5.31933e-42, 1.15326e-15, 5.31933e-42, 5.31933e-42, 2.02857e-10, 5.31933e-42, 5.31933e-42, 5.31933e-42
0.341471, 0, 3.32189e-10, 7.60667e-41, 1.41421, -3.32189e-10, 0, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 7.60667e-41, 3.2282e-13, 7.60667e-41, 7.60667e-41, 1.96345e-15, 7.60667e-41, 7.60667e-41, 3.31864e-10, 7.60667e-41, 7.60667e-41, 7.60667e-41
0.349339, 0, 5.38884e-10, 9.64645e-40, 1.41421, -5.38884e-10, 0, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 9.64645e-40, 5.23839e-13, 9.64645e-40, 9.64645e-40, 3.32637e-15, 9.64645e-40, 9.64645e-40, 5.38357e-10, 9.64645e-40, 9.64645e-40, 9.64645e-40
0.357208, 0, 8.66888e-10, 1.09397e-38, 1.41421, -8.66888e-10, 0, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 1.09397e-38, 8.43002e-13, 1.09397e-38, 1.09397e-38, 5.61056e-15, 1.09397e-38, 1.09397e-38, 8.66039e-10, 1.09397e-38, 1.09397e-38, 1.09397e-38
0.365077, 0, 1.38296e-09, 1.12183e-37, 1.41421, -1.38296e-09, 0, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.12183e-37, 1.34549e-12, 1.12183e-37, 1.12183e-37, 9.42705e-15, 1.12183e-37, 1.12183e-37, 1.38161e-09, 1.12183e-37, 1.12183e-37, 1.12183e-37
0.372945, 0, 2.18805e-09, 1.04558e-36, 1.41421, -2.18805e-09, 0, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 1.04558e-36, 2.13003e-12, 1.04558e-36, 1.04558e-36, 1.57881e-14, 1.04558e-36, 1.04558e-36, 2.18591e-09, 1.04558e-36, 1.04558e-36, 1.04558e-36
0.380814, 0, 3.43343e-09, 8.91513e-36, 1.41421, -3.43343e-09, 0, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 8.91513e-36, 3.34485e-12, 8.91513e-36, 8.91513e-36, 2.63706e-14, 8.91513e-36, 8.91513e-36, 3.43006e-09, 8.91513e-36, 8.91513e-36, 8.91513e-36
0.388683, 0, 5.34374e-09, 6.98074e-35, 1.41421, -5.34374e-09, 0, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 6.98074e-35, 5.2106e-12, 6.98074e-35, 6.98074e-35, 4.39529e-14, 6.98074e-35, 6.98074e-35, 5.33848e-09, 6.98074e-35, 6.98074e-35, 6.98074e-35
0.396552, 0, 8.24955e-09, 5.04144e-34, 1.41421, -8.24955e-09, 0, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 5.04144e-34, 8.05295e-12, 5.04144e-34, 5.04144e-34, 7.31395e-14, 5.04144e-34, 5.04144e-34, 8.24143e-09, 5.04144e-34, 5.04144e-34, 5.04144e-34
0.40442, 0, 1.2633e-08, 3.47187e-33, 1.41421, -1.2633e-08, 0, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 3.47187e-33, 1.23486e-11, 3.47187e-33, 3.47187e-33, 1.21563e-13, 3.47187e-33, 3.47187e-33, 1.26206e-08, 3.47187e-33, 3.47187e-33, 3.47187e-33
0.412289, 0, 1.91913e-08, 1.96923e-32, 1.41421, -1.91913e-08, 0, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.96923e-32, 1.87899e-11, 1.96923e-32, 1.96923e-32, 2.01872e-13, 1.96923e-32, 1.96923e-32, 1.91723e-08, 1.96923e-32, 1.96923e-32, 1.96923e-32
0.420158, 0, 2.89231e-08, 1.14423e-31, 1.41421, -2.89231e-08, 0, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 1.14423e-31, 2.83738e-11, 1.14423e-31, 1.14423e-31, 3.35019e-13, 1.14423e-31, 1.14423e-31, 2.88944e-08, 1.14423e-31, 1.14423e-31, 1.14423e-31
0.428027, 0, 4.32471e-08, 5.92314e-31, 1.41421, -4.32471e-08, 0, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 5.92314e-31, 4.25252e-11, 5.92314e-31, 5.92314e-31, 5.55662e-13, 5.92314e-31, 5.92314e-31, 4.32041e-08, 5.92314e-31, 5.92314e-31, 5.92314e-31
0.435895, 0, 6.41608e-08, 3.02519e-30, 1.41421, -6.41608e-08, 0, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 3.02519e-30, 6.32653e-11, 3.02519e-30, 3.02519e-30, 9.2102e-13, 3.02519e-30, 3.02519e-30, 6.40966e-08, 3.02519e-30, 3.02519e-30, 3.02519e-30
0.443764, 0, 9.44523e-08, 1.48201e-29, 1.41421, -9.44523e-08, 0, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 1.48201e-29, 9.34397e-11, 1.48201e-29, 1.48201e-29, 1.5253e-12, 1.48201e-29, 1.48201e-29, 9.43573e-08, 1.48201e-29, 1.48201e-29, 1.48201e-29
0.451633, 0, 1.37981e-07, 6.9076e-29, 1.41421, -1.37981e-07, 0, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 6.9076e-29, 1.37027e-10, 6.9076e-29, 6.9076e-29, 2.52303e-12, 6.9076e-29, 6.9076e-29, 1.37841e-07, 6.9076e-29, 6.9076e-29, 6.9076e-29
0.459502, 0, 2.0004e-07, 3.12729e-28, 1.41421, -2.0004e-07, 0, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 3.12729e-28, 1.99547e-10, 3.12729e-28, 3.12729e-28, 4.16659e-12, 3.12729e-28, 3.12729e-28, 1.99837e-07, 3.12729e-28, 3.12729e-28, 3.12729e-28
0.46737, 0, 2.87836e-07, 1.3588e-27, 1.41421, -2.87836e-07, 0, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 1.3588e-27, 2.88616e-10, 1.3588e-27, 1.3588e-27, 6.86605e-12, 1.3588e-27, 1.3588e-27, 2.87541e-07, 1.3588e-27, 1.3588e-27, 1.3588e-27
0.475239, 0, 4.11091e-07, 5.63872e-27, 1.41421, -4.11091e-07, 0, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 5.63872e-27, 4.14663e-10, 5.63872e-27, 5.63872e-27, 1.12839e-11, 5.63872e-27, 5.63872e-27, 4.10666e-07, 5.63872e-27, 5.63872e-27, 5.63872e-27
0.483108, 0, 5.82817e-07, 2.23534e-26, 1.41421, -5.82817e-07, 0, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 2.23534e-26, 5.91884e-10, 2.23534e-26, 2.23534e-26, 1.84831e-11, 2.23534e-26, 2.23534e-26, 5.82206e-07, 2.23534e-26, 2.23534e-26, 2.23534e-26
0.490977, 0, 8.20293e-07, 8.47328e-26, 1.41421, -8.20293e-07, 0, 8.47328e-26, 8.47328e-26, 8.47328e-26, 8.47328e-26, 8.47328e-26, 8.47328e-26, 8.47328e-26, 8.43298e-12, 8.47328e-26, 8.47328e-26, 8.47328e-26, 8.39481e-10, 8.47328e-26, 8.47328e-26, 3.01582e-11, 8.47328e-26, 8.47328e-26, 8.19415e-07, 8.47328e-26, 8.47328e-26, 8.47328e-26
0.498845, 0, 1.14626e-06, 3.07589e-25, 1.41421, -1.14626e-06, 0, 3.07589e-25, 3.07589e-25, 3.07589e-25, 3.07589e-25, 3.07589e-25, 3.07589e-25, 3.07589e-25, 2.92083e-11, 3.07589e-25, 3.07589e-25, 3.07589e-25, 1.18326e-09, 3.07589e-25, 3.07589e-25, 4.89883e-11, 3.07589e-25, 3.07589e-25, 1.145e-06, 3.07589e-25, 3.07589e-25, 3.07589e-25
0.506714, 0, 1.59043e-06, 1.08024e-24, 1.41421, -1.59043e-06, 0, 1.08024e-24, 1.08024e-24, 1.08024e-24, 1.08024e-24, 1.08024e-24, 1.08024e-24, 1.08024e-24, 7.86871e-11, 1.08024e-24, 1.08024e-24, 1.08024e-24, 1.65771e-09, 1.08024e-24, 1.08024e-24, 7.91785e-11, 1.08024e-24, 1.08024e-24, 1.58862e-06, 1.08024e-24, 1.08024e-24, 1.08024e-24
0.514583, 0, 2.19508e-06, 4.73378e-10, 1.41421, -2.19508e-06, 4.73378e-10, 4.73387e-10, 4.73414e-10, 1.41696e-09, 4.99962e-10, 4.73459e-10, 5.54243e-10, 4.75488e-10, 1.06221e-09, 1.2629e-09, 4.78804e-10, 1.0981e-09, 2.78207e-09, 4.75902e-10, 4.77946e-10, 6.0065e-10, 4.73378e-10, 4.7338e-10, 2.18954e-06, 4.73378e-10, 4.73378e-10, 5.03427e-10
0.522451, 0, 3.01342e-06, 1.83423e-09, 1.41421, -3.01342e-06, 1.83423e-09, 1.83427e-09, 1.83437e-09, 5.48423e-09, 1.93706e-09, 1.83454e-09, 2.14704e-09, 1.84239e-09, 3.81981e-09, 4.88828e-09, 1.85522e-09, 4.25081e-09, 5.03092e-09, 1.84399e-09, 1.8519e-09, 2.03767e-09, 1.83423e-09, 1.83424e-09, 2.99833e-06, 1.83423e-09, 1.83423e-09, 1.95047e-09
0.53032, 0, 4.1128e-06, 4.58513e-09, 1.41421, -4.1128e-06, 4.58513e-09, 4.58522e-09, 4.58548e-09, 1.37063e-08, 4.84211e-09, 4.58591e-09, 5.36682e-09, 4.60553e-09, 9.43101e-09, 1.2217e-08, 4.63758e-09, 1.0624e-08, 8.98611e-09, 4.60953e-09, 4.62929e-09, 4.90819e-09, 4.58513e-09, 4.58515e-09, 4.07897e-06, 4.58513e-09, 4.58513e-09, 4.8756e-09
