   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_224.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0307125, 448, 0, 0, 21.2132, 448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0228413, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0149701, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0070989, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000772317, 0, 2.13932e-24, 0, 1.41421, -2.13932e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35842e-26, 0, 0, 8.03649e-30, 0, 9.57481e-29, 0, 2.12563e-24, 0, 0, 0
0.00864353, 0, 6.37957e-24, 0, 1.41421, -6.37957e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05089e-26, 0, 0, 2.42448e-29, 0, 2.96749e-28, 0, 6.33874e-24, 0, 0, 0
0.0165148, 0, 1.83992e-23, 0, 1.41421, -1.83992e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16831e-25, 0, 0, 7.07582e-29, 0, 8.8542e-28, 0, 1.82814e-23, 0, 0, 0
0.024386, 0, 5.15156e-23, 0, 1.41421, -5.15156e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27112e-25, 0, 0, 2.00517e-28, 0, 2.55584e-27, 0, 5.11858e-23, 0, 0, 0
0.0322572, 0, 1.40439e-22, 0, 1.41421, -1.40439e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91752e-25, 0, 0, 5.53361e-28, 0, 7.164e-27, 0, 1.39539e-22, 0, 0, 0
0.0401284, 0, 3.73655e-22, 0, 1.41421, -3.73655e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37262e-24, 0, 0, 1.49063e-27, 0, 1.95563e-26, 0, 3.71261e-22, 0, 0, 0
0.0479996, 0, 9.72133e-22, 0, 1.41421, -9.72133e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1728e-24, 0, 0, 3.92707e-27, 0, 5.21123e-26, 0, 9.65905e-22, 0, 0, 0
0.0558708, 0, 2.47714e-21, 0, 1.41421, -2.47714e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57292e-23, 0, 0, 1.01347e-26, 0, 1.35818e-25, 0, 2.46127e-21, 0, 0, 0
0.063742, 0, 6.1906e-21, 0, 1.41421, -6.1906e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93086e-23, 0, 0, 2.56555e-26, 0, 3.46768e-25, 0, 6.15092e-21, 0, 0, 0
0.0716133, 0, 1.51906e-20, 0, 1.41421, -1.51906e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64558e-23, 0, 0, 6.37804e-26, 0, 8.68518e-25, 0, 1.50932e-20, 0, 0, 0
0.0794845, 0, 3.66359e-20, 0, 1.41421, -3.66359e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32627e-22, 0, 0, 1.55872e-25, 0, 2.13639e-24, 0, 3.6401e-20, 0, 0, 0
0.0873557, 0, 8.69171e-20, 0, 1.41421, -8.69171e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51898e-22, 0, 0, 3.74797e-25, 0, 5.16627e-24, 0, 8.63597e-20, 0, 0, 0
0.0952269, 0, 2.03003e-19, 0, 1.41421, -2.03003e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28901e-21, 0, 0, 8.87385e-25, 0, 1.22929e-23, 0, 2.01701e-19, 0, 0, 0
0.103098, 0, 4.67074e-19, 0, 1.41421, -4.67074e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96577e-21, 0, 0, 2.07018e-24, 0, 2.88033e-23, 0, 4.64077e-19, 0, 0, 0
0.110969, 0, 1.05928e-18, 0, 1.41421, -1.05928e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7261e-21, 0, 0, 4.76148e-24, 0, 6.65025e-23, 0, 1.05248e-18, 0, 0, 0
0.118841, 0, 2.36924e-18, 0, 1.41421, -2.36924e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50439e-20, 0, 0, 1.08031e-23, 0, 1.51393e-22, 0, 2.35404e-18, 0, 0, 0
0.126712, 0, 5.22856e-18, 0, 1.41421, -5.22856e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31996e-20, 0, 0, 2.41902e-23, 0, 3.40002e-22, 0, 5.195e-18, 0, 0, 0
0.134583, 0, 1.13897e-17, 0, 1.41421, -1.13897e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23208e-20, 0, 0, 5.34809e-23, 0, 7.53659e-22, 0, 1.13166e-17, 0, 0, 0
0.142454, 0, 2.45e-17, 0, 1.41421, -2.45e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55566e-19, 0, 0, 1.16788e-22, 0, 1.64961e-21, 0, 2.43427e-17, 0, 0, 0
0.150325, 0, 5.20583e-17, 0, 1.41421, -5.20583e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30552e-19, 0, 0, 2.51994e-22, 0, 3.56673e-21, 0, 5.17239e-17, 0, 0, 0
0.158197, 0, 1.09302e-16, 0, 1.41421, -1.09302e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94026e-19, 0, 0, 5.37453e-22, 0, 7.62142e-21, 0, 1.086e-16, 0, 0, 0
0.166068, 0, 2.26825e-16, 0, 1.41421, -2.26825e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44025e-18, 0, 0, 1.13332e-21, 0, 1.60987e-20, 0, 2.25367e-16, 0, 0, 0
0.173939, 0, 4.65363e-16, 0, 1.41421, -4.65363e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95487e-18, 0, 0, 2.36341e-21, 0, 3.36255e-20, 0, 4.62372e-16, 0, 0, 0
0.18181, 0, 9.44131e-16, 0, 1.41421, -9.44131e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99485e-18, 0, 0, 4.87545e-21, 0, 6.94698e-20, 0, 9.38062e-16, 0, 0, 0
0.189682, 0, 1.91021e-15, 0, 1.41421, -1.91021e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2129e-17, 0, 0, 1.00618e-20, 0, 1.43618e-19, 0, 1.89793e-15, 0, 0, 0
0.197553, 0, 3.78807e-15, 0, 1.41421, -3.78807e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40526e-17, 0, 0, 2.02991e-20, 0, 2.90165e-19, 0, 3.76371e-15, 0, 0, 0
0.205424, 0, 7.43364e-15, 0, 1.41421, -7.43364e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.72001e-17, 0, 0, 4.05408e-20, 0, 5.80373e-19, 0, 7.38582e-15, 0, 0, 0
0.213295, 0, 1.44377e-14, 0, 1.41421, -1.44377e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.16721e-17, 0, 0, 8.01669e-20, 0, 1.14944e-18, 0, 1.43448e-14, 0, 0, 0
0.221166, 0, 2.77567e-14, 0, 1.41421, -2.77567e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7624e-16, 0, 0, 1.56983e-19, 0, 2.25458e-18, 0, 2.7578e-14, 0, 0, 0
0.229038, 0, 5.28283e-14, 0, 1.41421, -5.28283e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35431e-16, 0, 0, 3.04473e-19, 0, 4.38052e-18, 0, 5.24882e-14, 0, 0, 0
0.236909, 0, 9.95512e-14, 0, 1.41421, -9.95512e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.32091e-16, 0, 0, 5.84981e-19, 0, 8.43215e-18, 0, 9.891e-14, 0, 0, 0
0.24478, 0, 1.85761e-13, 0, 1.41421, -1.85761e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17947e-15, 0, 0, 1.11352e-18, 0, 1.60834e-17, 0, 1.84564e-13, 0, 0, 0
