   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0275896, 474, 0, 0, 21.8174, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0197224, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00398803, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00387917, 0, 1.60069e-22, 0, 1.41421, -1.60069e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97633e-25, 0, 0, 3.03594e-28, 0, 0, 1.59771e-22, 0, 0, 0
0.0117464, 0, 4.10944e-22, 0, 1.41421, -4.10944e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64109e-25, 0, 0, 7.86181e-28, 0, 0, 4.10179e-22, 0, 0, 0
0.0196136, 0, 1.0326e-21, 0, 1.41421, -1.0326e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92001e-24, 0, 0, 1.99313e-27, 0, 0, 1.03068e-21, 0, 0, 0
0.0274808, 0, 2.54356e-21, 0, 1.41421, -2.54356e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7295e-24, 0, 0, 4.95467e-27, 0, 0, 2.53882e-21, 0, 0, 0
0.035348, 0, 6.15021e-21, 0, 1.41421, -6.15021e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14357e-23, 0, 0, 1.20931e-26, 0, 0, 6.13876e-21, 0, 0, 0
0.0432152, 0, 1.4614e-20, 0, 1.41421, -1.4614e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71733e-23, 0, 0, 2.90131e-26, 0, 0, 1.45868e-20, 0, 0, 0
0.0510824, 0, 3.41588e-20, 0, 1.41421, -3.41588e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35149e-23, 0, 0, 6.84877e-26, 0, 0, 3.40952e-20, 0, 0, 0
0.0589496, 0, 7.86065e-20, 0, 1.41421, -7.86065e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46161e-22, 0, 0, 1.59207e-25, 0, 0, 7.84601e-20, 0, 0, 0
0.0668168, 0, 1.78221e-19, 0, 1.41421, -1.78221e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31385e-22, 0, 0, 3.64724e-25, 0, 0, 1.7789e-19, 0, 0, 0
0.0746839, 0, 3.98374e-19, 0, 1.41421, -3.98374e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.40738e-22, 0, 0, 8.23967e-25, 0, 0, 3.97633e-19, 0, 0, 0
0.0825512, 0, 8.78607e-19, 0, 1.41421, -8.78607e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63368e-21, 0, 0, 1.83748e-24, 0, 0, 8.76972e-19, 0, 0, 0
0.0904184, 0, 1.96827e-18, 0, 1.41421, -1.96827e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65981e-21, 0, 0, 4.1813e-24, 0, 0, 1.96461e-18, 0, 0, 0
0.0982855, 0, 4.21691e-18, 0, 1.41421, -4.21691e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84092e-21, 0, 0, 9.06086e-24, 0, 0, 4.20906e-18, 0, 0, 0
0.106153, 0, 8.92734e-18, 0, 1.41421, -8.92734e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65995e-20, 0, 0, 1.94075e-23, 0, 0, 8.91072e-18, 0, 0, 0
0.11402, 0, 1.86817e-17, 0, 1.41421, -1.86817e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47369e-20, 0, 0, 4.11022e-23, 0, 0, 1.8647e-17, 0, 0, 0
0.121887, 0, 3.86555e-17, 0, 1.41421, -3.86555e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18761e-20, 0, 0, 8.60975e-23, 0, 0, 3.85835e-17, 0, 0, 0
0.129754, 0, 7.91088e-17, 0, 1.41421, -7.91088e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47095e-19, 0, 0, 1.78431e-22, 0, 0, 7.89615e-17, 0, 0, 0
0.137622, 0, 1.60164e-16, 0, 1.41421, -1.60164e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.97808e-19, 0, 0, 3.65946e-22, 0, 0, 1.59865e-16, 0, 0, 0
0.145489, 0, 3.20869e-16, 0, 1.41421, -3.20869e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96624e-19, 0, 0, 7.42905e-22, 0, 0, 3.20272e-16, 0, 0, 0
0.153356, 0, 6.36218e-16, 0, 1.41421, -6.36218e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18298e-18, 0, 0, 1.49318e-21, 0, 0, 6.35034e-16, 0, 0, 0
0.161223, 0, 1.24877e-15, 0, 1.41421, -1.24877e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32196e-18, 0, 0, 2.97196e-21, 0, 0, 1.24644e-15, 0, 0, 0
0.16909, 0, 2.42677e-15, 0, 1.41421, -2.42677e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51233e-18, 0, 0, 5.85875e-21, 0, 0, 2.42225e-15, 0, 0, 0
0.176958, 0, 4.66999e-15, 0, 1.41421, -4.66999e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68337e-18, 0, 0, 1.14413e-20, 0, 0, 4.6613e-15, 0, 0, 0
0.184825, 0, 8.90041e-15, 0, 1.41421, -8.90041e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65494e-17, 0, 0, 2.2137e-20, 0, 0, 8.88384e-15, 0, 0, 0
0.192692, 0, 1.68023e-14, 0, 1.41421, -1.68023e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1242e-17, 0, 0, 4.2443e-20, 0, 0, 1.6771e-14, 0, 0, 0
0.200559, 0, 3.14228e-14, 0, 1.41421, -3.14228e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84273e-17, 0, 0, 8.06491e-20, 0, 0, 3.13643e-14, 0, 0, 0
0.208426, 0, 5.82225e-14, 0, 1.41421, -5.82225e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08258e-16, 0, 0, 1.51902e-19, 0, 0, 5.81141e-14, 0, 0, 0
0.216294, 0, 1.06894e-13, 0, 1.41421, -1.06894e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98758e-16, 0, 0, 2.8364e-19, 0, 0, 1.06695e-13, 0, 0, 0
0.224161, 0, 1.94481e-13, 0, 1.41421, -1.94481e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61618e-16, 0, 0, 5.25129e-19, 0, 0, 1.94119e-13, 0, 0, 0
0.232028, 0, 3.50674e-13, 0, 1.41421, -3.50674e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52045e-16, 0, 0, 9.641e-19, 0, 0, 3.50021e-13, 0, 0, 0
0.239895, 0, 6.26711e-13, 0, 1.41421, -6.26711e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16532e-15, 0, 0, 1.75548e-18, 0, 0, 6.25544e-13, 0, 0, 0
0.247762, 0, 1.11021e-12, 0, 1.41421, -1.11021e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06437e-15, 0, 0, 3.17065e-18, 0, 0, 1.10814e-12, 0, 0, 0
0.25563, 0, 1.94962e-12, 0, 1.41421, -1.94962e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62526e-15, 0, 0, 5.68134e-18, 0, 0, 1.94599e-12, 0, 0, 0
0.263497, 0, 3.39417e-12, 0, 1.41421, -3.39417e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31151e-15, 0, 0, 1.01012e-17, 0, 0, 3.38784e-12, 0, 0, 0
0.271364, 0, 5.85843e-12, 0, 1.41421, -5.85843e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08942e-14, 0, 0, 1.78236e-17, 0, 0, 5.84751e-12, 0, 0, 0
0.279231, 0, 1.00259e-11, 0, 1.41421, -1.00259e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86448e-14, 0, 0, 3.12176e-17, 0, 0, 1.00072e-11, 0, 0, 0
0.287098, 0, 1.7013e-11, 0, 1.41421, -1.7013e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16406e-14, 0, 0, 5.4286e-17, 0, 0, 1.69813e-11, 0, 0, 0
0.294966, 0, 2.86274e-11, 0, 1.41421, -2.86274e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32454e-14, 0, 0, 9.37489e-17, 0, 0, 2.8574e-11, 0, 0, 0
0.302833, 0, 4.77689e-11, 0, 1.41421, -4.77689e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88579e-14, 0, 0, 1.60827e-16, 0, 0, 4.76799e-11, 0, 0, 0
0.3107, 0, 7.9049e-11, 0, 1.41421, -7.9049e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47066e-13, 0, 0, 2.74159e-16, 0, 0, 7.89017e-11, 0, 0, 0
0.318567, 0, 1.29734e-10, 0, 1.41421, -1.29734e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41409e-13, 0, 0, 4.64567e-16, 0, 0, 1.29492e-10, 0, 0, 0
0.326434, 0, 2.11173e-10, 4.37205e-43, 1.41421, -2.11173e-10, 0, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 4.37205e-43, 3.93047e-13, 4.37205e-43, 4.37205e-43, 7.82832e-16, 4.37205e-43, 4.37205e-43, 2.10779e-10, 4.37205e-43, 4.37205e-43, 4.37205e-43
0.334302, 0, 3.40934e-10, 7.4451e-42, 1.41421, -3.40934e-10, 0, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 7.4451e-42, 6.34764e-13, 7.4451e-42, 7.4451e-42, 1.31236e-15, 7.4451e-42, 7.4451e-42, 3.40298e-10, 7.4451e-42, 7.4451e-42, 7.4451e-42
0.342169, 0, 5.4597e-10, 1.0532e-40, 1.41421, -5.4597e-10, 0, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.0532e-40, 1.01691e-12, 1.0532e-40, 1.0532e-40, 2.18984e-15, 1.0532e-40, 1.0532e-40, 5.44951e-10, 1.0532e-40, 1.0532e-40, 1.0532e-40
0.350036, 0, 8.67271e-10, 1.31965e-39, 1.41421, -8.67271e-10, 0, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.31965e-39, 1.61614e-12, 1.31965e-39, 1.31965e-39, 3.63887e-15, 1.31965e-39, 1.31965e-39, 8.65651e-10, 1.31965e-39, 1.31965e-39, 1.31965e-39
0.357903, 0, 1.36662e-09, 1.48282e-38, 1.41421, -1.36662e-09, 0, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 1.48282e-38, 2.54822e-12, 1.48282e-38, 1.48282e-38, 6.02502e-15, 1.48282e-38, 1.48282e-38, 1.36407e-09, 1.48282e-38, 1.48282e-38, 1.48282e-38
0.36577, 0, 2.13633e-09, 1.50639e-37, 1.41421, -2.13633e-09, 0, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 1.50639e-37, 3.98641e-12, 1.50639e-37, 1.50639e-37, 9.94563e-15, 1.50639e-37, 1.50639e-37, 2.13233e-09, 1.50639e-37, 1.50639e-37, 1.50639e-37
0.373637, 0, 3.31338e-09, 4.79467e-36, 1.41421, -3.31338e-09, 0, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 4.79467e-36, 6.18862e-12, 4.79467e-36, 4.79467e-36, 1.64046e-14, 4.79467e-36, 4.79467e-36, 3.30717e-09, 4.79467e-36, 4.79467e-36, 4.79467e-36
0.381505, 0, 5.09803e-09, 3.72745e-35, 1.41421, -5.09803e-09, 0, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 3.72745e-35, 9.53258e-12, 3.72745e-35, 3.72745e-35, 2.69605e-14, 3.72745e-35, 3.72745e-35, 5.08847e-09, 3.72745e-35, 3.72745e-35, 3.72745e-35
0.389372, 0, 7.78264e-09, 2.67356e-34, 1.41421, -7.78264e-09, 0, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 2.67356e-34, 1.45721e-11, 2.67356e-34, 2.67356e-34, 4.42467e-14, 2.67356e-34, 2.67356e-34, 7.76803e-09, 2.67356e-34, 2.67356e-34, 2.67356e-34
0.397239, 0, 1.17887e-08, 1.84381e-33, 1.41421, -1.17887e-08, 0, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 1.84381e-33, 2.2109e-11, 1.84381e-33, 1.84381e-33, 7.25467e-14, 1.84381e-33, 1.84381e-33, 1.17666e-08, 1.84381e-33, 1.84381e-33, 1.84381e-33
0.405106, 0, 1.77193e-08, 1.14421e-32, 1.41421, -1.77193e-08, 0, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 1.14421e-32, 3.32961e-11, 1.14421e-32, 1.14421e-32, 1.18876e-13, 1.14421e-32, 1.14421e-32, 1.76859e-08, 1.14421e-32, 1.14421e-32, 1.14421e-32
0.412973, 0, 2.64296e-08, 6.9559e-32, 1.41421, -2.64296e-08, 0, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 6.9559e-32, 4.97786e-11, 6.9559e-32, 6.9559e-32, 1.9472e-13, 6.9559e-32, 6.9559e-32, 2.63796e-08, 6.9559e-32, 6.9559e-32, 6.9559e-32
