   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_243.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0347746, 486, 0, 0, 22.0907, 486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0268986, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0190226, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0111467, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00327069, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00460529, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0124813, 0, 4.53863e-29, 0, 1.41421, -4.53863e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94787e-31, 0, 0, 2.36833e-34, 0, 0, 4.51913e-29, 0, 0, 0
0.0203572, 0, 4.56458e-28, 0, 1.41421, -4.56458e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95901e-30, 0, 0, 2.38187e-33, 0, 0, 4.54496e-28, 0, 0, 0
0.0282332, 0, 2.88007e-27, 0, 1.41421, -2.88007e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23606e-29, 0, 0, 1.50286e-32, 0, 0, 2.8677e-27, 0, 0, 0
0.0361092, 0, 1.45323e-26, 0, 1.41421, -1.45323e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23693e-29, 0, 0, 7.58318e-32, 0, 0, 1.44699e-26, 0, 0, 0
