   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_258.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0283107, 516, 0, 0, 22.7596, 516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.020443, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125753, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00470766, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00316001, 0, 1.79944e-23, 0, 1.41421, -1.79944e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44497e-28, 0, 2.24869e-27, 0, 1.79918e-23, 0, 0, 0
0.0110277, 0, 4.80316e-23, 0, 1.41421, -4.80316e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33498e-28, 0, 6.15554e-27, 0, 4.80245e-23, 0, 0, 0
0.0188953, 0, 1.25221e-22, 0, 1.41421, -1.25221e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4706e-27, 0, 1.64247e-26, 0, 1.25202e-22, 0, 0, 0
0.026763, 0, 3.19459e-22, 0, 1.41421, -3.19459e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39859e-27, 0, 4.28179e-26, 0, 3.1941e-22, 0, 0, 0
0.0346307, 0, 7.98784e-22, 0, 1.41421, -7.98784e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62426e-26, 0, 1.09261e-25, 0, 7.98659e-22, 0, 0, 0
0.0424984, 0, 1.9602e-21, 0, 1.41421, -1.9602e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04674e-26, 0, 2.73347e-25, 0, 1.95988e-21, 0, 0, 0
0.050366, 0, 4.72627e-21, 0, 1.41421, -4.72627e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90678e-26, 0, 6.71346e-25, 0, 4.7255e-21, 0, 0, 0
0.0582337, 0, 1.12076e-20, 0, 1.41421, -1.12076e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38543e-25, 0, 1.62051e-24, 0, 1.12057e-20, 0, 0, 0
0.0661014, 0, 2.61607e-20, 0, 1.41421, -2.61607e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65443e-25, 0, 3.84822e-24, 0, 2.61563e-20, 0, 0, 0
0.073969, 0, 6.01527e-20, 0, 1.41421, -6.01527e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32046e-24, 0, 8.99789e-24, 0, 6.01424e-20, 0, 0, 0
0.0818367, 0, 1.36337e-19, 0, 1.41421, -1.36337e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03997e-24, 0, 2.0731e-23, 0, 1.36313e-19, 0, 0, 0
0.0897044, 0, 3.04773e-19, 0, 1.41421, -3.04773e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90357e-24, 0, 4.70962e-23, 0, 3.04719e-19, 0, 0, 0
0.097572, 0, 6.72309e-19, 0, 1.41421, -6.72309e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5473e-23, 0, 1.0556e-22, 0, 6.72188e-19, 0, 0, 0
0.10544, 0, 1.46416e-18, 0, 1.41421, -1.46416e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4243e-23, 0, 2.33552e-22, 0, 1.4639e-18, 0, 0, 0
0.113307, 0, 3.14934e-18, 0, 1.41421, -3.14934e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48612e-23, 0, 5.1033e-22, 0, 3.14875e-18, 0, 0, 0
0.121175, 0, 6.69297e-18, 0, 1.41421, -6.69297e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61731e-22, 0, 1.10176e-21, 0, 6.6917e-18, 0, 0, 0
0.129043, 0, 1.40583e-17, 0, 1.41421, -1.40583e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45407e-22, 0, 2.35103e-21, 0, 1.40556e-17, 0, 0, 0
0.13691, 0, 2.91939e-17, 0, 1.41421, -2.91939e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29479e-22, 0, 4.96049e-21, 0, 2.91882e-17, 0, 0, 0
0.144778, 0, 5.99542e-17, 0, 1.41421, -5.99542e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52392e-21, 0, 1.0352e-20, 0, 5.99423e-17, 0, 0, 0
0.152646, 0, 1.21793e-16, 0, 1.41421, -1.21793e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14985e-21, 0, 2.13741e-20, 0, 1.21768e-16, 0, 0, 0
0.160513, 0, 2.44792e-16, 0, 1.41421, -2.44792e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.44326e-21, 0, 4.36756e-20, 0, 2.44741e-16, 0, 0, 0
0.168381, 0, 4.86897e-16, 0, 1.41421, -4.86897e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30469e-20, 0, 8.83458e-20, 0, 4.86796e-16, 0, 0, 0
0.176249, 0, 9.58572e-16, 0, 1.41421, -9.58572e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61564e-20, 0, 1.76943e-19, 0, 9.58369e-16, 0, 0, 0
0.184116, 0, 1.86825e-15, 0, 1.41421, -1.86825e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19282e-20, 0, 3.50976e-19, 0, 1.86785e-15, 0, 0, 0
0.191984, 0, 3.62778e-15, 0, 1.41421, -3.62778e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03013e-19, 0, 6.95828e-19, 0, 3.62698e-15, 0, 0, 0
