   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_268.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284137, 536, 0, 0, 23.1948, 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205458, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126779, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00480994, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00305796, 0, 8.14316e-24, 0, 1.41421, -8.14316e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7965e-28, 0, 6.57607e-28, 0, 8.14212e-24, 0, 0, 0
0.0109259, 0, 2.16784e-23, 0, 1.41421, -2.16784e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02609e-27, 0, 1.79551e-27, 0, 2.16755e-23, 0, 0, 0
0.0187938, 0, 5.63676e-23, 0, 1.41421, -5.63676e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70868e-27, 0, 4.77877e-27, 0, 5.63602e-23, 0, 0, 0
0.0266617, 0, 1.43427e-22, 0, 1.41421, -1.43427e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99739e-27, 0, 1.24265e-26, 0, 1.43408e-22, 0, 0, 0
0.0345296, 0, 3.57702e-22, 0, 1.41421, -3.57702e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77181e-26, 0, 3.16306e-26, 0, 3.57652e-22, 0, 0, 0
0.0423975, 0, 8.75538e-22, 0, 1.41421, -8.75538e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40335e-26, 0, 7.89374e-26, 0, 8.75415e-22, 0, 0, 0
