   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0294768, 538, 0, 0, 23.2379, 538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0216076, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0137384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0058691, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00200014, 0, 4.21272e-24, 0, 1.41421, -4.21272e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87477e-26, 0, 0, 2.68456e-29, 0, 0, 4.18394e-24, 0, 0, 0
0.00986939, 0, 1.22991e-23, 0, 1.41421, -1.22991e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3929e-26, 0, 0, 7.94554e-29, 0, 0, 1.22151e-23, 0, 0, 0
0.0177386, 0, 3.47409e-23, 0, 1.41421, -3.47409e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37073e-25, 0, 0, 2.27571e-28, 0, 0, 3.45036e-23, 0, 0, 0
0.0256079, 0, 9.53026e-23, 0, 1.41421, -9.53026e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50346e-25, 0, 0, 6.33081e-28, 0, 0, 9.46516e-23, 0, 0, 0
0.0334771, 0, 2.54646e-22, 0, 1.41421, -2.54646e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73771e-24, 0, 0, 1.71559e-27, 0, 0, 2.52907e-22, 0, 0, 0
0.0413464, 0, 6.64296e-22, 0, 1.41421, -6.64296e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53317e-24, 0, 0, 4.53941e-27, 0, 0, 6.59759e-22, 0, 0, 0
0.0492156, 0, 1.69517e-21, 0, 1.41421, -1.69517e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15678e-23, 0, 0, 1.17505e-26, 0, 0, 1.68359e-21, 0, 0, 0
0.0570849, 0, 4.23819e-21, 0, 1.41421, -4.23819e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89215e-23, 0, 0, 2.98041e-26, 0, 0, 4.20924e-21, 0, 0, 0
0.0649541, 0, 1.03957e-20, 0, 1.41421, -1.03957e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09403e-23, 0, 0, 7.41742e-26, 0, 0, 1.03247e-20, 0, 0, 0
0.0728234, 0, 2.50698e-20, 0, 1.41421, -2.50698e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71077e-22, 0, 0, 1.81629e-25, 0, 0, 2.48986e-20, 0, 0, 0
0.0806926, 0, 5.94287e-20, 0, 1.41421, -5.94287e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.05542e-22, 0, 0, 4.37203e-25, 0, 0, 5.90227e-20, 0, 0, 0
0.0885619, 0, 1.38606e-19, 0, 1.41421, -1.38606e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45851e-22, 0, 0, 1.03552e-24, 0, 0, 1.37659e-19, 0, 0, 0
0.0964311, 0, 3.30848e-19, 0, 1.41421, -3.30848e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25771e-21, 0, 0, 2.52687e-24, 0, 0, 3.28588e-19, 0, 0, 0
0.1043, 0, 7.45407e-19, 0, 1.41421, -7.45407e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08666e-21, 0, 0, 5.78043e-24, 0, 0, 7.40314e-19, 0, 0, 0
