   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_271.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0291517, 542, 0, 0, 23.3238, 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0212848, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0134178, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00555091, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00231601, 0, 3.84642e-22, 0, 1.41421, -3.84642e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42895e-23, 0, 0, 0, 3.70353e-22, 0, 0, 0
0.0101829, 0, 9.13314e-22, 0, 1.41421, -9.13314e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39296e-23, 0, 0, 0, 8.79384e-22, 0, 0, 0
0.0180499, 0, 2.13162e-21, 0, 1.41421, -2.13162e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91898e-23, 0, 0, 0, 2.05243e-21, 0, 0, 0
0.0259168, 0, 4.89529e-21, 0, 1.41421, -4.89529e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8186e-22, 0, 0, 0, 4.71343e-21, 0, 0, 0
0.0337837, 0, 1.10716e-20, 0, 1.41421, -1.10716e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11311e-22, 0, 0, 0, 1.06603e-20, 0, 0, 0
0.0416506, 0, 2.46797e-20, 0, 1.41421, -2.46797e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1685e-22, 0, 0, 0, 2.37628e-20, 0, 0, 0
