   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_279.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.028238, 558, 0, 0, 23.6643, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0203712, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125043, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00463748, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00322935, 0, 1.09079e-22, 0, 1.41421, -1.09079e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99108e-24, 0, 5.62161e-27, 0, 1.42935e-25, 0, 1.0694e-22, 0, 0, 0
0.0110962, 0, 2.67536e-22, 0, 1.41421, -2.67536e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88333e-24, 0, 1.4007e-26, 0, 3.57715e-25, 0, 2.62281e-22, 0, 0, 0
0.018963, 0, 6.44337e-22, 0, 1.41421, -6.44337e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17608e-23, 0, 3.42709e-26, 0, 8.78193e-25, 0, 6.31664e-22, 0, 0, 0
0.0268299, 0, 1.52555e-21, 0, 1.41421, -1.52555e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78445e-23, 0, 8.2432e-26, 0, 2.11773e-24, 0, 1.49551e-21, 0, 0, 0
0.0346967, 0, 3.55421e-21, 0, 1.41421, -3.55421e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48699e-23, 0, 1.95112e-25, 0, 5.02183e-24, 0, 3.48413e-21, 0, 0, 0
0.0425635, 0, 8.15505e-21, 0, 1.41421, -8.15505e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48839e-22, 0, 4.54845e-25, 0, 1.17216e-23, 0, 7.99403e-21, 0, 0, 0
