   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_289.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0286249, 578, 0, 0, 24.0832, 578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0207598, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0128946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00502946, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0028357, 0, 7.71314e-24, 0, 1.41421, -7.71314e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69823e-29, 0, 7.71307e-24, 0, 0, 0
0.0107009, 0, 2.58253e-23, 0, 1.41421, -2.58253e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30488e-28, 0, 2.58251e-23, 0, 0, 0
0.018566, 0, 7.04894e-23, 0, 1.41421, -7.04894e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.38108e-28, 0, 7.04888e-23, 0, 0, 0
0.0264312, 0, 1.87229e-22, 0, 1.41421, -1.87229e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71863e-27, 0, 1.87227e-22, 0, 0, 0
0.0342964, 0, 4.85249e-22, 0, 1.41421, -4.85249e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51586e-27, 0, 4.85244e-22, 0, 0, 0
0.0421615, 0, 1.22978e-21, 0, 1.41421, -1.22978e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16021e-26, 0, 1.22977e-21, 0, 0, 0
0.0500267, 0, 3.05297e-21, 0, 1.41421, -3.05297e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91982e-26, 0, 3.05295e-21, 0, 0, 0
0.0578918, 0, 7.43502e-21, 0, 1.41421, -7.43502e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20876e-26, 0, 7.43495e-21, 0, 0, 0
0.065757, 0, 1.77843e-20, 0, 1.41421, -1.77843e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74823e-25, 0, 1.77842e-20, 0, 0, 0
0.0736222, 0, 4.18263e-20, 0, 1.41421, -4.18263e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16915e-25, 0, 4.18259e-20, 0, 0, 0
0.0814873, 0, 9.68087e-20, 0, 1.41421, -9.68087e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78618e-25, 0, 9.68077e-20, 0, 0, 0
0.0893525, 0, 2.20686e-19, 0, 1.41421, -2.20686e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26283e-24, 0, 2.20684e-19, 0, 0, 0
0.0972176, 0, 4.95837e-19, 0, 1.41421, -4.95837e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15797e-24, 0, 4.95832e-19, 0, 0, 0
0.105083, 0, 1.09868e-18, 0, 1.41421, -1.09868e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15976e-23, 0, 1.09867e-18, 0, 0, 0
0.112948, 0, 2.40219e-18, 0, 1.41421, -2.40219e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.57372e-23, 0, 2.40217e-18, 0, 0, 0
0.120813, 0, 5.18513e-18, 0, 1.41421, -5.18513e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63996e-23, 0, 5.18507e-18, 0, 0, 0
0.128678, 0, 1.10538e-17, 0, 1.41421, -1.10538e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22097e-22, 0, 1.10537e-17, 0, 0, 0
0.136543, 0, 2.32826e-17, 0, 1.41421, -2.32826e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61228e-22, 0, 2.32823e-17, 0, 0, 0
0.144409, 0, 4.84691e-17, 0, 1.41421, -4.84691e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52553e-22, 0, 4.84686e-17, 0, 0, 0
0.152274, 0, 9.97582e-17, 0, 1.41421, -9.97582e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15587e-21, 0, 9.9757e-17, 0, 0, 0
0.160139, 0, 2.03048e-16, 0, 1.41421, -2.03048e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39189e-21, 0, 2.03046e-16, 0, 0, 0
0.168004, 0, 4.08813e-16, 0, 1.41421, -4.08813e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89771e-21, 0, 4.08808e-16, 0, 0, 0
0.175869, 0, 8.14372e-16, 0, 1.41421, -8.14372e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.9257e-21, 0, 8.14362e-16, 0, 0, 0
0.183734, 0, 1.6054e-15, 0, 1.41421, -1.6054e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99132e-20, 0, 1.60538e-15, 0, 0, 0
0.1916, 0, 3.13243e-15, 0, 1.41421, -3.13243e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95566e-20, 0, 3.13239e-15, 0, 0, 0
0.199465, 0, 6.05053e-15, 0, 1.41421, -6.05053e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78164e-20, 0, 6.05045e-15, 0, 0, 0
