   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_308.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0276837, 616, 0, 0, 24.8596, 616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0198194, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00409093, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00377332, 0, 6.60746e-23, 0, 1.41421, -6.60746e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29415e-25, 0, 2.50732e-27, 0, 6.55427e-23, 0, 0, 0
0.0116376, 0, 1.7191e-22, 0, 1.41421, -1.7191e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37741e-24, 0, 6.68854e-27, 0, 1.70526e-22, 0, 0, 0
0.0195018, 0, 4.36997e-22, 0, 1.41421, -4.36997e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50138e-24, 0, 1.73987e-26, 0, 4.33478e-22, 0, 0, 0
0.0273661, 0, 1.08741e-21, 0, 1.41421, -1.08741e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71272e-24, 0, 4.42345e-26, 0, 1.07865e-21, 0, 0, 0
0.0352303, 0, 2.86316e-21, 0, 1.41421, -2.86316e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29407e-23, 0, 1.20321e-25, 0, 2.8401e-21, 0, 0, 0
0.0430946, 0, 6.81117e-21, 0, 1.41421, -6.81117e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45734e-23, 0, 2.91699e-25, 0, 6.7563e-21, 0, 0, 0
0.0509588, 0, 1.59365e-20, 0, 1.41421, -1.59365e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.27688e-22, 0, 6.95001e-25, 0, 1.58081e-20, 0, 0, 0
0.0588231, 0, 3.6707e-20, 0, 1.41421, -3.6707e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94109e-22, 0, 1.6291e-24, 0, 3.64113e-20, 0, 0, 0
0.0666873, 0, 8.32958e-20, 0, 1.41421, -8.32958e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67393e-22, 0, 3.7602e-24, 0, 8.26246e-20, 0, 0, 0
0.0745516, 0, 1.8634e-19, 0, 1.41421, -1.8634e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49302e-21, 0, 8.55283e-24, 0, 1.84839e-19, 0, 0, 0
