   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_309.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0299775, 618, 0, 0, 24.8998, 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0221089, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0142404, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0063719, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00149663, 0, 3.3135e-22, 0, 1.41421, -3.3135e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98636e-24, 0, 0, 3.5434e-27, 0, 8.37952e-26, 0, 3.28276e-22, 0, 0, 0
0.00936515, 0, 8.05912e-22, 0, 1.41421, -8.05912e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26342e-24, 0, 0, 8.74544e-27, 0, 2.08302e-25, 0, 7.98432e-22, 0, 0, 0
0.0172337, 0, 1.92495e-21, 0, 1.41421, -1.92495e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73489e-23, 0, 0, 2.11984e-26, 0, 5.07969e-25, 0, 1.90707e-21, 0, 0, 0
0.0251022, 0, 4.52034e-21, 0, 1.41421, -4.52034e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07399e-23, 0, 0, 5.05217e-26, 0, 1.21682e-24, 0, 4.47833e-21, 0, 0, 0
0.0329707, 0, 1.04463e-20, 0, 1.41421, -1.04463e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41472e-23, 0, 0, 1.18504e-25, 0, 2.86649e-24, 0, 1.03491e-20, 0, 0, 0
0.0408393, 0, 2.37769e-20, 0, 1.41421, -2.37769e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14288e-22, 0, 0, 2.738e-25, 0, 6.64711e-24, 0, 2.35557e-20, 0, 0, 0
0.0487078, 0, 5.3342e-20, 0, 1.41421, -5.3342e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80741e-22, 0, 0, 6.23601e-25, 0, 1.51859e-23, 0, 5.28455e-20, 0, 0, 0
0.0565763, 0, 1.18029e-19, 0, 1.41421, -1.18029e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06372e-21, 0, 0, 1.401e-24, 0, 3.42055e-23, 0, 1.1693e-19, 0, 0, 0
0.0644448, 0, 2.57725e-19, 0, 1.41421, -2.57725e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32271e-21, 0, 0, 3.10656e-24, 0, 7.6013e-23, 0, 2.55324e-19, 0, 0, 0
0.0723134, 0, 5.55648e-19, 0, 1.41421, -5.55648e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00766e-21, 0, 0, 6.80235e-24, 0, 1.66752e-22, 0, 5.50467e-19, 0, 0, 0
0.0801819, 0, 1.18334e-18, 0, 1.41421, -1.18334e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06646e-20, 0, 0, 1.47155e-23, 0, 3.61302e-22, 0, 1.1723e-18, 0, 0, 0
0.0880504, 0, 2.4904e-18, 0, 1.41421, -2.4904e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2444e-20, 0, 0, 3.14641e-23, 0, 7.73561e-22, 0, 2.46715e-18, 0, 0, 0
0.0959189, 0, 5.18126e-18, 0, 1.41421, -5.18126e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66941e-20, 0, 0, 6.65184e-23, 0, 1.6373e-21, 0, 5.13286e-18, 0, 0, 0
0.103787, 0, 1.06598e-17, 0, 1.41421, -1.06598e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.60673e-20, 0, 0, 1.39092e-22, 0, 3.4272e-21, 0, 1.05602e-17, 0, 0, 0
0.111656, 0, 2.20665e-17, 0, 1.41421, -2.20665e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98864e-19, 0, 0, 2.94042e-22, 0, 7.25387e-21, 0, 2.18601e-17, 0, 0, 0
0.119525, 0, 4.43521e-17, 0, 1.41421, -4.43521e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99699e-19, 0, 0, 6.008e-22, 0, 1.48354e-20, 0, 4.3937e-17, 0, 0, 0
0.127393, 0, 8.82438e-17, 0, 1.41421, -8.82438e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.95244e-19, 0, 0, 1.21548e-21, 0, 3.00413e-20, 0, 8.74173e-17, 0, 0, 0
0.135262, 0, 1.73833e-16, 0, 1.41421, -1.73833e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56655e-18, 0, 0, 2.43529e-21, 0, 6.02476e-20, 0, 1.72204e-16, 0, 0, 0
0.14313, 0, 3.39112e-16, 0, 1.41421, -3.39112e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.056e-18, 0, 0, 4.83321e-21, 0, 1.19692e-19, 0, 3.35931e-16, 0, 0, 0
0.150999, 0, 6.55224e-16, 0, 1.41421, -6.55224e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90469e-18, 0, 0, 9.50339e-21, 0, 2.35609e-19, 0, 6.49074e-16, 0, 0, 0
0.158867, 0, 1.25414e-15, 0, 1.41421, -1.25414e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13018e-17, 0, 0, 1.85164e-20, 0, 4.59627e-19, 0, 1.24236e-15, 0, 0, 0
0.166736, 0, 2.37831e-15, 0, 1.41421, -2.37831e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14323e-17, 0, 0, 3.57548e-20, 0, 8.8877e-19, 0, 2.35596e-15, 0, 0, 0
0.174604, 0, 4.46911e-15, 0, 1.41421, -4.46911e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02733e-17, 0, 0, 6.8435e-20, 0, 1.70381e-18, 0, 4.42707e-15, 0, 0, 0
0.182473, 0, 8.32256e-15, 0, 1.41421, -8.32256e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49977e-17, 0, 0, 1.29852e-19, 0, 3.23872e-18, 0, 8.24419e-15, 0, 0, 0
0.190341, 0, 1.53612e-14, 0, 1.41421, -1.53612e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38424e-16, 0, 0, 2.44284e-19, 0, 6.10542e-18, 0, 1.52164e-14, 0, 0, 0
