   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_310.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0279426, 620, 0, 0, 24.9399, 620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200772, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0122119, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00434664, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00351867, 0, 5.28415e-23, 0, 1.41421, -5.28415e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92538e-27, 0, 0, 2.30095e-28, 5.56368e-27, 0, 5.28308e-23, 0, 0, 0
0.011384, 0, 1.39133e-22, 0, 1.41421, -1.39133e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29686e-26, 0, 0, 6.1554e-28, 1.50219e-26, 0, 1.39104e-22, 0, 0, 0
0.0192493, 0, 3.57866e-22, 0, 1.41421, -3.57866e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33566e-26, 0, 0, 1.60854e-27, 3.95431e-26, 0, 3.57791e-22, 0, 0, 0
0.0271146, 0, 9.00906e-22, 0, 1.41421, -9.00906e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.39731e-26, 0, 0, 4.11408e-27, 1.01718e-25, 0, 9.00716e-22, 0, 0, 0
0.0349799, 0, 2.22326e-21, 0, 1.41421, -2.22326e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07228e-25, 0, 0, 1.0315e-26, 2.56165e-25, 0, 2.22278e-21, 0, 0, 0
0.0428452, 0, 5.38555e-21, 0, 1.41421, -5.38555e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01983e-25, 0, 0, 2.53868e-26, 6.32607e-25, 0, 5.38439e-21, 0, 0, 0
0.0507105, 0, 1.28201e-20, 0, 1.41421, -1.28201e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19495e-24, 0, 0, 6.14029e-26, 1.53396e-24, 0, 1.28174e-20, 0, 0, 0
0.0585758, 0, 3.00195e-20, 0, 1.41421, -3.00195e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.79808e-24, 0, 0, 1.46098e-25, 3.65639e-24, 0, 3.00129e-20, 0, 0, 0
0.0664411, 0, 6.92034e-20, 0, 1.41421, -6.92034e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45034e-24, 0, 0, 3.42255e-25, 8.57569e-24, 0, 6.9188e-20, 0, 0, 0
0.0743064, 0, 1.57177e-19, 0, 1.41421, -1.57177e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46502e-23, 0, 0, 7.90009e-25, 1.98079e-23, 0, 1.57142e-19, 0, 0, 0
0.0821717, 0, 3.51944e-19, 0, 1.41421, -3.51944e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2804e-23, 0, 0, 1.79798e-24, 4.50906e-23, 0, 3.51864e-19, 0, 0, 0
0.090037, 0, 7.77373e-19, 0, 1.41421, -7.77373e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24573e-23, 0, 0, 4.03701e-24, 1.01227e-22, 0, 7.77195e-19, 0, 0, 0
0.0979023, 0, 1.69466e-18, 0, 1.41421, -1.69466e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57955e-22, 0, 0, 8.94729e-24, 2.24249e-22, 0, 1.69427e-18, 0, 0, 0
0.105768, 0, 3.64818e-18, 0, 1.41421, -3.64818e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40038e-22, 0, 0, 1.95882e-23, 4.90602e-22, 0, 3.64733e-18, 0, 0, 0
0.113633, 0, 7.93591e-18, 0, 1.41421, -7.93591e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39684e-22, 0, 0, 4.35752e-23, 1.08988e-21, 0, 7.93403e-18, 0, 0, 0
0.121498, 0, 1.66336e-17, 0, 1.41421, -1.66336e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55037e-21, 0, 0, 9.2882e-23, 2.32079e-21, 0, 1.66296e-17, 0, 0, 0
0.129364, 0, 3.44722e-17, 0, 1.41421, -3.44722e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21304e-21, 0, 0, 1.95797e-22, 4.88687e-21, 0, 3.44639e-17, 0, 0, 0
0.137229, 0, 7.06585e-17, 0, 1.41421, -7.06585e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.58583e-21, 0, 0, 4.08306e-22, 1.0179e-20, 0, 7.06413e-17, 0, 0, 0
0.145094, 0, 1.43279e-16, 0, 1.41421, -1.43279e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33545e-20, 0, 0, 8.42534e-22, 2.09793e-20, 0, 1.43244e-16, 0, 0, 0
0.152959, 0, 2.8749e-16, 0, 1.41421, -2.8749e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.67958e-20, 0, 0, 1.72074e-21, 4.27965e-20, 0, 2.87419e-16, 0, 0, 0
0.160825, 0, 5.70916e-16, 0, 1.41421, -5.70916e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32127e-20, 0, 0, 3.47906e-21, 8.64297e-20, 0, 5.70773e-16, 0, 0, 0
0.16869, 0, 1.12232e-15, 0, 1.41421, -1.12232e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04606e-19, 0, 0, 6.96496e-21, 1.72847e-19, 0, 1.12204e-15, 0, 0, 0
0.176555, 0, 2.18439e-15, 0, 1.41421, -2.18439e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03596e-19, 0, 0, 1.38091e-20, 3.42371e-19, 0, 2.18383e-15, 0, 0, 0
0.184421, 0, 4.21001e-15, 0, 1.41421, -4.21001e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.92392e-19, 0, 0, 2.7119e-20, 6.71828e-19, 0, 4.20891e-15, 0, 0, 0
0.192286, 0, 8.03594e-15, 0, 1.41421, -8.03594e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48983e-19, 0, 0, 5.27612e-20, 1.30626e-18, 0, 8.03383e-15, 0, 0, 0
0.200151, 0, 1.51933e-14, 0, 1.41421, -1.51933e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41607e-18, 0, 0, 1.01707e-19, 2.51706e-18, 0, 1.51892e-14, 0, 0, 0
0.208017, 0, 2.84564e-14, 0, 1.41421, -2.84564e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65222e-18, 0, 0, 1.94288e-19, 4.80753e-18, 0, 2.84487e-14, 0, 0, 0
0.215882, 0, 5.28047e-14, 0, 1.41421, -5.28047e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92154e-18, 0, 0, 3.67855e-19, 9.10313e-18, 0, 5.27903e-14, 0, 0, 0
0.223747, 0, 9.70905e-14, 0, 1.41421, -9.70905e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04904e-18, 0, 0, 6.90397e-19, 1.7091e-17, 0, 9.70637e-14, 0, 0, 0
0.231613, 0, 1.76903e-13, 0, 1.41421, -1.76903e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64876e-17, 0, 0, 1.28462e-18, 3.18216e-17, 0, 1.76853e-13, 0, 0, 0
0.239478, 0, 3.19437e-13, 0, 1.41421, -3.19437e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9772e-17, 0, 0, 2.37009e-18, 5.87651e-17, 0, 3.19346e-13, 0, 0, 0
0.247343, 0, 5.71698e-13, 0, 1.41421, -5.71698e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32829e-17, 0, 0, 4.33642e-18, 1.07652e-16, 0, 5.71533e-13, 0, 0, 0
0.255208, 0, 1.01418e-12, 0, 1.41421, -1.01418e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45225e-17, 0, 0, 7.86943e-18, 1.95655e-16, 0, 1.01388e-12, 0, 0, 0
0.263074, 0, 1.78344e-12, 0, 1.41421, -1.78344e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66219e-16, 0, 0, 1.41668e-17, 3.52882e-16, 0, 1.7829e-12, 0, 0, 0
0.270939, 0, 3.10905e-12, 0, 1.41421, -3.10905e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89773e-16, 0, 0, 2.53044e-17, 6.31659e-16, 0, 3.10811e-12, 0, 0, 0
0.278804, 0, 5.37348e-12, 0, 1.41421, -5.37348e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00834e-16, 0, 0, 4.4854e-17, 1.12234e-15, 0, 5.37181e-12, 0, 0, 0
0.28667, 0, 9.208e-12, 0, 1.41421, -9.208e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58258e-16, 0, 0, 7.89193e-17, 1.97987e-15, 0, 9.20508e-12, 0, 0, 0
0.294535, 0, 1.56453e-11, 0, 1.41421, -1.56453e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45833e-15, 0, 0, 1.37864e-16, 3.46814e-15, 0, 1.56403e-11, 0, 0, 0
0.3024, 0, 2.63593e-11, 0, 1.41421, -2.63593e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45717e-15, 0, 0, 2.39182e-16, 6.03383e-15, 0, 2.63506e-11, 0, 0, 0
0.310266, 0, 4.40392e-11, 0, 1.41421, -4.40392e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10563e-15, 0, 0, 4.12236e-16, 1.04286e-14, 0, 4.40242e-11, 0, 0, 0
0.318131, 0, 7.29661e-11, 0, 1.41421, -7.29661e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80323e-15, 0, 0, 7.06082e-16, 1.79103e-14, 0, 7.29407e-11, 0, 0, 0
0.325996, 0, 1.19895e-10, 3.5593e-43, 1.41421, -1.19895e-10, 0, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 3.5593e-43, 1.11806e-14, 3.5593e-43, 3.5593e-43, 1.20233e-15, 3.05735e-14, 3.5593e-43, 1.19852e-10, 3.5593e-43, 3.5593e-43, 3.5593e-43
0.333861, 0, 1.95388e-10, 6.11947e-42, 1.41421, -1.95388e-10, 0, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 6.11947e-42, 1.82245e-14, 6.11947e-42, 6.11947e-42, 2.03628e-15, 5.18898e-14, 6.11947e-42, 1.95316e-10, 6.11947e-42, 6.11947e-42, 6.11947e-42
0.341727, 0, 3.15817e-10, 8.71215e-41, 1.41421, -3.15817e-10, 0, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 8.71215e-41, 2.94654e-14, 8.71215e-41, 8.71215e-41, 3.43162e-15, 8.75919e-14, 8.71215e-41, 3.15697e-10, 8.71215e-41, 8.71215e-41, 8.71215e-41
0.349592, 0, 5.06328e-10, 1.09889e-39, 1.41421, -5.06328e-10, 0, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 1.09889e-39, 4.72563e-14, 1.09889e-39, 1.09889e-39, 5.75744e-15, 1.47113e-13, 1.09889e-39, 5.06128e-10, 1.09889e-39, 1.09889e-39, 1.09889e-39
0.357457, 0, 8.05204e-10, 1.24162e-38, 1.41421, -8.05204e-10, 0, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 1.24162e-38, 7.5184e-14, 1.24162e-38, 1.24162e-38, 9.62188e-15, 2.45935e-13, 1.24162e-38, 8.04873e-10, 1.24162e-38, 1.24162e-38, 1.24162e-38
0.365323, 0, 1.27022e-09, 1.26836e-37, 1.41421, -1.27022e-09, 0, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.26836e-37, 1.18669e-13, 1.26836e-37, 1.26836e-37, 1.60263e-14, 4.09413e-13, 1.26836e-37, 1.26968e-09, 1.26836e-37, 1.26836e-37, 1.26836e-37
0.373188, 0, 1.9878e-09, 1.17758e-36, 1.41421, -1.9878e-09, 0, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.17758e-36, 1.85836e-13, 1.17758e-36, 1.17758e-36, 2.66191e-14, 6.79004e-13, 1.17758e-36, 1.98691e-09, 1.17758e-36, 1.17758e-36, 1.17758e-36
0.381053, 0, 3.08607e-09, 9.99649e-36, 1.41421, -3.08607e-09, 0, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 9.99649e-36, 2.88755e-13, 9.99649e-36, 9.99649e-36, 4.41141e-14, 1.12244e-12, 9.99649e-36, 3.08462e-09, 9.99649e-36, 9.99649e-36, 9.99649e-36
0.388919, 0, 4.75337e-09, 7.79194e-35, 1.41421, -4.75337e-09, 0, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 7.79194e-35, 4.45221e-13, 7.79194e-35, 7.79194e-35, 7.29806e-14, 1.85028e-12, 7.79194e-35, 4.75101e-09, 7.79194e-35, 7.79194e-35, 7.79194e-35
0.396784, 0, 7.26451e-09, 1.57737e-33, 1.41421, -7.26451e-09, 0, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 1.57737e-33, 6.81296e-13, 1.57737e-33, 1.57737e-33, 1.20778e-13, 3.04767e-12, 1.57737e-33, 7.26066e-09, 1.57737e-33, 1.57737e-33, 1.57737e-33
0.404649, 0, 1.10152e-08, 9.51402e-33, 1.41421, -1.10152e-08, 0, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 9.51402e-33, 1.03462e-12, 9.51402e-33, 9.51402e-33, 1.99354e-13, 5.00245e-12, 9.51402e-33, 1.10089e-08, 9.51402e-33, 9.51402e-33, 9.51402e-33
0.412515, 0, 1.65733e-08, 5.71083e-32, 1.41421, -1.65733e-08, 0, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 5.71083e-32, 1.55952e-12, 5.71083e-32, 5.71083e-32, 3.28825e-13, 8.19852e-12, 5.71083e-32, 1.65632e-08, 5.71083e-32, 5.71083e-32, 5.71083e-32
0.42038, 0, 2.47448e-08, 3.0878e-31, 1.41421, -2.47448e-08, 0, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 3.0878e-31, 2.33353e-12, 3.0878e-31, 3.0878e-31, 5.42083e-13, 1.34202e-11, 3.0878e-31, 2.47285e-08, 3.0878e-31, 3.0878e-31, 3.0878e-31
0.428245, 0, 3.66644e-08, 1.6195e-30, 1.41421, -3.66644e-08, 0, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 1.6195e-30, 3.46655e-12, 1.6195e-30, 1.6195e-30, 8.93158e-13, 2.19456e-11, 1.6195e-30, 3.66381e-08, 1.6195e-30, 1.6195e-30, 1.6195e-30
0.43611, 0, 5.39161e-08, 8.08206e-30, 1.41421, -5.39161e-08, 0, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 8.08206e-30, 5.11325e-12, 8.08206e-30, 8.08206e-30, 1.47059e-12, 3.58543e-11, 8.08206e-30, 5.38737e-08, 8.08206e-30, 8.08206e-30, 8.08206e-30
0.443976, 0, 7.86929e-08, 3.82184e-29, 1.41421, -7.86929e-08, 0, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 3.82184e-29, 7.48975e-12, 3.82184e-29, 3.82184e-29, 2.41904e-12, 5.85231e-11, 3.82184e-29, 7.86244e-08, 3.82184e-29, 3.82184e-29, 3.82184e-29
0.451841, 0, 1.14006e-07, 1.74128e-28, 1.41421, -1.14006e-07, 0, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.74128e-28, 1.0896e-11, 1.74128e-28, 1.74128e-28, 3.97393e-12, 9.54192e-11, 1.74128e-28, 1.13895e-07, 1.74128e-28, 1.74128e-28, 1.74128e-28
0.459706, 0, 1.63955e-07, 7.58398e-28, 1.41421, -1.63955e-07, 0, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 7.58398e-28, 1.57455e-11, 7.58398e-28, 7.58398e-28, 6.51665e-12, 1.5536e-10, 7.58398e-28, 1.63777e-07, 7.58398e-28, 7.58398e-28, 7.58398e-28
0.467572, 0, 2.34079e-07, 3.14959e-27, 1.41421, -2.34079e-07, 0, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 3.14959e-27, 2.26049e-11, 3.14959e-27, 3.14959e-27, 1.06617e-11, 2.525e-10, 3.14959e-27, 2.33793e-07, 3.14959e-27, 3.14959e-27, 3.14959e-27
