   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_318.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0276137, 636, 0, 0, 25.2587, 636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0197494, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.011885, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00402071, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00384364, 0, 1.38024e-22, 0, 1.41421, -1.38024e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06705e-25, 0, 0, 0, 0, 1.37718e-22, 0, 0, 0
0.011708, 0, 3.38332e-22, 0, 1.41421, -3.38332e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.51811e-25, 0, 0, 0, 0, 3.37581e-22, 0, 0, 0
0.0195723, 0, 8.14363e-22, 0, 1.41421, -8.14363e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8096e-24, 0, 0, 0, 0, 8.12553e-22, 0, 0, 0
0.0274367, 0, 1.92693e-21, 0, 1.41421, -1.92693e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.28185e-24, 0, 0, 0, 0, 1.92265e-21, 0, 0, 0
0.035301, 0, 4.48651e-21, 0, 1.41421, -4.48651e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.96951e-24, 0, 0, 0, 0, 4.47654e-21, 0, 0, 0
0.0431654, 0, 1.02875e-20, 0, 1.41421, -1.02875e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28599e-23, 0, 0, 0, 0, 1.02646e-20, 0, 0, 0
