   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_338.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0274382, 676, 0, 0, 26.0384, 676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0195756, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.011713, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00385041, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00401218, 0, 1.66258e-22, 0, 1.41421, -1.66258e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78002e-28, 0, 0, 1.66258e-22, 0, 0, 0
0.0118748, 0, 4.05818e-22, 0, 1.41421, -4.05818e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18582e-27, 0, 0, 4.05817e-22, 0, 0, 0
0.0197374, 0, 9.728e-22, 0, 1.41421, -9.728e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88896e-27, 0, 0, 9.72797e-22, 0, 0, 0
0.0275999, 0, 2.29269e-21, 0, 1.41421, -2.29269e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9198e-27, 0, 0, 2.29268e-21, 0, 0, 0
0.0354625, 0, 5.31761e-21, 0, 1.41421, -5.31761e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63119e-26, 0, 0, 5.31759e-21, 0, 0, 0
0.0433251, 0, 1.21479e-20, 0, 1.41421, -1.21479e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78741e-26, 0, 0, 1.21478e-20, 0, 0, 0
0.0511877, 0, 2.73538e-20, 0, 1.41421, -2.73538e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.66834e-26, 0, 0, 2.73537e-20, 0, 0, 0
0.0590503, 0, 6.07497e-20, 0, 1.41421, -6.07497e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95691e-25, 0, 0, 6.07495e-20, 0, 0, 0
0.0669129, 0, 1.33147e-19, 0, 1.41421, -1.33147e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36013e-25, 0, 0, 1.33146e-19, 0, 0, 0
0.0747755, 0, 2.88137e-19, 0, 1.41421, -2.88137e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59297e-25, 0, 0, 2.88136e-19, 0, 0, 0
0.0826381, 0, 6.15947e-19, 0, 1.41421, -6.15947e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08512e-24, 0, 0, 6.15944e-19, 0, 0, 0
0.0905006, 0, 1.30119e-18, 0, 1.41421, -1.30119e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47938e-24, 0, 0, 1.30118e-18, 0, 0, 0
0.0983632, 0, 2.71737e-18, 0, 1.41421, -2.71737e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.51431e-24, 0, 0, 2.71736e-18, 0, 0, 0
0.106226, 0, 5.61195e-18, 0, 1.41421, -5.61195e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99876e-23, 0, 0, 5.61193e-18, 0, 0, 0
0.114088, 0, 1.14647e-17, 0, 1.41421, -1.14647e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15433e-23, 0, 0, 1.14647e-17, 0, 0, 0
0.121951, 0, 2.31747e-17, 0, 1.41421, -2.31747e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54523e-23, 0, 0, 2.31747e-17, 0, 0, 0
0.129814, 0, 4.63635e-17, 0, 1.41421, -4.63635e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73997e-22, 0, 0, 4.63633e-17, 0, 0, 0
0.137676, 0, 9.18214e-17, 0, 1.41421, -9.18214e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50798e-22, 0, 0, 9.18211e-17, 0, 0, 0
0.145539, 0, 1.80056e-16, 0, 1.41421, -1.80056e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00432e-22, 0, 0, 1.80055e-16, 0, 0, 0
0.153401, 0, 3.52909e-16, 0, 1.41421, -3.52909e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40291e-21, 0, 0, 3.52908e-16, 0, 0, 0
0.161264, 0, 6.78072e-16, 0, 1.41421, -6.78072e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74539e-21, 0, 0, 6.78069e-16, 0, 0, 0
0.169127, 0, 1.2908e-15, 0, 1.41421, -1.2908e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.32436e-21, 0, 0, 1.29079e-15, 0, 0, 0
0.176989, 0, 2.43485e-15, 0, 1.41421, -2.43485e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0235e-20, 0, 0, 2.43484e-15, 0, 0, 0
0.184852, 0, 4.55162e-15, 0, 1.41421, -4.55162e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95038e-20, 0, 0, 4.5516e-15, 0, 0, 0
0.192714, 0, 8.43321e-15, 0, 1.41421, -8.43321e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68486e-20, 0, 0, 8.43317e-15, 0, 0, 0
0.200577, 0, 1.5488e-14, 0, 1.41421, -1.5488e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90335e-20, 0, 0, 1.5488e-14, 0, 0, 0
0.208439, 0, 2.8198e-14, 0, 1.41421, -2.8198e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28259e-19, 0, 0, 2.81979e-14, 0, 0, 0
0.216302, 0, 5.08976e-14, 0, 1.41421, -5.08976e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36349e-19, 0, 0, 5.08974e-14, 0, 0, 0
0.224165, 0, 9.109e-14, 0, 1.41421, -9.109e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32031e-19, 0, 0, 9.10896e-14, 0, 0, 0
0.232027, 0, 1.61648e-13, 0, 1.41421, -1.61648e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.83467e-19, 0, 0, 1.61647e-13, 0, 0, 0
0.23989, 0, 2.84462e-13, 0, 1.41421, -2.84462e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4097e-18, 0, 0, 2.8446e-13, 0, 0, 0
0.247752, 0, 4.96437e-13, 0, 1.41421, -4.96437e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51706e-18, 0, 0, 4.96434e-13, 0, 0, 0
0.255615, 0, 8.59242e-13, 0, 1.41421, -8.59242e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4605e-18, 0, 0, 8.59238e-13, 0, 0, 0
0.263478, 0, 1.47504e-12, 0, 1.41421, -1.47504e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84626e-18, 0, 0, 1.47503e-12, 0, 0, 0
0.27134, 0, 2.5116e-12, 0, 1.41421, -2.5116e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37027e-17, 0, 0, 2.51158e-12, 0, 0, 0
0.279203, 0, 4.24208e-12, 0, 1.41421, -4.24208e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37632e-17, 0, 0, 4.24206e-12, 0, 0, 0
