   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_340.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0283774, 680, 0, 0, 26.1151, 680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205126, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126478, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00478295, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00308186, 0, 6.95404e-23, 0, 1.41421, -6.95404e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9495e-25, 0, 0, 1.32548e-27, 0, 2.1227e-27, 0, 6.9142e-23, 0, 0, 0
0.0109467, 0, 1.75778e-22, 0, 1.41421, -1.75778e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.98321e-25, 0, 0, 3.40178e-27, 0, 5.48464e-27, 0, 1.74771e-22, 0, 0, 0
0.0188115, 0, 4.34905e-22, 0, 1.41421, -4.34905e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47001e-24, 0, 0, 8.54491e-27, 0, 1.38517e-26, 0, 4.32413e-22, 0, 0, 0
0.0266763, 0, 1.05501e-21, 0, 1.41421, -1.05501e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99182e-24, 0, 0, 2.10441e-26, 0, 3.4262e-26, 0, 1.04896e-21, 0, 0, 0
0.0345411, 0, 2.51281e-21, 0, 1.41421, -2.51281e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42713e-23, 0, 0, 5.08867e-26, 0, 8.31363e-26, 0, 2.49841e-21, 0, 0, 0
0.0424059, 0, 5.88334e-21, 0, 1.41421, -5.88334e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34139e-23, 0, 0, 1.20965e-25, 0, 1.98165e-25, 0, 5.84961e-21, 0, 0, 0
0.0502707, 0, 1.35546e-20, 0, 1.41421, -1.35546e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69821e-23, 0, 0, 2.82972e-25, 0, 4.64541e-25, 0, 1.34769e-20, 0, 0, 0
0.0581355, 0, 3.07561e-20, 0, 1.41421, -3.07561e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74676e-22, 0, 0, 6.52009e-25, 0, 1.07206e-24, 0, 3.05797e-20, 0, 0, 0
0.0660003, 0, 6.87844e-20, 0, 1.41421, -6.87844e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90654e-22, 0, 0, 1.4809e-24, 0, 2.4377e-24, 0, 6.83899e-20, 0, 0, 0
0.0738652, 0, 1.51723e-19, 0, 1.41421, -1.51723e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61694e-22, 0, 0, 3.31786e-24, 0, 5.46564e-24, 0, 1.50852e-19, 0, 0, 0
0.08173, 0, 3.30272e-19, 0, 1.41421, -3.30272e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87574e-21, 0, 0, 7.33689e-24, 0, 1.20917e-23, 0, 3.28377e-19, 0, 0, 0
0.0895948, 0, 7.09871e-19, 0, 1.41421, -7.09871e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03162e-21, 0, 0, 1.60221e-23, 0, 2.64106e-23, 0, 7.05796e-19, 0, 0, 0
0.0974596, 0, 1.5072e-18, 0, 1.41421, -1.5072e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.55996e-21, 0, 0, 3.45691e-23, 0, 5.69817e-23, 0, 1.49855e-18, 0, 0, 0
0.105324, 0, 3.16249e-18, 0, 1.41421, -3.16249e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79609e-20, 0, 0, 7.37226e-23, 0, 1.21497e-22, 0, 3.14433e-18, 0, 0, 0
0.113189, 0, 6.56009e-18, 0, 1.41421, -6.56009e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72572e-20, 0, 0, 1.55461e-22, 0, 2.56125e-22, 0, 6.52243e-18, 0, 0, 0
0.121054, 0, 1.34573e-17, 0, 1.41421, -1.34573e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64285e-20, 0, 0, 3.24261e-22, 0, 5.34017e-22, 0, 1.338e-17, 0, 0, 0
0.128919, 0, 2.73084e-17, 0, 1.41421, -2.73084e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55094e-19, 0, 0, 6.69206e-22, 0, 1.10161e-21, 0, 2.71516e-17, 0, 0, 0
0.136784, 0, 5.48335e-17, 0, 1.41421, -5.48335e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11418e-19, 0, 0, 1.36689e-21, 0, 2.24907e-21, 0, 5.45184e-17, 0, 0, 0
0.144648, 0, 1.0897e-16, 0, 1.41421, -1.0897e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18876e-19, 0, 0, 2.76392e-21, 0, 4.54574e-21, 0, 1.08344e-16, 0, 0, 0
0.152513, 0, 2.14375e-16, 0, 1.41421, -2.14375e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2175e-18, 0, 0, 5.53397e-21, 0, 9.0981e-21, 0, 2.13143e-16, 0, 0, 0
0.160378, 0, 4.17572e-16, 0, 1.41421, -4.17572e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37152e-18, 0, 0, 1.09738e-20, 0, 1.80361e-20, 0, 4.15172e-16, 0, 0, 0
0.168243, 0, 8.05487e-16, 0, 1.41421, -8.05487e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5746e-18, 0, 0, 2.1556e-20, 0, 3.54227e-20, 0, 8.00855e-16, 0, 0, 0
0.176108, 0, 1.53895e-15, 0, 1.41421, -1.53895e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74017e-18, 0, 0, 4.19517e-20, 0, 6.89379e-20, 0, 1.5301e-15, 0, 0, 0
0.183973, 0, 2.91271e-15, 0, 1.41421, -2.91271e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65421e-17, 0, 0, 8.09041e-20, 0, 1.32971e-19, 0, 2.89596e-15, 0, 0, 0
0.191837, 0, 5.46177e-15, 0, 1.41421, -5.46177e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10188e-17, 0, 0, 1.54631e-19, 0, 2.5425e-19, 0, 5.43035e-15, 0, 0, 0
0.199702, 0, 1.01482e-14, 0, 1.41421, -1.01482e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76339e-17, 0, 0, 2.92947e-19, 0, 4.81996e-19, 0, 1.00898e-14, 0, 0, 0
0.207567, 0, 1.86858e-14, 0, 1.41421, -1.86858e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06121e-16, 0, 0, 5.50179e-19, 0, 9.06106e-19, 0, 1.85783e-14, 0, 0, 0
0.215432, 0, 3.40997e-14, 0, 1.41421, -3.40997e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93659e-16, 0, 0, 1.02452e-18, 0, 1.68941e-18, 0, 3.39034e-14, 0, 0, 0
0.223297, 0, 6.16803e-14, 0, 1.41421, -6.16803e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50293e-16, 0, 0, 1.89185e-18, 0, 3.12451e-18, 0, 6.1325e-14, 0, 0, 0
0.231161, 0, 1.10596e-13, 0, 1.41421, -1.10596e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28094e-16, 0, 0, 3.46471e-18, 0, 5.73297e-18, 0, 1.09959e-13, 0, 0, 0
0.239026, 0, 1.96593e-13, 0, 1.41421, -1.96593e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11648e-15, 0, 0, 6.29381e-18, 0, 1.04373e-17, 0, 1.95459e-13, 0, 0, 0
0.246891, 0, 3.47027e-13, 0, 1.41421, -3.47027e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97083e-15, 0, 0, 1.13769e-17, 0, 1.8921e-17, 0, 3.45025e-13, 0, 0, 0
0.254756, 0, 6.06252e-13, 0, 1.41421, -6.06252e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44306e-15, 0, 0, 2.03365e-17, 0, 3.39205e-17, 0, 6.02755e-13, 0, 0, 0
0.262621, 0, 1.05023e-12, 0, 1.41421, -1.05023e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96462e-15, 0, 0, 3.60754e-17, 0, 6.03686e-17, 0, 1.04417e-12, 0, 0, 0
0.270485, 0, 1.8042e-12, 0, 1.41421, -1.8042e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02469e-14, 0, 0, 6.35191e-17, 0, 1.06674e-16, 0, 1.79378e-12, 0, 0, 0
0.27835, 0, 3.0738e-12, 0, 1.41421, -3.0738e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7458e-14, 0, 0, 1.11029e-16, 0, 1.87186e-16, 0, 3.05604e-12, 0, 0, 0
0.286215, 0, 5.19373e-12, 0, 1.41421, -5.19373e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94999e-14, 0, 0, 1.92711e-16, 0, 3.26238e-16, 0, 5.16371e-12, 0, 0, 0
0.29408, 0, 8.70403e-12, 0, 1.41421, -8.70403e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94412e-14, 0, 0, 3.32211e-16, 0, 5.64837e-16, 0, 8.65369e-12, 0, 0, 0
0.301945, 0, 1.44683e-11, 0, 1.41421, -1.44683e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2191e-14, 0, 0, 5.68947e-16, 0, 9.71693e-16, 0, 1.43846e-11, 0, 0, 0
0.309809, 0, 2.38557e-11, 0, 1.41421, -2.38557e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35535e-13, 0, 0, 9.68307e-16, 0, 1.66132e-15, 0, 2.37176e-11, 0, 0, 0
0.317674, 0, 3.90179e-11, 1.55544e-43, 1.41421, -3.90179e-11, 0, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 1.55544e-43, 2.21711e-13, 1.55544e-43, 1.55544e-43, 1.63826e-15, 1.55544e-43, 2.82361e-15, 1.55544e-43, 3.87917e-11, 1.55544e-43, 1.55544e-43, 1.55544e-43
0.325539, 0, 6.33069e-11, 2.7017e-42, 1.41421, -6.33069e-11, 0, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 2.7017e-42, 3.598e-13, 2.7017e-42, 2.7017e-42, 2.75639e-15, 2.7017e-42, 4.77205e-15, 2.7017e-42, 6.29396e-11, 2.7017e-42, 2.7017e-42, 2.7017e-42
