   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0272155, 684, 0, 0, 26.1916, 684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0193536, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0114918, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00362991, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00423194, 0, 6.30294e-24, 0, 1.41421, -6.30294e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.77029e-27, 0, 0, 7.27724e-29, 0, 0, 6.3001e-24, 0, 0, 0
0.0120938, 0, 1.77358e-23, 0, 1.41421, -1.77358e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.79529e-27, 0, 0, 2.06264e-28, 0, 0, 1.77278e-23, 0, 0, 0
0.0199556, 0, 4.847e-23, 0, 1.41421, -4.847e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13037e-26, 0, 0, 5.68005e-28, 0, 0, 4.84481e-23, 0, 0, 0
0.0278175, 0, 1.2903e-22, 0, 1.41421, -1.2903e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67117e-26, 0, 0, 1.5241e-27, 0, 0, 1.28972e-22, 0, 0, 0
0.0356793, 0, 3.35367e-22, 0, 1.41421, -3.35367e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47401e-25, 0, 0, 3.99404e-27, 0, 0, 3.35215e-22, 0, 0, 0
0.0435412, 0, 8.54858e-22, 0, 1.41421, -8.54858e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7573e-25, 0, 0, 1.02756e-26, 0, 0, 8.54472e-22, 0, 0, 0
0.051403, 0, 2.13375e-21, 0, 1.41421, -2.13375e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37833e-25, 0, 0, 2.58901e-26, 0, 0, 2.13279e-21, 0, 0, 0
0.0592649, 0, 5.22307e-21, 0, 1.41421, -5.22307e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29566e-24, 0, 0, 6.3982e-26, 0, 0, 5.22071e-21, 0, 0, 0
0.0671267, 0, 1.3268e-20, 0, 1.41421, -1.3268e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83161e-24, 0, 0, 1.64962e-25, 0, 0, 1.32621e-20, 0, 0, 0
0.0749886, 0, 3.11512e-20, 0, 1.41421, -3.11512e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36917e-23, 0, 0, 3.91069e-25, 0, 0, 3.11371e-20, 0, 0, 0
0.0828504, 0, 7.2011e-20, 0, 1.41421, -7.2011e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16505e-23, 0, 0, 9.13e-25, 0, 0, 7.19784e-20, 0, 0, 0
