   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_349.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0278115, 698, 0, 0, 26.4575, 698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0199478, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120842, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00422053, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00364312, 0, 4.67358e-22, 0, 1.41421, -4.67358e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91949e-24, 0, 2.90801e-27, 0, 1.64293e-26, 0, 4.65419e-22, 0, 0, 0
0.0115068, 0, 1.13713e-21, 0, 1.41421, -1.13713e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67031e-24, 0, 7.19054e-27, 0, 4.0787e-26, 0, 1.13241e-21, 0, 0, 0
0.0193704, 0, 2.71723e-21, 0, 1.41421, -2.71723e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11599e-23, 0, 1.74614e-26, 0, 9.93455e-26, 0, 2.70595e-21, 0, 0, 0
0.0272341, 0, 6.38391e-21, 0, 1.41421, -6.38391e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62194e-23, 0, 4.16911e-26, 0, 2.37721e-25, 0, 6.35741e-21, 0, 0, 0
0.0350978, 0, 1.47608e-20, 0, 1.41421, -1.47608e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06242e-23, 0, 9.79675e-26, 0, 5.59454e-25, 0, 1.46996e-20, 0, 0, 0
0.0429614, 0, 3.36172e-20, 0, 1.41421, -3.36172e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38069e-22, 0, 2.2676e-25, 0, 1.29616e-24, 0, 3.34776e-20, 0, 0, 0
0.0508251, 0, 7.5467e-20, 0, 1.41421, -7.5467e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0995e-22, 0, 5.17393e-25, 0, 2.95879e-24, 0, 7.51536e-20, 0, 0, 0
0.0586887, 0, 1.671e-19, 0, 1.41421, -1.671e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.86294e-22, 0, 1.16448e-24, 0, 6.65966e-24, 0, 1.66406e-19, 0, 0, 0
0.0665524, 0, 3.65147e-19, 0, 1.41421, -3.65147e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49969e-21, 0, 2.58674e-24, 0, 1.47896e-23, 0, 3.6363e-19, 0, 0, 0
0.074416, 0, 7.87867e-19, 0, 1.41421, -7.87867e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23584e-21, 0, 5.67429e-24, 0, 3.24252e-23, 0, 7.84593e-19, 0, 0, 0
0.0822797, 0, 1.6793e-18, 0, 1.41421, -1.6793e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.897e-21, 0, 1.22973e-23, 0, 7.02186e-23, 0, 1.67232e-18, 0, 0, 0
0.0901434, 0, 3.53727e-18, 0, 1.41421, -3.53727e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45278e-20, 0, 2.6341e-23, 0, 1.5027e-22, 0, 3.52256e-18, 0, 0, 0
0.098007, 0, 7.36602e-18, 0, 1.41421, -7.36602e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02528e-20, 0, 5.57882e-23, 0, 3.17926e-22, 0, 7.3354e-18, 0, 0, 0
0.105871, 0, 1.51693e-17, 0, 1.41421, -1.51693e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23014e-20, 0, 1.16866e-22, 0, 6.65243e-22, 0, 1.51062e-17, 0, 0, 0
0.113734, 0, 3.09027e-17, 0, 1.41421, -3.09027e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2692e-19, 0, 2.42219e-22, 0, 1.37717e-21, 0, 3.07742e-17, 0, 0, 0
0.121598, 0, 6.32479e-17, 0, 1.41421, -6.32479e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59763e-19, 0, 5.06683e-22, 0, 2.8767e-21, 0, 6.29847e-17, 0, 0, 0
0.129462, 0, 1.2597e-16, 0, 1.41421, -1.2597e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17367e-19, 0, 1.02683e-21, 0, 5.82347e-21, 0, 1.25446e-16, 0, 0, 0
0.137325, 0, 2.48421e-16, 0, 1.41421, -2.48421e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02028e-18, 0, 2.06092e-21, 0, 1.16762e-20, 0, 2.47387e-16, 0, 0, 0
0.145189, 0, 4.85158e-16, 0, 1.41421, -4.85158e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99257e-18, 0, 4.09735e-21, 0, 2.31923e-20, 0, 4.83138e-16, 0, 0, 0
0.153053, 0, 9.38495e-16, 0, 1.41421, -9.38495e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.85444e-18, 0, 8.07063e-21, 0, 4.56459e-20, 0, 9.34587e-16, 0, 0, 0
0.160916, 0, 1.79846e-15, 0, 1.41421, -1.79846e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.38633e-18, 0, 1.57524e-20, 0, 8.90356e-20, 0, 1.79097e-15, 0, 0, 0
0.16878, 0, 3.41471e-15, 0, 1.41421, -3.41471e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40243e-17, 0, 3.04714e-20, 0, 1.72153e-19, 0, 3.40048e-15, 0, 0, 0
0.176644, 0, 6.42465e-15, 0, 1.41421, -6.42465e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63861e-17, 0, 5.84259e-20, 0, 3.30012e-19, 0, 6.39788e-15, 0, 0, 0
0.184507, 0, 1.19796e-14, 0, 1.41421, -1.19796e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92e-17, 0, 1.11057e-19, 0, 6.27315e-19, 0, 1.19296e-14, 0, 0, 0
0.192371, 0, 2.21399e-14, 0, 1.41421, -2.21399e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09285e-17, 0, 2.09301e-19, 0, 1.18263e-18, 0, 2.20476e-14, 0, 0, 0
0.200235, 0, 4.05605e-14, 0, 1.41421, -4.05605e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66581e-16, 0, 3.91154e-19, 0, 2.21153e-18, 0, 4.03913e-14, 0, 0, 0
0.208098, 0, 7.36649e-14, 0, 1.41421, -7.36649e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02539e-16, 0, 7.2498e-19, 0, 4.10274e-18, 0, 7.33575e-14, 0, 0, 0
0.215962, 0, 1.32645e-13, 0, 1.41421, -1.32645e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44767e-16, 0, 1.33279e-18, 0, 7.55191e-18, 0, 1.32091e-13, 0, 0, 0
0.223826, 0, 2.36824e-13, 0, 1.41421, -2.36824e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72627e-16, 0, 2.43054e-18, 0, 1.37942e-17, 0, 2.35836e-13, 0, 0, 0
0.231689, 0, 4.19277e-13, 0, 1.41421, -4.19277e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72195e-15, 0, 4.3975e-18, 0, 2.50064e-17, 0, 4.17525e-13, 0, 0, 0
0.239553, 0, 7.36115e-13, 0, 1.41421, -7.36115e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02321e-15, 0, 7.89452e-18, 0, 4.49961e-17, 0, 7.33039e-13, 0, 0, 0
0.247417, 0, 1.28171e-12, 0, 1.41421, -1.28171e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26398e-15, 0, 1.40644e-17, 0, 8.03809e-17, 0, 1.27635e-12, 0, 0, 0
0.25528, 0, 2.21339e-12, 0, 1.41421, -2.21339e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09052e-15, 0, 2.48689e-17, 0, 1.4257e-16, 0, 2.20413e-12, 0, 0, 0
0.263144, 0, 3.79119e-12, 0, 1.41421, -3.79119e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5571e-14, 0, 4.36515e-17, 0, 2.51111e-16, 0, 3.77532e-12, 0, 0, 0
0.271007, 0, 6.4412e-12, 0, 1.41421, -6.4412e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64558e-14, 0, 7.60721e-17, 0, 4.39267e-16, 0, 6.41423e-12, 0, 0, 0
0.278871, 0, 1.08556e-11, 0, 1.41421, -1.08556e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45888e-14, 0, 1.31651e-16, 0, 7.63284e-16, 0, 1.08101e-11, 0, 0, 0
0.286735, 0, 1.81491e-11, 0, 1.41421, -1.81491e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.45513e-14, 0, 2.26305e-16, 0, 1.3177e-15, 0, 1.8073e-11, 0, 0, 0
0.294598, 0, 3.01019e-11, 0, 1.41421, -3.01019e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2366e-13, 0, 3.86491e-16, 0, 2.26048e-15, 0, 2.99756e-11, 0, 0, 0
0.302462, 0, 4.95323e-11, 0, 1.41421, -4.95323e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03503e-13, 0, 6.55965e-16, 0, 3.85416e-15, 0, 4.93243e-11, 0, 0, 0
