   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0316931, 88, 0, 0, 9.48683, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0238008, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0159084, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00801608, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000123721, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00776864, 0, 4.94634e-21, 0, 1.41421, -4.94634e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84267e-23, 0, 0, 0, 8.79774e-26, 0, 4.91783e-21, 0, 0, 0
0.015661, 0, 1.14837e-20, 0, 1.41421, -1.14837e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59967e-23, 0, 0, 0, 2.08119e-25, 0, 1.14175e-20, 0, 0, 0
0.0235533, 0, 2.62331e-20, 0, 1.41421, -2.62331e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50762e-22, 0, 0, 0, 4.84098e-25, 0, 2.60819e-20, 0, 0, 0
0.0314457, 0, 5.90182e-20, 0, 1.41421, -5.90182e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39178e-22, 0, 0, 0, 1.10839e-24, 0, 5.86779e-20, 0, 0, 0
0.0393381, 0, 1.30866e-19, 0, 1.41421, -1.30866e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5209e-22, 0, 0, 0, 2.50027e-24, 0, 1.30112e-19, 0, 0, 0
