   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0309113, 126, 0, 0, 11.3137, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.023027, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0151427, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00725839, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000625925, 0, 5.35219e-23, 0, 1.41421, -5.35219e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01713e-24, 0, 0, 1.09391e-27, 0, 5.25037e-23, 0, 0, 0
0.00851024, 0, 1.33627e-22, 0, 1.41421, -1.33627e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.53944e-24, 0, 0, 2.77016e-27, 0, 1.31085e-22, 0, 0, 0
0.0163945, 0, 3.27017e-22, 0, 1.41421, -3.27017e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21461e-24, 0, 0, 6.87655e-27, 0, 3.20795e-22, 0, 0, 0
0.0242789, 0, 7.85572e-22, 0, 1.41421, -7.85572e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49289e-23, 0, 0, 1.67577e-26, 0, 7.70626e-22, 0, 0, 0
0.0321632, 0, 1.85468e-21, 0, 1.41421, -1.85468e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52461e-23, 0, 0, 4.01397e-26, 0, 1.81939e-21, 0, 0, 0
0.0400475, 0, 4.30791e-21, 0, 1.41421, -4.30791e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.18672e-23, 0, 0, 9.46026e-26, 0, 4.22595e-21, 0, 0, 0
0.0479318, 0, 9.85302e-21, 0, 1.41421, -9.85302e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87246e-22, 0, 0, 2.19582e-25, 0, 9.66555e-21, 0, 0, 0
0.0558161, 0, 2.22081e-20, 0, 1.41421, -2.22081e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22041e-22, 0, 0, 5.02337e-25, 0, 2.17856e-20, 0, 0, 0
0.0637004, 0, 4.93612e-20, 0, 1.41421, -4.93612e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.38056e-22, 0, 0, 1.13343e-24, 0, 4.8422e-20, 0, 0, 0
0.0715847, 0, 1.08256e-19, 0, 1.41421, -1.08256e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05729e-21, 0, 0, 2.52385e-24, 0, 1.06196e-19, 0, 0, 0
0.0794691, 0, 2.34389e-19, 0, 1.41421, -2.34389e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45429e-21, 0, 0, 5.54916e-24, 0, 2.29929e-19, 0, 0, 0
0.0873534, 0, 5.01236e-19, 0, 1.41421, -5.01236e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.52542e-21, 0, 0, 1.2053e-23, 0, 4.91698e-19, 0, 0, 0
0.0952377, 0, 1.05913e-18, 0, 1.41421, -1.05913e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01275e-20, 0, 0, 2.58735e-23, 0, 1.03897e-18, 0, 0, 0
0.103122, 0, 2.21215e-18, 0, 1.41421, -2.21215e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20394e-20, 0, 0, 5.4912e-23, 0, 2.17006e-18, 0, 0, 0
0.111006, 0, 4.56865e-18, 0, 1.41421, -4.56865e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68219e-20, 0, 0, 1.15261e-22, 0, 4.48171e-18, 0, 0, 0
0.118891, 0, 9.33245e-18, 0, 1.41421, -9.33245e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77352e-19, 0, 0, 2.39352e-22, 0, 9.15486e-18, 0, 0, 0
0.126775, 0, 1.88607e-17, 0, 1.41421, -1.88607e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58425e-19, 0, 0, 4.91873e-22, 0, 1.85017e-17, 0, 0, 0
0.134659, 0, 3.77204e-17, 0, 1.41421, -3.77204e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16832e-19, 0, 0, 1.00055e-21, 0, 3.70026e-17, 0, 0, 0
0.142544, 0, 7.4671e-17, 0, 1.41421, -7.4671e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41903e-18, 0, 0, 2.01513e-21, 0, 7.325e-17, 0, 0, 0
0.150428, 0, 1.46344e-16, 0, 1.41421, -1.46344e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78108e-18, 0, 0, 4.01915e-21, 0, 1.43558e-16, 0, 0, 0
0.158312, 0, 2.84e-16, 0, 1.41421, -2.84e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39708e-18, 0, 0, 7.93994e-21, 0, 2.78595e-16, 0, 0, 0
