   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_66.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0305872, 132, 0, 0, 11.5758, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0227038, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0148205, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00693716, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000946177, 0, 3.6267e-21, 0, 1.41421, -3.6267e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51036e-22, 0, 2.16757e-25, 0, 9.92619e-25, 0, 3.37445e-21, 0, 0, 0
0.00882952, 0, 8.03884e-21, 0, 1.41421, -8.03884e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56435e-22, 0, 4.88571e-25, 0, 2.23958e-24, 0, 7.47967e-21, 0, 0, 0
0.0167129, 0, 1.75695e-20, 0, 1.41421, -1.75695e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21612e-21, 0, 1.0858e-24, 0, 4.98036e-24, 0, 1.63473e-20, 0, 0, 0
0.0245962, 0, 3.78884e-20, 0, 1.41421, -3.78884e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62254e-21, 0, 2.38098e-24, 0, 1.09246e-23, 0, 3.52526e-20, 0, 0, 0
0.0324795, 0, 8.06669e-20, 0, 1.41421, -8.06669e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.58353e-21, 0, 5.15481e-24, 0, 2.36542e-23, 0, 7.50545e-20, 0, 0, 0
0.0403629, 0, 1.69653e-19, 0, 1.41421, -1.69653e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17428e-20, 0, 1.10248e-23, 0, 5.05864e-23, 0, 1.57848e-19, 0, 0, 0
0.0482462, 0, 3.52624e-19, 0, 1.41421, -3.52624e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44074e-20, 0, 2.33049e-23, 0, 1.06911e-22, 0, 3.28087e-19, 0, 0, 0
0.0561295, 0, 7.24663e-19, 0, 1.41421, -7.24663e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.01581e-20, 0, 4.8712e-23, 0, 2.23405e-22, 0, 6.74232e-19, 0, 0, 0
0.0640129, 0, 1.47299e-18, 0, 1.41421, -1.47299e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01954e-19, 0, 1.0072e-22, 0, 4.61783e-22, 0, 1.37047e-18, 0, 0, 0
0.0718962, 0, 2.96249e-18, 0, 1.41421, -2.96249e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05048e-19, 0, 2.06084e-22, 0, 9.44563e-22, 0, 2.75629e-18, 0, 0, 0
0.0797795, 0, 5.89716e-18, 0, 1.41421, -5.89716e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08169e-19, 0, 4.17414e-22, 0, 1.91264e-21, 0, 5.48666e-18, 0, 0, 0
0.0876629, 0, 1.1622e-17, 0, 1.41421, -1.1622e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.04408e-19, 0, 8.37166e-22, 0, 3.83521e-21, 0, 1.08129e-17, 0, 0, 0
0.0955462, 0, 2.26823e-17, 0, 1.41421, -2.26823e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56992e-18, 0, 1.66302e-21, 0, 7.61783e-21, 0, 2.11031e-17, 0, 0, 0
0.10343, 0, 4.3849e-17, 0, 1.41421, -4.3849e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03492e-18, 0, 3.2729e-21, 0, 1.49927e-20, 0, 4.07958e-17, 0, 0, 0
0.111313, 0, 8.39827e-17, 0, 1.41421, -8.39827e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81265e-18, 0, 6.3828e-21, 0, 2.92446e-20, 0, 7.81344e-17, 0, 0, 0
0.119196, 0, 1.5939e-16, 0, 1.41421, -1.5939e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10317e-17, 0, 1.23374e-20, 0, 5.65496e-20, 0, 1.4829e-16, 0, 0, 0
0.12708, 0, 2.99814e-16, 0, 1.41421, -2.99814e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07505e-17, 0, 2.36402e-20, 0, 1.08424e-19, 0, 2.78932e-16, 0, 0, 0
0.134963, 0, 5.59023e-16, 0, 1.41421, -5.59023e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86903e-17, 0, 4.49124e-20, 0, 2.06169e-19, 0, 5.20081e-16, 0, 0, 0
0.142846, 0, 1.03337e-15, 0, 1.41421, -1.03337e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15195e-17, 0, 8.4613e-20, 0, 3.88867e-19, 0, 9.61377e-16, 0, 0, 0
0.15073, 0, 1.89403e-15, 0, 1.41421, -1.89403e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31084e-16, 0, 1.58097e-19, 0, 7.27668e-19, 0, 1.76206e-15, 0, 0, 0
0.158613, 0, 3.44254e-15, 0, 1.41421, -3.44254e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38253e-16, 0, 2.93014e-19, 0, 1.35112e-18, 0, 3.20265e-15, 0, 0, 0
0.166496, 0, 6.2055e-15, 0, 1.41421, -6.2055e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29468e-16, 0, 5.38741e-19, 0, 2.4897e-18, 0, 5.77301e-15, 0, 0, 0
0.17438, 0, 1.1095e-14, 0, 1.41421, -1.1095e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67848e-16, 0, 9.82767e-19, 0, 4.55362e-18, 0, 1.03216e-14, 0, 0, 0
0.182263, 0, 1.96773e-14, 0, 1.41421, -1.96773e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36179e-15, 0, 1.77895e-18, 0, 8.26764e-18, 0, 1.83055e-14, 0, 0, 0
0.190146, 0, 3.46207e-14, 0, 1.41421, -3.46207e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39593e-15, 0, 3.19574e-18, 0, 1.49032e-17, 0, 3.22067e-14, 0, 0, 0
0.19803, 0, 6.0432e-14, 0, 1.41421, -6.0432e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18216e-15, 0, 5.69791e-18, 0, 2.66749e-17, 0, 5.62175e-14, 0, 0, 0
0.205913, 0, 1.04663e-13, 0, 1.41421, -1.04663e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24307e-15, 0, 1.00844e-17, 0, 4.74136e-17, 0, 9.73627e-14, 0, 0, 0
0.213796, 0, 1.79865e-13, 0, 1.41421, -1.79865e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24472e-14, 0, 1.77183e-17, 0, 8.3701e-17, 0, 1.67316e-13, 0, 0, 0
0.22168, 0, 3.06724e-13, 0, 1.41421, -3.06724e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12261e-14, 0, 3.0909e-17, 0, 1.46769e-16, 0, 2.85321e-13, 0, 0, 0
0.229563, 0, 5.19074e-13, 0, 1.41421, -5.19074e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59211e-14, 0, 5.35423e-17, 0, 2.55685e-16, 0, 4.82844e-13, 0, 0, 0
0.237446, 0, 8.7179e-13, 0, 1.41421, -8.7179e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03299e-14, 0, 9.21123e-17, 0, 4.42562e-16, 0, 8.10925e-13, 0, 0, 0
0.24533, 0, 1.45447e-12, 0, 1.41421, -1.45447e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00654e-13, 0, 1.57753e-16, 0, 7.63179e-16, 0, 1.35289e-12, 0, 0, 0
0.253213, 0, 2.40603e-12, 0, 1.41421, -2.40603e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66509e-13, 0, 2.67781e-16, 0, 1.30433e-15, 0, 2.23794e-12, 0, 0, 0
0.261096, 0, 3.95066e-12, 0, 1.41421, -3.95066e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73414e-13, 0, 4.51676e-16, 0, 2.21585e-15, 0, 3.67458e-12, 0, 0, 0
0.26898, 0, 6.43918e-12, 0, 1.41421, -6.43918e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.45659e-13, 0, 7.57202e-16, 0, 3.74241e-15, 0, 5.98903e-12, 0, 0, 0
0.276863, 0, 1.04184e-11, 0, 1.41421, -1.04184e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21111e-13, 0, 1.26193e-15, 0, 6.28489e-15, 0, 9.68975e-12, 0, 0, 0
0.284746, 0, 1.67339e-11, 0, 1.41421, -1.67339e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15835e-12, 0, 2.09126e-15, 0, 1.04969e-14, 0, 1.5563e-11, 0, 0, 0
0.29263, 0, 2.66832e-11, 0, 1.41421, -2.66832e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84728e-12, 0, 3.44714e-15, 0, 1.74391e-14, 0, 2.4815e-11, 0, 0, 0
0.300513, 0, 4.22413e-11, 1.14906e-43, 1.41421, -4.22413e-11, 0, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 2.92484e-12, 1.14906e-43, 5.65361e-15, 1.14906e-43, 2.88265e-14, 1.14906e-43, 3.92819e-11, 1.14906e-43, 1.14906e-43, 1.14906e-43
0.308396, 0, 6.63914e-11, 1.99265e-42, 1.41421, -6.63914e-11, 0, 1.99265e-42, 1.99265e-42, 1.99265e-42, 1.99265e-42, 1.99265e-42, 1.99265e-42, 1.99265e-42, 1.99265e-42, 1.99265e-42, 4.59798e-12, 1.99265e-42, 9.22919e-15, 1.99265e-42, 4.74208e-14, 1.99265e-42, 6.17367e-11, 1.99265e-42, 1.99265e-42, 1.99265e-42
0.31628, 0, 1.03605e-10, 2.88317e-41, 1.41421, -1.03605e-10, 0, 2.88317e-41, 2.88317e-41, 2.88317e-41, 2.88317e-41, 2.88317e-41, 2.88317e-41, 2.88317e-41, 2.88317e-41, 2.88317e-41, 7.17709e-12, 2.88317e-41, 1.50017e-14, 2.88317e-41, 7.76551e-14, 2.88317e-41, 9.63348e-11, 2.88317e-41, 2.88317e-41, 2.88317e-41
0.324163, 0, 1.60529e-10, 3.6992e-40, 1.41421, -1.60529e-10, 0, 3.6992e-40, 3.6992e-40, 3.6992e-40, 3.6992e-40, 3.6992e-40, 3.6992e-40, 3.6992e-40, 3.6992e-40, 3.6992e-40, 1.11242e-11, 3.6992e-40, 2.42906e-14, 3.6992e-40, 1.26625e-13, 3.6992e-40, 1.49254e-10, 3.6992e-40, 3.6992e-40, 3.6992e-40
0.332046, 0, 2.46977e-10, 4.24235e-39, 1.41421, -2.46977e-10, 0, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 4.24235e-39, 1.71218e-11, 4.24235e-39, 3.91966e-14, 4.24235e-39, 2.0566e-13, 4.24235e-39, 2.2961e-10, 4.24235e-39, 4.24235e-39, 4.24235e-39
