   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_75.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313663, 150, 0, 0, 12.3288, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234829, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155995, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00771609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000167332, 0, 1.92726e-21, 0, 1.41421, -1.92726e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46972e-24, 0, 0, 3.37076e-26, 0, 0, 1.92475e-21, 0, 0, 0
0.00805075, 0, 4.42778e-21, 0, 1.41421, -4.42778e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67406e-24, 0, 0, 7.86462e-26, 0, 0, 4.42203e-21, 0, 0, 0
0.0159342, 0, 1.00219e-20, 0, 1.41421, -1.00219e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28428e-23, 0, 0, 1.8079e-25, 0, 0, 1.00089e-20, 0, 0, 0
0.0238176, 0, 2.23641e-20, 0, 1.41421, -2.23641e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86589e-23, 0, 0, 4.09769e-25, 0, 0, 2.2335e-20, 0, 0, 0
0.031701, 0, 4.92337e-20, 0, 1.41421, -4.92337e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.30913e-23, 0, 0, 9.16333e-25, 0, 0, 4.91697e-20, 0, 0, 0
0.0395844, 0, 1.06988e-19, 0, 1.41421, -1.06988e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37101e-22, 0, 0, 2.02289e-24, 0, 0, 1.06849e-19, 0, 0, 0
0.0474678, 0, 2.29608e-19, 0, 1.41421, -2.29608e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94234e-22, 0, 0, 4.41086e-24, 0, 0, 2.29309e-19, 0, 0, 0
0.0553513, 0, 4.86871e-19, 0, 1.41421, -4.86871e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23908e-22, 0, 0, 9.50394e-24, 0, 0, 4.86238e-19, 0, 0, 0
0.0632347, 0, 1.02045e-18, 0, 1.41421, -1.02045e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30768e-21, 0, 0, 2.0244e-23, 0, 0, 1.01913e-18, 0, 0, 0
0.0711181, 0, 2.11488e-18, 0, 1.41421, -2.11488e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71014e-21, 0, 0, 4.26448e-23, 0, 0, 2.11213e-18, 0, 0, 0
0.0790015, 0, 4.33542e-18, 0, 1.41421, -4.33542e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.55569e-21, 0, 0, 8.8871e-23, 0, 0, 4.32978e-18, 0, 0, 0
0.0868849, 0, 8.79347e-18, 0, 1.41421, -8.79347e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12685e-20, 0, 0, 1.83279e-22, 0, 0, 8.78202e-18, 0, 0, 0
0.0947684, 0, 1.76519e-17, 0, 1.41421, -1.76519e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26203e-20, 0, 0, 3.74154e-22, 0, 0, 1.76289e-17, 0, 0, 0
0.102652, 0, 3.50778e-17, 0, 1.41421, -3.50778e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49509e-20, 0, 0, 7.56279e-22, 0, 0, 3.50321e-17, 0, 0, 0
0.110535, 0, 6.90205e-17, 0, 1.41421, -6.90205e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.84472e-20, 0, 0, 1.51395e-21, 0, 0, 6.89306e-17, 0, 0, 0
0.118419, 0, 1.345e-16, 0, 1.41421, -1.345e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72356e-19, 0, 0, 3.00218e-21, 0, 0, 1.34324e-16, 0, 0, 0
