   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_84.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0292327, 168, 0, 0, 13.0384, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0213534, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0134742, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00559497, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00228427, 0, 6.28337e-21, 0, 1.41421, -6.28337e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33398e-23, 0, 5.78028e-26, 0, 6.25998e-21, 0, 0, 0
0.0101635, 0, 1.42599e-20, 0, 1.41421, -1.42599e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29689e-23, 0, 1.33502e-25, 0, 1.42068e-20, 0, 0, 0
0.0180427, 0, 3.18881e-20, 0, 1.41421, -3.18881e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1845e-22, 0, 3.03812e-25, 0, 3.17693e-20, 0, 0, 0
0.025922, 0, 7.03149e-20, 0, 1.41421, -7.03149e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61187e-22, 0, 6.81755e-25, 0, 7.00531e-20, 0, 0, 0
0.0338012, 0, 1.52984e-19, 0, 1.41421, -1.52984e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68266e-22, 0, 1.50952e-24, 0, 1.52415e-19, 0, 0, 0
0.0416804, 0, 3.28607e-19, 0, 1.41421, -3.28607e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22062e-21, 0, 3.29986e-24, 0, 3.27383e-19, 0, 0, 0
0.0495597, 0, 6.97197e-19, 0, 1.41421, -6.97197e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58976e-21, 0, 7.1256e-24, 0, 6.946e-19, 0, 0, 0
0.0574389, 0, 1.46176e-18, 0, 1.41421, -1.46176e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42976e-21, 0, 1.52061e-23, 0, 1.45632e-18, 0, 0, 0
0.0653181, 0, 3.02982e-18, 0, 1.41421, -3.02982e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12544e-20, 0, 3.20824e-23, 0, 3.01853e-18, 0, 0, 0
0.0731973, 0, 6.3545e-18, 0, 1.41421, -6.3545e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3604e-20, 0, 6.89129e-23, 0, 6.33082e-18, 0, 0, 0
0.0810766, 0, 1.28556e-17, 0, 1.41421, -1.28556e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.77526e-20, 0, 1.41907e-22, 0, 1.28077e-17, 0, 0, 0
0.0889558, 0, 2.57428e-17, 0, 1.41421, -2.57428e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.56226e-20, 0, 2.89279e-22, 0, 2.56469e-17, 0, 0, 0
0.096835, 0, 5.10362e-17, 0, 1.41421, -5.10362e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89575e-19, 0, 5.8392e-22, 0, 5.0846e-17, 0, 0, 0
0.104714, 0, 1.00198e-16, 0, 1.41421, -1.00198e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72187e-19, 0, 1.1674e-21, 0, 9.98242e-17, 0, 0, 0
0.112594, 0, 1.94842e-16, 0, 1.41421, -1.94842e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.23745e-19, 0, 2.31209e-21, 0, 1.94116e-16, 0, 0, 0
0.120473, 0, 3.75349e-16, 0, 1.41421, -3.75349e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39424e-18, 0, 4.53734e-21, 0, 3.7395e-16, 0, 0, 0
0.128352, 0, 7.16459e-16, 0, 1.41421, -7.16459e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6613e-18, 0, 8.82444e-21, 0, 7.13789e-16, 0, 0, 0
0.136231, 0, 1.35525e-15, 0, 1.41421, -1.35525e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0341e-18, 0, 1.70113e-20, 0, 1.3502e-15, 0, 0, 0
0.14411, 0, 2.54087e-15, 0, 1.41421, -2.54087e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43809e-18, 0, 3.25099e-20, 0, 2.5314e-15, 0, 0, 0
0.15199, 0, 4.72213e-15, 0, 1.41421, -4.72213e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75404e-17, 0, 6.16014e-20, 0, 4.70453e-15, 0, 0, 0
0.159869, 0, 8.70045e-15, 0, 1.41421, -8.70045e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23179e-17, 0, 1.15749e-19, 0, 8.66802e-15, 0, 0, 0
0.167748, 0, 1.58943e-14, 0, 1.41421, -1.58943e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90393e-17, 0, 2.157e-19, 0, 1.5835e-14, 0, 0, 0
0.175627, 0, 2.87928e-14, 0, 1.41421, -2.87928e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0695e-16, 0, 3.98697e-19, 0, 2.86854e-14, 0, 0, 0
0.183507, 0, 5.1726e-14, 0, 1.41421, -5.1726e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92136e-16, 0, 7.31071e-19, 0, 5.15332e-14, 0, 0, 0
0.191386, 0, 9.21638e-14, 0, 1.41421, -9.21638e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42341e-16, 0, 1.32999e-18, 0, 9.18201e-14, 0, 0, 0
0.199265, 0, 1.62881e-13, 0, 1.41421, -1.62881e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.0502e-16, 0, 2.40081e-18, 0, 1.62274e-13, 0, 0, 0
0.207144, 0, 2.85546e-13, 0, 1.41421, -2.85546e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06066e-15, 0, 4.30072e-18, 0, 2.84481e-13, 0, 0, 0
0.215024, 0, 4.96601e-13, 0, 1.41421, -4.96601e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84463e-15, 0, 7.64622e-18, 0, 4.94749e-13, 0, 0, 0
0.222903, 0, 8.56833e-13, 0, 1.41421, -8.56833e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18273e-15, 0, 1.34937e-17, 0, 8.53636e-13, 0, 0, 0
0.230782, 0, 1.46679e-12, 0, 1.41421, -1.46679e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44849e-15, 0, 2.364e-17, 0, 1.46132e-12, 0, 0, 0
0.238661, 0, 2.49142e-12, 0, 1.41421, -2.49142e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25473e-15, 0, 4.11206e-17, 0, 2.48213e-12, 0, 0, 0
0.24654, 0, 4.19916e-12, 0, 1.41421, -4.19916e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55987e-14, 0, 7.10282e-17, 0, 4.18349e-12, 0, 0, 0
0.25442, 0, 7.02319e-12, 0, 1.41421, -7.02319e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60901e-14, 0, 1.21853e-16, 0, 6.99698e-12, 0, 0, 0
0.262299, 0, 1.16569e-11, 0, 1.41421, -1.16569e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33057e-14, 0, 2.0766e-16, 0, 1.16134e-11, 0, 0, 0
0.270178, 0, 1.92014e-11, 0, 1.41421, -1.92014e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13383e-14, 0, 3.51625e-16, 0, 1.91298e-11, 0, 0, 0
0.278057, 0, 3.13908e-11, 0, 1.41421, -3.13908e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16635e-13, 0, 5.91713e-16, 0, 3.12736e-11, 0, 0, 0
0.285937, 0, 5.09341e-11, 0, 1.41421, -5.09341e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8927e-13, 0, 9.89817e-16, 0, 5.07439e-11, 0, 0, 0
0.293816, 0, 8.20298e-11, 0, 1.41421, -8.20298e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04864e-13, 0, 1.64641e-15, 0, 8.17233e-11, 0, 0, 0
