   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_0.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0363133, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0283765, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0204396, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0125028, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00456596, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00337088, 0, 2.02361e-21, 0, 1.41421, -2.02361e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50379e-26, 0, 1.50469e-25, 0, 2.02345e-21, 0, 0, 0
0.0113077, 0, 4.83529e-21, 0, 1.41421, -4.83529e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.65379e-26, 0, 3.66789e-25, 0, 4.83489e-21, 0, 0, 0
0.0192446, 0, 1.13567e-20, 0, 1.41421, -1.13567e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72659e-26, 0, 8.78157e-25, 0, 1.13557e-20, 0, 0, 0
0.0271814, 0, 2.62442e-20, 0, 1.41421, -2.62442e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05077e-25, 0, 2.06728e-24, 0, 2.62419e-20, 0, 0, 0
0.0351182, 0, 5.97223e-20, 0, 1.41421, -5.97223e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74609e-25, 0, 4.7899e-24, 0, 5.9717e-20, 0, 0, 0
