   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0336499, 206, 0, 0, 14.4222, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0257545, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0178591, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00996378, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00206843, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00582693, 0, 1.00156e-21, 0, 1.41421, -1.00156e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34076e-24, 0, 0, 2.65881e-26, 5.18088e-26, 0, 9.97144e-22, 0, 0, 0
0.0137223, 0, 2.3969e-21, 0, 1.41421, -2.3969e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03881e-23, 0, 0, 6.4522e-26, 1.26678e-25, 0, 2.38632e-21, 0, 0, 0
0.0216176, 0, 5.63951e-21, 0, 1.41421, -5.63951e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44415e-23, 0, 0, 1.53956e-25, 3.04251e-25, 0, 5.61461e-21, 0, 0, 0
0.029513, 0, 1.30578e-20, 0, 1.41421, -1.30578e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.65923e-23, 0, 0, 3.61554e-25, 7.18591e-25, 0, 1.30002e-20, 0, 0, 0
0.0374084, 0, 2.97787e-20, 0, 1.41421, -2.97787e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2906e-22, 0, 0, 8.36392e-25, 1.67061e-24, 0, 2.96471e-20, 0, 0, 0
