   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_11.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0377996, 22, 0, 0, 4.89898, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0298738, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.021948, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0140221, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00609631, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00182952, 0, 1.06925e-18, 0, 1.41421, -1.06925e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97504e-21, 0, 0, 4.11848e-23, 0, 2.08179e-22, 0, 1.06502e-18, 0, 0, 0
0.00975536, 0, 2.11715e-18, 0, 1.41421, -2.11715e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.87069e-21, 0, 0, 8.28817e-23, 0, 4.20116e-22, 0, 2.10878e-18, 0, 0, 0
0.0176812, 0, 4.1511e-18, 0, 1.41421, -4.1511e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5432e-20, 0, 0, 1.65187e-22, 0, 8.39632e-22, 0, 4.13466e-18, 0, 0, 0
0.025607, 0, 8.06198e-18, 0, 1.41421, -8.06198e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99709e-20, 0, 0, 3.26154e-22, 0, 1.66245e-21, 0, 8.03002e-18, 0, 0, 0
0.0335329, 0, 1.55134e-17, 0, 1.41421, -1.55134e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76716e-20, 0, 0, 6.38149e-22, 0, 3.262e-21, 0, 1.54518e-17, 0, 0, 0
0.0414587, 0, 2.95846e-17, 0, 1.41421, -2.95846e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09981e-19, 0, 0, 1.23762e-21, 0, 6.34486e-21, 0, 2.9467e-17, 0, 0, 0
0.0493845, 0, 5.59266e-17, 0, 1.41421, -5.59266e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07907e-19, 0, 0, 2.37968e-21, 0, 1.22371e-20, 0, 5.5704e-17, 0, 0, 0
0.0573104, 0, 1.04821e-16, 0, 1.41421, -1.04821e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89671e-19, 0, 0, 4.53742e-21, 0, 2.34078e-20, 0, 1.04404e-16, 0, 0, 0
0.0652362, 0, 1.94824e-16, 0, 1.41421, -1.94824e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24251e-19, 0, 0, 8.58111e-21, 0, 4.44182e-20, 0, 1.94047e-16, 0, 0, 0
0.073162, 0, 3.59145e-16, 0, 1.41421, -3.59145e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3351e-18, 0, 0, 1.6099e-20, 0, 8.36315e-20, 0, 3.5771e-16, 0, 0, 0
0.0810879, 0, 6.56748e-16, 0, 1.41421, -6.56748e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4414e-18, 0, 0, 2.99672e-20, 0, 1.56268e-19, 0, 6.5412e-16, 0, 0, 0
0.0890137, 0, 1.19148e-15, 0, 1.41421, -1.19148e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.42921e-18, 0, 0, 5.53541e-20, 0, 2.89826e-19, 0, 1.18671e-15, 0, 0, 0
0.0969395, 0, 2.14484e-15, 0, 1.41421, -2.14484e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97316e-18, 0, 0, 1.01478e-19, 0, 5.33633e-19, 0, 2.13624e-15, 0, 0, 0
0.104865, 0, 3.83153e-15, 0, 1.41421, -3.83153e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42431e-17, 0, 0, 1.84656e-19, 0, 9.75555e-19, 0, 3.81612e-15, 0, 0, 0
0.112791, 0, 6.79303e-15, 0, 1.41421, -6.79303e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52518e-17, 0, 0, 3.33562e-19, 0, 1.77103e-18, 0, 6.76567e-15, 0, 0, 0
0.120717, 0, 1.1954e-14, 0, 1.41421, -1.1954e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44364e-17, 0, 0, 5.98222e-19, 0, 3.19319e-18, 0, 1.19058e-14, 0, 0, 0
0.128643, 0, 2.08816e-14, 0, 1.41421, -2.08816e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76218e-17, 0, 0, 1.06527e-18, 0, 5.71877e-18, 0, 2.07972e-14, 0, 0, 0
0.136569, 0, 3.62115e-14, 0, 1.41421, -3.62115e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34606e-16, 0, 0, 1.88372e-18, 0, 1.01744e-17, 0, 3.60648e-14, 0, 0, 0
0.144495, 0, 6.23446e-14, 0, 1.41421, -6.23446e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31746e-16, 0, 0, 3.30811e-18, 0, 1.79841e-17, 0, 6.20915e-14, 0, 0, 0
0.15242, 0, 1.06574e-13, 0, 1.41421, -1.06574e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96151e-16, 0, 0, 5.77025e-18, 0, 3.15861e-17, 0, 1.06141e-13, 0, 0, 0
0.160346, 0, 1.80898e-13, 0, 1.41421, -1.80898e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72418e-16, 0, 0, 9.99767e-18, 0, 5.51276e-17, 0, 1.8016e-13, 0, 0, 0
0.168272, 0, 3.0491e-13, 0, 1.41421, -3.0491e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13338e-15, 0, 0, 1.72082e-17, 0, 9.56203e-17, 0, 3.03664e-13, 0, 0, 0
0.176198, 0, 5.10376e-13, 0, 1.41421, -5.10376e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8971e-15, 0, 0, 2.94267e-17, 0, 1.64846e-16, 0, 5.08284e-13, 0, 0, 0
0.184124, 0, 8.48423e-13, 0, 1.41421, -8.48423e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15364e-15, 0, 0, 4.99992e-17, 0, 2.82486e-16, 0, 8.44937e-13, 0, 0, 0
0.19205, 0, 1.40075e-12, 0, 1.41421, -1.40075e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.2067e-15, 0, 0, 8.44199e-17, 0, 4.81238e-16, 0, 1.39498e-12, 0, 0, 0
0.199975, 0, 2.29954e-12, 0, 1.41421, -2.29954e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54765e-15, 0, 0, 1.42002e-16, 0, 8.17646e-16, 0, 2.29003e-12, 0, 0, 0
0.207901, 0, 3.74486e-12, 0, 1.41421, -3.74486e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39203e-14, 0, 0, 2.36792e-16, 0, 1.37669e-15, 0, 3.72932e-12, 0, 0, 0
0.215827, 0, 6.05788e-12, 0, 1.41421, -6.05788e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25188e-14, 0, 0, 3.92522e-16, 0, 2.30508e-15, 0, 6.03267e-12, 0, 0, 0
