   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_129.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0323574, 258, 0, 0, 16.1245, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.024469, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0165806, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00869224, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00080384, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00708456, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.014973, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0228614, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0307498, 0, 4.19948e-29, 0, 1.41421, -4.19948e-29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00828e-31, 0, 0, 2.98327e-34, 0, 3.20642e-36, 0, 4.16937e-29, 0, 0, 0
0.0386382, 0, 4.3371e-28, 0, 1.41421, -4.3371e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10686e-30, 0, 0, 3.08103e-33, 0, 6.78471e-34, 0, 4.30599e-28, 0, 0, 0
0.0465266, 0, 2.80947e-27, 0, 1.41421, -2.80947e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01255e-29, 0, 0, 1.99582e-32, 0, 6.80521e-33, 0, 2.78932e-27, 0, 0, 0
0.054415, 0, 1.4547e-26, 0, 1.41421, -1.4547e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04207e-28, 0, 0, 1.03466e-31, 0, 4.35453e-32, 0, 1.44426e-26, 0, 0, 0
0.0623034, 0, 6.56349e-26, 0, 1.41421, -6.56349e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70172e-28, 0, 0, 4.68576e-31, 0, 2.23849e-31, 0, 6.51641e-26, 0, 0, 0
0.0701918, 0, 2.68993e-25, 0, 1.41421, -2.68993e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92691e-27, 0, 0, 1.93155e-30, 0, 1.00487e-30, 0, 2.67063e-25, 0, 0, 0
0.0780802, 0, 1.02498e-24, 0, 1.41421, -1.02498e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34236e-27, 0, 0, 7.41307e-30, 0, 4.10172e-30, 0, 1.01762e-24, 0, 0, 0
0.0859686, 0, 3.68426e-24, 0, 1.41421, -3.68426e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63919e-26, 0, 0, 2.68619e-29, 0, 1.55812e-29, 0, 3.65782e-24, 0, 0, 0
0.093857, 0, 1.2614e-23, 0, 1.41421, -1.2614e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.03594e-26, 0, 0, 9.27673e-29, 0, 5.58723e-29, 0, 1.25235e-23, 0, 0, 0
0.101745, 0, 4.14182e-23, 0, 1.41421, -4.14182e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96696e-25, 0, 0, 3.07391e-28, 0, 1.90938e-28, 0, 4.1121e-23, 0, 0, 0
0.109634, 0, 1.31087e-22, 0, 1.41421, -1.31087e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.39032e-25, 0, 0, 9.82132e-28, 0, 6.26036e-28, 0, 1.30146e-22, 0, 0, 0
0.117522, 0, 4.01453e-22, 0, 1.41421, -4.01453e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87578e-24, 0, 0, 3.03731e-27, 0, 1.97914e-27, 0, 3.98572e-22, 0, 0, 0
0.125411, 0, 1.19328e-21, 0, 1.41421, -1.19328e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54795e-24, 0, 0, 9.11935e-27, 0, 6.05603e-27, 0, 1.18471e-21, 0, 0, 0
0.133299, 0, 3.45101e-21, 0, 1.41421, -3.45101e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47211e-23, 0, 0, 2.66477e-26, 0, 1.79905e-26, 0, 3.42625e-21, 0, 0, 0
0.141187, 0, 9.73032e-21, 0, 1.41421, -9.73032e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97024e-23, 0, 0, 7.59369e-26, 0, 5.20118e-26, 0, 9.66049e-21, 0, 0, 0
0.149076, 0, 2.67928e-20, 0, 1.41421, -2.67928e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91928e-22, 0, 0, 2.11388e-25, 0, 1.46637e-25, 0, 2.66005e-20, 0, 0, 0
0.156964, 0, 7.22065e-20, 0, 1.41421, -7.22065e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.17245e-22, 0, 0, 5.76339e-25, 0, 4.04349e-25, 0, 7.16882e-20, 0, 0, 0
0.164853, 0, 1.90517e-19, 0, 1.41421, -1.90517e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36475e-21, 0, 0, 1.5388e-24, 0, 1.09044e-24, 0, 1.89149e-19, 0, 0, 0
0.172741, 0, 4.9269e-19, 0, 1.41421, -4.9269e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52934e-21, 0, 0, 4.02796e-24, 0, 2.87971e-24, 0, 4.89153e-19, 0, 0, 0
0.180629, 0, 1.24998e-18, 0, 1.41421, -1.24998e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95416e-21, 0, 0, 1.03466e-23, 0, 7.45545e-24, 0, 1.24101e-18, 0, 0, 0
