   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0323863, 272, 0, 0, 16.5529, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0244977, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.016609, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00872044, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000831835, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00705677, 0, 1.13639e-22, 0, 1.41421, -1.13639e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53691e-24, 0, 1.31163e-27, 0, 7.58985e-27, 0, 1.12093e-22, 0, 0, 0
0.0149454, 0, 2.90632e-22, 0, 1.41421, -2.90632e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93062e-24, 0, 3.4015e-27, 0, 1.99078e-26, 0, 2.86678e-22, 0, 0, 0
0.022834, 0, 7.2757e-22, 0, 1.41421, -7.2757e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83994e-24, 0, 8.63546e-27, 0, 5.10269e-26, 0, 7.17671e-22, 0, 0, 0
0.0307226, 0, 1.78571e-21, 0, 1.41421, -1.78571e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41506e-23, 0, 2.14955e-26, 0, 1.28052e-25, 0, 1.76141e-21, 0, 0, 0
0.0386112, 0, 4.30254e-21, 0, 1.41421, -4.30254e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8189e-23, 0, 5.25333e-26, 0, 3.15124e-25, 0, 4.24398e-21, 0, 0, 0
