   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315252, 282, 0, 0, 16.8523, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236389, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157526, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00786632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.99595e-05, 0, 2.85803e-23, 0, 1.41421, -2.85803e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21418e-25, 0, 3.58004e-28, 1.84584e-27, 0, 2.82567e-23, 0, 0, 0
0.00790624, 0, 7.59939e-23, 0, 1.41421, -7.59939e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54638e-25, 0, 9.65185e-28, 5.04014e-27, 0, 7.51333e-23, 0, 0, 0
0.0157925, 0, 1.97371e-22, 0, 1.41421, -1.97371e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21965e-24, 0, 2.54187e-27, 1.34149e-26, 0, 1.95135e-22, 0, 0, 0
0.0236788, 0, 5.01654e-22, 0, 1.41421, -5.01654e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64165e-24, 0, 6.55161e-27, 3.48848e-26, 0, 4.95971e-22, 0, 0, 0
0.0315651, 0, 1.24978e-21, 0, 1.41421, -1.24978e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40552e-23, 0, 1.65534e-26, 8.87991e-26, 0, 1.23562e-21, 0, 0, 0
0.0394514, 0, 3.05596e-21, 0, 1.41421, -3.05596e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43674e-23, 0, 4.10534e-26, 2.21614e-25, 0, 3.02133e-21, 0, 0, 0
0.0473376, 0, 7.34244e-21, 0, 1.41421, -7.34244e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25733e-23, 0, 1.00055e-25, 5.42983e-25, 0, 7.25922e-21, 0, 0, 0
0.0552239, 0, 1.73514e-20, 0, 1.41421, -1.73514e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95134e-22, 0, 2.39874e-25, 1.30758e-24, 0, 1.71547e-20, 0, 0, 0
0.0631102, 0, 4.03647e-20, 0, 1.41421, -4.03647e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53941e-22, 0, 5.66184e-25, 3.0979e-24, 0, 3.99071e-20, 0, 0, 0
0.0709965, 0, 9.25046e-20, 0, 1.41421, -9.25046e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0403e-21, 0, 1.3167e-24, 7.22703e-24, 0, 9.14557e-20, 0, 0, 0
0.0788828, 0, 2.08981e-19, 0, 1.41421, -2.08981e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35019e-21, 0, 3.01903e-24, 1.6614e-23, 0, 2.06611e-19, 0, 0, 0
0.0867691, 0, 4.6567e-19, 0, 1.41421, -4.6567e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23689e-21, 0, 6.82883e-24, 3.76611e-23, 0, 4.60388e-19, 0, 0, 0
0.0946553, 0, 1.02401e-18, 0, 1.41421, -1.02401e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15159e-20, 0, 1.52461e-23, 8.42322e-23, 0, 1.01239e-18, 0, 0, 0
0.102542, 0, 2.22324e-18, 0, 1.41421, -2.22324e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50023e-20, 0, 3.36129e-23, 1.85978e-22, 0, 2.19801e-18, 0, 0, 0
0.110428, 0, 4.7676e-18, 0, 1.41421, -4.7676e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36159e-20, 0, 7.32108e-23, 4.05552e-22, 0, 4.7135e-18, 0, 0, 0
0.118314, 0, 1.0102e-17, 0, 1.41421, -1.0102e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13606e-19, 0, 1.57591e-22, 8.73824e-22, 0, 9.98739e-18, 0, 0, 0
0.1262, 0, 2.11572e-17, 0, 1.41421, -2.11572e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3793e-19, 0, 3.35372e-22, 1.86107e-21, 0, 2.0917e-17, 0, 0, 0
0.134087, 0, 4.38103e-17, 0, 1.41421, -4.38103e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92684e-19, 0, 7.05827e-22, 3.91937e-21, 0, 4.3313e-17, 0, 0, 0
0.141973, 0, 8.97192e-17, 0, 1.41421, -8.97192e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00896e-18, 0, 1.46949e-21, 8.16446e-21, 0, 8.87006e-17, 0, 0, 0
0.149859, 0, 1.81757e-16, 0, 1.41421, -1.81757e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04401e-18, 0, 3.02728e-21, 1.68278e-20, 0, 1.79694e-16, 0, 0, 0
0.157746, 0, 3.64332e-16, 0, 1.41421, -3.64332e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09719e-18, 0, 6.17244e-21, 3.43269e-20, 0, 3.60194e-16, 0, 0, 0
0.165632, 0, 7.22752e-16, 0, 1.41421, -7.22752e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.12788e-18, 0, 1.24588e-20, 6.93206e-20, 0, 7.14543e-16, 0, 0, 0
