   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_159.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.031565, 318, 0, 0, 17.8885, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236799, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157949, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00790984, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-2.47898e-05, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00786026, 0, 2.90555e-23, 0, 1.41421, -2.90555e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84628e-25, 0, 0, 0, 0, 2.88709e-23, 0, 0, 0
0.0157453, 0, 7.44075e-23, 0, 1.41421, -7.44075e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7281e-25, 0, 0, 0, 0, 7.39347e-23, 0, 0, 0
0.0236304, 0, 1.86512e-22, 0, 1.41421, -1.86512e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18516e-24, 0, 0, 0, 0, 1.85327e-22, 0, 0, 0
0.0315154, 0, 4.58332e-22, 0, 1.41421, -4.58332e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9124e-24, 0, 0, 0, 0, 4.5542e-22, 0, 0, 0
0.0394005, 0, 1.10565e-21, 0, 1.41421, -1.10565e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.02567e-24, 0, 0, 0, 0, 1.09862e-21, 0, 0, 0
