   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_15.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0327035, 30, 0, 0, 5.65685, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0247871, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0168706, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00895417, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00103772, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00687873, 0, 3.49464e-21, 0, 1.41421, -3.49464e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30818e-23, 0, 0, 6.11866e-27, 0, 3.45155e-21, 0, 0, 0
0.0147952, 0, 8.22224e-21, 0, 1.41421, -8.22224e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01363e-22, 0, 0, 1.45475e-26, 0, 8.12086e-21, 0, 0, 0
0.0227116, 0, 1.90354e-20, 0, 1.41421, -1.90354e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34668e-22, 0, 0, 3.40412e-26, 0, 1.88007e-20, 0, 0, 0
0.0306281, 0, 4.33995e-20, 0, 1.41421, -4.33995e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35028e-22, 0, 0, 7.84644e-26, 0, 4.28644e-20, 0, 0, 0
0.0385445, 0, 9.7517e-20, 0, 1.41421, -9.7517e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20219e-21, 0, 0, 1.78285e-25, 0, 9.63147e-20, 0, 0, 0
0.046461, 0, 2.16087e-19, 0, 1.41421, -2.16087e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66392e-21, 0, 0, 3.99589e-25, 0, 2.13423e-19, 0, 0, 0
0.0543775, 0, 4.72477e-19, 0, 1.41421, -4.72477e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82468e-21, 0, 0, 8.83938e-25, 0, 4.66652e-19, 0, 0, 0
0.0622939, 0, 1.0199e-18, 0, 1.41421, -1.0199e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25733e-20, 0, 0, 1.93092e-24, 0, 1.00733e-18, 0, 0, 0
0.0702104, 0, 2.1745e-18, 0, 1.41421, -2.1745e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68072e-20, 0, 0, 4.16721e-24, 0, 2.14769e-18, 0, 0, 0
0.0781268, 0, 4.58104e-18, 0, 1.41421, -4.58104e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64749e-20, 0, 0, 8.88881e-24, 0, 4.52455e-18, 0, 0, 0
0.0860433, 2, 9.54019e-18, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17611e-19, 0, 0, 1.87495e-23, 0, 9.42256e-18, 0, 0, 0
0.0939597, 0, 1.96451e-17, 0, 1.41421, -1.96451e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42184e-19, 0, 0, 3.91165e-23, 0, 1.94028e-17, 0, 0, 0
0.101876, 0, 4.00117e-17, 0, 1.41421, -4.00117e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93263e-19, 0, 0, 8.07409e-23, 0, 3.95184e-17, 0, 0, 0
0.109793, 0, 8.18268e-17, 0, 1.41421, -8.18268e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00876e-18, 0, 0, 1.67981e-22, 0, 8.08178e-17, 0, 0, 0
0.117709, 0, 1.62902e-16, 0, 1.41421, -1.62902e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00825e-18, 0, 0, 3.39062e-22, 0, 1.60894e-16, 0, 0, 0
0.125626, 2, 3.21068e-16, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95812e-18, 0, 0, 6.77767e-22, 0, 3.17109e-16, 0, 0, 0
0.133542, 0, 6.26601e-16, 0, 1.41421, -6.26601e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.72471e-18, 0, 0, 1.34201e-21, 0, 6.18875e-16, 0, 0, 0
0.141458, 0, 1.21111e-15, 0, 1.41421, -1.21111e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49305e-17, 0, 0, 2.63256e-21, 0, 1.19617e-15, 0, 0, 0
0.149375, 0, 2.3187e-15, 0, 1.41421, -2.3187e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85848e-17, 0, 0, 5.11718e-21, 0, 2.29011e-15, 0, 0, 0
0.157291, 0, 4.39783e-15, 0, 1.41421, -4.39783e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.42162e-17, 0, 0, 9.85774e-21, 0, 4.3436e-15, 0, 0, 0
0.165208, 0, 8.26467e-15, 0, 1.41421, -8.26467e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01886e-16, 0, 0, 1.88228e-20, 0, 8.16276e-15, 0, 0, 0
0.173124, 0, 1.53907e-14, 0, 1.41421, -1.53907e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89735e-16, 0, 0, 3.56296e-20, 0, 1.52009e-14, 0, 0, 0
0.181041, 0, 2.84047e-14, 0, 1.41421, -2.84047e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50171e-16, 0, 0, 6.68673e-20, 0, 2.80544e-14, 0, 0, 0
0.188957, 0, 5.19594e-14, 0, 1.41421, -5.19594e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40551e-16, 0, 0, 1.24438e-19, 0, 5.13187e-14, 0, 0, 0
0.196874, 0, 9.42163e-14, 0, 1.41421, -9.42163e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16149e-15, 0, 0, 2.29659e-19, 0, 9.30546e-14, 0, 0, 0
0.20479, 0, 1.69361e-13, 0, 1.41421, -1.69361e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08788e-15, 0, 0, 4.20398e-19, 0, 1.67273e-13, 0, 0, 0
0.212707, 0, 3.01834e-13, 0, 1.41421, -3.01834e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72101e-15, 0, 0, 7.63371e-19, 0, 2.98112e-13, 0, 0, 0
0.220623, 0, 5.33359e-13, 0, 1.41421, -5.33359e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5753e-15, 0, 0, 1.37519e-18, 0, 5.26783e-13, 0, 0, 0
0.228539, 0, 9.34551e-13, 0, 1.41421, -9.34551e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15213e-14, 0, 0, 2.45807e-18, 0, 9.23027e-13, 0, 0, 0
0.236456, 0, 1.62386e-12, 0, 1.41421, -1.62386e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00196e-14, 0, 0, 4.36005e-18, 0, 1.60384e-12, 0, 0, 0
0.244372, 0, 2.79824e-12, 0, 1.41421, -2.79824e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44985e-14, 0, 0, 7.6756e-18, 0, 2.76373e-12, 0, 0, 0
0.252289, 0, 4.78232e-12, 0, 1.41421, -4.78232e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89613e-14, 0, 0, 1.3413e-17, 0, 4.72334e-12, 0, 0, 0
0.260205, 0, 8.10654e-12, 0, 1.41421, -8.10654e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99497e-14, 0, 0, 2.32705e-17, 0, 8.00656e-12, 0, 0, 0
0.268122, 0, 1.363e-11, 0, 1.41421, -1.363e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68061e-13, 0, 0, 4.00893e-17, 0, 1.34619e-11, 0, 0, 0
0.276038, 2, 2.27326e-11, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80319e-13, 0, 0, 6.8595e-17, 0, 2.24523e-11, 0, 0, 0
0.283955, 0, 3.76109e-11, 0, 1.41421, -3.76109e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63829e-13, 0, 0, 1.16599e-16, 0, 3.7147e-11, 0, 0, 0
0.291871, 0, 6.1732e-11, 0, 1.41421, -6.1732e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61395e-13, 0, 0, 1.96948e-16, 0, 6.09704e-11, 0, 0, 0
0.299787, 0, 1.00522e-10, 0, 1.41421, -1.00522e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24003e-12, 0, 0, 3.30665e-16, 0, 9.92815e-11, 0, 0, 0
0.307704, 0, 1.62399e-10, 0, 1.41421, -1.62399e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00375e-12, 0, 0, 5.52012e-16, 0, 1.60394e-10, 0, 0, 0
0.31562, 0, 2.60314e-10, 3.81153e-43, 1.41421, -2.60314e-10, 0, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.81153e-43, 3.21271e-12, 3.81153e-43, 3.81153e-43, 9.16626e-16, 3.81153e-43, 2.571e-10, 3.81153e-43, 3.81153e-43, 3.81153e-43
