   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_160.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0326487, 320, 0, 0, 17.9444, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.024762, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0168753, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00898863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00110194, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00678475, 0, 3.3178e-24, 0, 1.41421, -3.3178e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52191e-29, 0, 0, 3.31778e-24, 0, 0, 0
0.0146714, 0, 9.33009e-24, 0, 1.41421, -9.33009e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34533e-29, 0, 0, 9.33005e-24, 0, 0, 0
0.0225581, 0, 2.8562e-23, 0, 1.41421, -2.8562e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36359e-28, 0, 0, 2.85619e-23, 0, 0, 0
0.0304448, 0, 7.45598e-23, 0, 1.41421, -7.45598e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60814e-28, 0, 0, 7.45594e-23, 0, 0, 0
0.0383315, 0, 1.90255e-22, 0, 1.41421, -1.90255e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33139e-28, 0, 0, 1.90254e-22, 0, 0, 0
0.0462182, 0, 4.75399e-22, 0, 1.41421, -4.75399e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36308e-27, 0, 0, 4.75397e-22, 0, 0, 0
0.0541049, 0, 1.16497e-21, 0, 1.41421, -1.16497e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8687e-27, 0, 0, 1.16497e-21, 0, 0, 0
0.0619916, 0, 2.80317e-21, 0, 1.41421, -2.80317e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4312e-26, 0, 0, 2.80316e-21, 0, 0, 0
0.0698783, 0, 6.6301e-21, 0, 1.41421, -6.6301e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43103e-26, 0, 0, 6.63006e-21, 0, 0, 0
0.077765, 0, 1.54285e-20, 0, 1.41421, -1.54285e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09338e-26, 0, 0, 1.54284e-20, 0, 0, 0
0.0856517, 2, 3.5352e-20, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88008e-25, 0, 0, 3.53518e-20, 0, 0, 0
0.0935384, 0, 7.98167e-20, 0, 1.41421, -7.98167e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3041e-25, 0, 0, 7.98163e-20, 0, 0, 0
0.101425, 0, 1.77679e-19, 0, 1.41421, -1.77679e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.71692e-25, 0, 0, 1.77678e-19, 0, 0, 0
0.109312, 0, 3.90199e-19, 0, 1.41421, -3.90199e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16455e-24, 0, 0, 3.90197e-19, 0, 0, 0
0.117198, 0, 8.45785e-19, 0, 1.41421, -8.45785e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.76022e-24, 0, 0, 8.4578e-19, 0, 0, 0
0.125085, 0, 1.81031e-18, 0, 1.41421, -1.81031e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03397e-23, 0, 0, 1.8103e-18, 0, 0, 0
0.132972, 0, 3.82773e-18, 0, 1.41421, -3.82773e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21921e-23, 0, 0, 3.82771e-18, 0, 0, 0
0.140859, 0, 7.99797e-18, 0, 1.41421, -7.99797e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70821e-23, 0, 0, 7.99792e-18, 0, 0, 0
0.148745, 0, 1.652e-17, 0, 1.41421, -1.652e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87716e-23, 0, 0, 1.65199e-17, 0, 0, 0
0.156632, 0, 3.37414e-17, 0, 1.41421, -3.37414e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04956e-22, 0, 0, 3.37412e-17, 0, 0, 0
0.164519, 0, 6.81634e-17, 0, 1.41421, -6.81634e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20787e-22, 0, 0, 6.8163e-17, 0, 0, 0
0.172405, 0, 1.36232e-16, 0, 1.41421, -1.36232e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54964e-22, 0, 0, 1.36231e-16, 0, 0, 0
0.180292, 0, 2.69425e-16, 0, 1.41421, -2.69425e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71955e-21, 0, 0, 2.69424e-16, 0, 0, 0
0.188179, 0, 5.27369e-16, 0, 1.41421, -5.27369e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42417e-21, 0, 0, 5.27366e-16, 0, 0, 0
0.196065, 0, 1.02184e-15, 0, 1.41421, -1.02184e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7523e-21, 0, 0, 1.02184e-15, 0, 0, 0
0.203952, 0, 1.96027e-15, 0, 1.41421, -1.96027e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3188e-20, 0, 0, 1.96026e-15, 0, 0, 0
0.211839, 0, 3.72369e-15, 0, 1.41421, -3.72369e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55156e-20, 0, 0, 3.72366e-15, 0, 0, 0
0.219725, 0, 7.00508e-15, 0, 1.41421, -7.00508e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.891e-20, 0, 0, 7.00503e-15, 0, 0, 0
0.227612, 0, 1.30523e-14, 0, 1.41421, -1.30523e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.29046e-20, 0, 0, 1.30522e-14, 0, 0, 0
0.235499, 0, 2.40905e-14, 0, 1.41421, -2.40905e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74899e-19, 0, 0, 2.40904e-14, 0, 0, 0
0.243385, 0, 4.40485e-14, 0, 1.41421, -4.40485e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26371e-19, 0, 0, 4.40481e-14, 0, 0, 0
0.251272, 0, 7.97965e-14, 0, 1.41421, -7.97965e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.03774e-19, 0, 0, 7.97959e-14, 0, 0, 0
0.259159, 0, 1.43232e-13, 0, 1.41421, -1.43232e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1075e-18, 0, 0, 1.43231e-13, 0, 0, 0
0.267046, 0, 2.54765e-13, 0, 1.41421, -2.54765e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01462e-18, 0, 0, 2.54763e-13, 0, 0, 0
0.274932, 0, 4.49065e-13, 0, 1.41421, -4.49065e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63499e-18, 0, 0, 4.49061e-13, 0, 0, 0
0.282819, 0, 7.8448e-13, 0, 1.41421, -7.8448e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.50667e-18, 0, 0, 7.84473e-13, 0, 0, 0
0.290706, 0, 1.35934e-12, 0, 1.41421, -1.35934e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15824e-17, 0, 0, 1.35933e-12, 0, 0, 0
0.298592, 0, 2.33259e-12, 0, 1.41421, -2.33259e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04181e-17, 0, 0, 2.33257e-12, 0, 0, 0
0.306479, 0, 3.96769e-12, 0, 1.41421, -3.96769e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57371e-17, 0, 0, 3.96765e-12, 0, 0, 0
0.314366, 0, 6.69041e-12, 0, 1.41421, -6.69041e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.21227e-17, 0, 0, 6.69034e-12, 0, 0, 0
0.322252, 0, 1.11842e-11, 5.04467e-44, 1.41421, -1.11842e-11, 0, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 5.04467e-44, 1.07289e-16, 5.04467e-44, 5.04467e-44, 1.11841e-11, 5.04467e-44, 5.04467e-44, 5.04467e-44
0.330139, 0, 1.8536e-11, 9.0664e-43, 1.41421, -1.8536e-11, 0, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 9.0664e-43, 1.84167e-16, 9.0664e-43, 9.0664e-43, 1.85358e-11, 9.0664e-43, 9.0664e-43, 9.0664e-43
0.338026, 0, 3.04585e-11, 1.36486e-41, 1.41421, -3.04585e-11, 0, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 1.36486e-41, 3.14344e-16, 1.36486e-41, 1.36486e-41, 3.04581e-11, 1.36486e-41, 1.36486e-41, 1.36486e-41
0.345912, 0, 4.96252e-11, 1.80615e-40, 1.41421, -4.96252e-11, 0, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 1.80615e-40, 5.33757e-16, 1.80615e-40, 1.80615e-40, 4.96247e-11, 1.80615e-40, 1.80615e-40, 1.80615e-40
0.353799, 0, 8.01715e-11, 2.13833e-39, 1.41421, -8.01715e-11, 0, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 2.13833e-39, 9.02094e-16, 2.13833e-39, 2.13833e-39, 8.01706e-11, 2.13833e-39, 2.13833e-39, 2.13833e-39
0.361686, 0, 1.28435e-10, 2.28398e-38, 1.41421, -1.28435e-10, 0, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 2.28398e-38, 1.51834e-15, 2.28398e-38, 2.28398e-38, 1.28433e-10, 2.28398e-38, 2.28398e-38, 2.28398e-38
0.369573, 0, 2.04038e-10, 2.21072e-37, 1.41421, -2.04038e-10, 0, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.21072e-37, 2.54652e-15, 2.21072e-37, 2.21072e-37, 2.04035e-10, 2.21072e-37, 2.21072e-37, 2.21072e-37
0.377459, 0, 3.21461e-10, 1.95327e-36, 1.41421, -3.21461e-10, 0, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 1.95327e-36, 4.2583e-15, 1.95327e-36, 1.95327e-36, 3.21456e-10, 1.95327e-36, 1.95327e-36, 1.95327e-36
0.385346, 0, 5.02289e-10, 1.58165e-35, 1.41421, -5.02289e-10, 0, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 1.58165e-35, 7.1036e-15, 1.58165e-35, 1.58165e-35, 5.02282e-10, 1.58165e-35, 1.58165e-35, 1.58165e-35
0.393233, 0, 7.7842e-10, 1.17907e-34, 1.41421, -7.7842e-10, 0, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.17907e-34, 1.18279e-14, 1.17907e-34, 1.17907e-34, 7.78409e-10, 1.17907e-34, 1.17907e-34, 1.17907e-34
0.401119, 0, 1.19655e-09, 8.18481e-34, 1.41421, -1.19655e-09, 0, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 8.18481e-34, 1.96664e-14, 8.18481e-34, 8.18481e-34, 1.19653e-09, 8.18481e-34, 8.18481e-34, 8.18481e-34
0.409006, 0, 1.82445e-09, 4.79372e-33, 1.41421, -1.82445e-09, 0, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 4.79372e-33, 3.26655e-14, 4.79372e-33, 4.79372e-33, 1.82441e-09, 4.79372e-33, 4.79372e-33, 4.79372e-33
0.416893, 0, 2.75955e-09, 2.87722e-32, 1.41421, -2.75955e-09, 0, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 2.87722e-32, 5.4215e-14, 2.87722e-32, 2.87722e-32, 2.7595e-09, 2.87722e-32, 2.87722e-32, 2.87722e-32
0.424779, 0, 4.14077e-09, 1.53946e-31, 1.41421, -4.14077e-09, 0, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 1.53946e-31, 8.99233e-14, 1.53946e-31, 1.53946e-31, 4.14068e-09, 1.53946e-31, 1.53946e-31, 1.53946e-31
0.432666, 0, 6.16436e-09, 8.10555e-31, 1.41421, -6.16436e-09, 0, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 8.10555e-31, 1.49054e-13, 8.10555e-31, 8.10555e-31, 6.16421e-09, 8.10555e-31, 8.10555e-31, 8.10555e-31
0.440553, 0, 9.10517e-09, 4.08322e-30, 1.41421, -9.10517e-09, 0, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 4.08322e-30, 2.46874e-13, 4.08322e-30, 4.08322e-30, 9.10492e-09, 4.08322e-30, 4.08322e-30, 4.08322e-30
0.448439, 0, 1.33448e-08, 1.94853e-29, 1.41421, -1.33448e-08, 0, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 1.94853e-29, 4.08453e-13, 1.94853e-29, 1.94853e-29, 1.33444e-08, 1.94853e-29, 1.94853e-29, 1.94853e-29
0.456326, 0, 1.94085e-08, 8.96718e-29, 1.41421, -1.94085e-08, 0, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 8.96718e-29, 6.7481e-13, 8.96718e-29, 8.96718e-29, 1.94079e-08, 8.96718e-29, 8.96718e-29, 8.96718e-29
0.464213, 0, 2.80133e-08, 3.96739e-28, 1.41421, -2.80133e-08, 0, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 3.96739e-28, 1.11272e-12, 3.96739e-28, 3.96739e-28, 2.80122e-08, 3.96739e-28, 3.96739e-28, 3.96739e-28
0.4721, 0, 4.01294e-08, 1.6772e-27, 1.41421, -4.01294e-08, 0, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.6772e-27, 1.8303e-12, 1.6772e-27, 1.6772e-27, 4.01275e-08, 1.6772e-27, 1.6772e-27, 1.6772e-27
0.479986, 0, 5.70587e-08, 6.77071e-27, 1.41421, -5.70587e-08, 0, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 6.77071e-27, 3.00155e-12, 6.77071e-27, 6.77071e-27, 5.70557e-08, 6.77071e-27, 6.77071e-27, 6.77071e-27
