   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_163.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0319309, 326, 0, 0, 18.1108, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0240449, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0161589, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00827294, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000386956, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00749902, 0, 3.43042e-23, 0, 1.41421, -3.43042e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78911e-28, 0, 0, 3.43039e-23, 0, 0, 0
0.015385, 0, 8.89571e-23, 0, 1.41421, -8.89571e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33122e-28, 0, 0, 8.89563e-23, 0, 0, 0
0.023271, 0, 2.25754e-22, 0, 1.41421, -2.25754e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88604e-27, 0, 0, 2.25752e-22, 0, 0, 0
0.031157, 0, 5.61564e-22, 0, 1.41421, -5.61564e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75639e-27, 0, 0, 5.61559e-22, 0, 0, 0
0.0390429, 0, 1.37104e-21, 0, 1.41421, -1.37104e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17745e-26, 0, 0, 1.37103e-21, 0, 0, 0
0.0469289, 0, 3.28915e-21, 0, 1.41421, -3.28915e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86444e-26, 0, 0, 3.28912e-21, 0, 0, 0
0.0548149, 0, 7.76107e-21, 0, 1.41421, -7.76107e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8549e-26, 0, 0, 7.761e-21, 0, 0, 0
0.0627009, 0, 1.80275e-20, 0, 1.41421, -1.80275e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6151e-25, 0, 0, 1.80273e-20, 0, 0, 0
0.0705869, 0, 4.12521e-20, 0, 1.41421, -4.12521e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74943e-25, 0, 0, 4.12518e-20, 0, 0, 0
0.0784728, 0, 9.3055e-20, 0, 1.41421, -9.3055e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.58191e-25, 0, 0, 9.30541e-20, 0, 0, 0
0.0863588, 0, 2.07046e-19, 0, 1.41421, -2.07046e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93782e-24, 0, 0, 2.07044e-19, 0, 0, 0
0.0942448, 0, 4.54624e-19, 0, 1.41421, -4.54624e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31899e-24, 0, 0, 4.5462e-19, 0, 0, 0
0.102131, 0, 9.85588e-19, 0, 1.41421, -9.85588e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50592e-24, 0, 0, 9.85578e-19, 0, 0, 0
0.110017, 0, 2.11044e-18, 0, 1.41421, -2.11044e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06697e-23, 0, 0, 2.11042e-18, 0, 0, 0
0.117903, 0, 4.46529e-18, 0, 1.41421, -4.46529e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44189e-23, 0, 0, 4.46525e-18, 0, 0, 0
0.125789, 0, 9.33834e-18, 0, 1.41421, -9.33834e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43729e-23, 0, 0, 9.33825e-18, 0, 0, 0
0.133675, 0, 1.93092e-17, 0, 1.41421, -1.93092e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98294e-22, 0, 0, 1.9309e-17, 0, 0, 0
0.141561, 0, 3.94867e-17, 0, 1.41421, -3.94867e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12172e-22, 0, 0, 3.94863e-17, 0, 0, 0
0.149447, 0, 7.98804e-17, 0, 1.41421, -7.98804e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47751e-22, 0, 0, 7.98796e-17, 0, 0, 0
0.157333, 0, 1.61616e-16, 0, 1.41421, -1.61616e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75033e-21, 0, 0, 1.61614e-16, 0, 0, 0
0.165219, 0, 3.19748e-16, 0, 1.41421, -3.19748e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52221e-21, 0, 0, 3.19745e-16, 0, 0, 0
0.173105, 0, 6.26279e-16, 0, 1.41421, -6.26279e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.01917e-21, 0, 0, 6.26272e-16, 0, 0, 0
0.180991, 0, 1.21459e-15, 0, 1.41421, -1.21459e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3855e-20, 0, 0, 1.21458e-15, 0, 0, 0
0.188877, 0, 2.33272e-15, 0, 1.41421, -2.33272e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70924e-20, 0, 0, 2.33269e-15, 0, 0, 0
0.196763, 0, 4.43733e-15, 0, 1.41421, -4.43733e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24898e-20, 0, 0, 4.43728e-15, 0, 0, 0
0.204649, 0, 8.36111e-15, 0, 1.41421, -8.36111e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00774e-19, 0, 0, 8.36101e-15, 0, 0, 0
0.212535, 0, 1.56076e-14, 0, 1.41421, -1.56076e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91754e-19, 0, 0, 1.56074e-14, 0, 0, 0
