   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0317107, 328, 0, 0, 18.1659, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0238248, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0159388, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00805285, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000166884, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00771908, 0, 5.01842e-25, 0, 1.41421, -5.01842e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37041e-27, 0, 0, 0, 0, 4.97471e-25, 0, 0, 0
0.015605, 0, 1.50458e-24, 0, 1.41421, -1.50458e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3103e-26, 0, 0, 0, 0, 1.49148e-24, 0, 0, 0
0.023491, 0, 4.35161e-24, 0, 1.41421, -4.35161e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78971e-26, 0, 0, 0, 0, 4.31372e-24, 0, 0, 0
0.031377, 0, 1.21981e-23, 0, 1.41421, -1.21981e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0623e-25, 0, 0, 0, 0, 1.20919e-23, 0, 0, 0
0.0392629, 0, 3.32548e-23, 0, 1.41421, -3.32548e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89607e-25, 0, 0, 0, 0, 3.29652e-23, 0, 0, 0
0.0471489, 0, 8.84127e-23, 0, 1.41421, -8.84127e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.69964e-25, 0, 0, 0, 0, 8.76428e-23, 0, 0, 0
0.0550348, 0, 2.29733e-22, 0, 1.41421, -2.29733e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00068e-24, 0, 0, 0, 0, 2.27732e-22, 0, 0, 0
0.0629208, 0, 5.8445e-22, 0, 1.41421, -5.8445e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08982e-24, 0, 0, 0, 0, 5.7936e-22, 0, 0, 0
0.0708068, 0, 1.45791e-21, 0, 1.41421, -1.45791e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26966e-23, 0, 0, 0, 0, 1.44521e-21, 0, 0, 0
0.0786927, 0, 3.5704e-21, 0, 1.41421, -3.5704e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10937e-23, 0, 0, 0, 0, 3.5393e-21, 0, 0, 0
0.0865787, 0, 8.59346e-21, 0, 1.41421, -8.59346e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48382e-23, 0, 0, 0, 0, 8.51862e-21, 0, 0, 0
0.0944647, 0, 2.03461e-20, 0, 1.41421, -2.03461e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77189e-22, 0, 0, 0, 0, 2.01689e-20, 0, 0, 0
0.102351, 0, 4.74245e-20, 0, 1.41421, -4.74245e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13008e-22, 0, 0, 0, 0, 4.70115e-20, 0, 0, 0
0.110237, 0, 1.08901e-19, 0, 1.41421, -1.08901e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.48395e-22, 0, 0, 0, 0, 1.07953e-19, 0, 0, 0
0.118123, 0, 2.46512e-19, 0, 1.41421, -2.46512e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14681e-21, 0, 0, 0, 0, 2.44365e-19, 0, 0, 0
0.126008, 0, 5.50364e-19, 0, 1.41421, -5.50364e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79298e-21, 0, 0, 0, 0, 5.45571e-19, 0, 0, 0
0.133894, 0, 1.21248e-18, 0, 1.41421, -1.21248e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05591e-20, 0, 0, 0, 0, 1.20192e-18, 0, 0, 0
0.14178, 0, 2.63689e-18, 0, 1.41421, -2.63689e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2964e-20, 0, 0, 0, 0, 2.61393e-18, 0, 0, 0
0.149666, 0, 5.66333e-18, 0, 1.41421, -5.66333e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93205e-20, 0, 0, 0, 0, 5.61401e-18, 0, 0, 0
