   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_167.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313439, 334, 0, 0, 18.3303, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234589, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155739, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00768895, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000196019, 0, 1.00867e-23, 0, 1.41421, -1.00867e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8713e-28, 0, 0, 1.00865e-23, 0, 0, 0
0.00808099, 0, 2.78659e-23, 0, 1.41421, -2.78659e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.23882e-28, 0, 0, 2.78654e-23, 0, 0, 0
0.015966, 0, 7.48188e-23, 0, 1.41421, -7.48188e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42528e-27, 0, 0, 7.48174e-23, 0, 0, 0
0.0238509, 0, 1.95826e-22, 0, 1.41421, -1.95826e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.77992e-27, 0, 0, 1.95822e-22, 0, 0, 0
0.0317359, 0, 5.00819e-22, 0, 1.41421, -5.00819e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79551e-27, 0, 0, 5.00809e-22, 0, 0, 0
0.0396209, 0, 1.25395e-21, 0, 1.41421, -1.25395e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48535e-26, 0, 0, 1.25393e-21, 0, 0, 0
0.0475058, 0, 3.07861e-21, 0, 1.41421, -3.07861e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18391e-26, 0, 0, 3.07854e-21, 0, 0, 0
0.0553908, 0, 7.42131e-21, 0, 1.41421, -7.42131e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51092e-25, 0, 0, 7.42116e-21, 0, 0, 0
0.0632758, 0, 1.75852e-20, 0, 1.41421, -1.75852e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62926e-25, 0, 0, 1.75848e-20, 0, 0, 0
0.0711608, 0, 4.09992e-20, 0, 1.41421, -4.09992e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57876e-25, 0, 0, 4.09983e-20, 0, 0, 0
0.0790457, 0, 9.41296e-20, 0, 1.41421, -9.41296e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99722e-24, 0, 0, 9.41276e-20, 0, 0, 0
0.0869307, 0, 2.1297e-19, 0, 1.41421, -2.1297e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58298e-24, 0, 0, 2.12965e-19, 0, 0, 0
0.0948157, 0, 4.75146e-19, 0, 1.41421, -4.75146e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03722e-23, 0, 0, 4.75136e-19, 0, 0, 0
0.102701, 0, 1.04592e-18, 0, 1.41421, -1.04592e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31657e-23, 0, 0, 1.0459e-18, 0, 0, 0
