   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_173.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0323051, 346, 0, 0, 18.6548, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0244185, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.016532, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00864547, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000758931, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00712761, 0, 6.63879e-25, 0, 1.41421, -6.63879e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.29503e-28, 0, 2.60544e-30, 0, 0, 6.63347e-25, 0, 0, 0
0.0150141, 0, 2.1686e-24, 0, 1.41421, -2.1686e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72965e-27, 0, 8.59913e-30, 0, 0, 2.16686e-24, 0, 0, 0
0.0229007, 0, 6.76831e-24, 0, 1.41421, -6.76831e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.39834e-27, 0, 2.71349e-29, 0, 0, 6.76289e-24, 0, 0, 0
0.0307872, 0, 2.03209e-23, 0, 1.41421, -2.03209e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62077e-26, 0, 8.24032e-29, 0, 0, 2.03046e-23, 0, 0, 0
0.0386738, 0, 5.89826e-23, 0, 1.41421, -5.89826e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.70439e-26, 0, 2.41993e-28, 0, 0, 5.89353e-23, 0, 0, 0
0.0465603, 0, 1.66138e-22, 0, 1.41421, -1.66138e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3251e-25, 0, 6.89794e-28, 0, 0, 1.66004e-22, 0, 0, 0
0.0544468, 0, 4.55471e-22, 0, 1.41421, -4.55471e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.63279e-25, 0, 1.91411e-27, 0, 0, 4.55105e-22, 0, 0, 0
0.0623334, 0, 1.21823e-21, 0, 1.41421, -1.21823e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.71652e-25, 0, 5.1829e-27, 0, 0, 1.21726e-21, 0, 0, 0
0.0702199, 0, 3.18508e-21, 0, 1.41421, -3.18508e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54039e-24, 0, 1.37207e-26, 0, 0, 3.18253e-21, 0, 0, 0
