   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_184.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315563, 368, 0, 0, 19.2354, 368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236709, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157855, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00790004, 4, 0, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-1.4617e-05, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00787081, 2, 2.35208e-24, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27159e-29, 0, 0, 2.35201e-24, 0, 0, 0
0.0157562, 2, 6.75192e-24, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.82343e-28, 0, 0, 6.75174e-24, 0, 0, 0
0.0236417, 2, 1.88196e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1484e-28, 0, 0, 1.8819e-23, 0, 0, 0
0.0315271, 0, 5.10826e-23, 0, 1.41421, -5.10826e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41576e-27, 0, 0, 5.10812e-23, 0, 0, 0
0.0394125, 4, 1.35345e-22, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80073e-27, 0, 0, 1.35341e-22, 0, 0, 0
0.0472979, 2, 3.50712e-22, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.98013e-27, 0, 0, 3.50702e-22, 0, 0, 0
0.0551834, 4, 8.90214e-22, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56742e-26, 0, 0, 8.90188e-22, 0, 0, 0
0.0630688, 4, 2.21645e-21, 0, 2.44949, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4795e-26, 0, 0, 2.21639e-21, 0, 0, 0
0.0709542, 6, 5.4193e-21, 0, 2.82843, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60609e-25, 0, 0, 5.41914e-21, 0, 0, 0
0.0788396, 2, 1.30251e-20, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91403e-25, 0, 0, 1.30247e-20, 0, 0, 0
