   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0286023, 370, 0, 0, 19.2873, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0207207, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0128392, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0049576, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00292396, 0, 7.91006e-24, 0, 1.41421, -7.91006e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05825e-27, 0, 0, 2.88217e-29, 0, 0, 7.90797e-24, 0, 0, 0
0.0108055, 0, 2.251e-23, 0, 1.41421, -2.251e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.85727e-27, 0, 0, 8.26317e-29, 0, 0, 2.25041e-23, 0, 0, 0
0.0186871, 0, 6.22091e-23, 0, 1.41421, -6.22091e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61873e-26, 0, 0, 2.30145e-28, 0, 0, 6.21927e-23, 0, 0, 0
0.0265686, 0, 1.67452e-22, 0, 1.41421, -1.67452e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35723e-26, 0, 0, 6.24511e-28, 0, 0, 1.67408e-22, 0, 0, 0
0.0344502, 0, 4.40059e-22, 0, 1.41421, -4.40059e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14506e-25, 0, 0, 1.65492e-27, 0, 0, 4.39943e-22, 0, 0, 0
0.0423318, 0, 1.1312e-21, 0, 1.41421, -1.1312e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94347e-25, 0, 0, 4.29078e-27, 0, 0, 1.1309e-21, 0, 0, 0
0.0502133, 0, 2.8489e-21, 0, 1.41421, -2.8489e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.41304e-25, 0, 0, 1.09021e-26, 0, 0, 2.84815e-21, 0, 0, 0
0.0580949, 0, 7.03888e-21, 0, 1.41421, -7.03888e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83157e-24, 0, 0, 2.71822e-26, 0, 0, 7.03702e-21, 0, 0, 0
0.0659764, 0, 1.70812e-20, 0, 1.41421, -1.70812e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44466e-24, 0, 0, 6.6582e-26, 0, 0, 1.70767e-20, 0, 0, 0
0.073858, 0, 4.07523e-20, 0, 1.41421, -4.07523e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0604e-23, 0, 0, 1.60383e-25, 0, 0, 4.07415e-20, 0, 0, 0
0.0817396, 0, 9.567e-20, 0, 1.41421, -9.567e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4894e-23, 0, 0, 3.80245e-25, 0, 0, 9.56447e-20, 0, 0, 0
0.0896211, 0, 2.21165e-19, 0, 1.41421, -2.21165e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75487e-23, 0, 0, 8.87976e-25, 0, 0, 2.21106e-19, 0, 0, 0
0.0975027, 0, 5.03802e-19, 0, 1.41421, -5.03802e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31093e-22, 0, 0, 2.0439e-24, 0, 0, 5.03669e-19, 0, 0, 0
0.105384, 0, 1.13152e-18, 0, 1.41421, -1.13152e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9443e-22, 0, 0, 4.63981e-24, 0, 0, 1.13122e-18, 0, 0, 0
0.113266, 0, 2.50698e-18, 0, 1.41421, -2.50698e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52334e-22, 0, 0, 1.03932e-23, 0, 0, 2.50632e-18, 0, 0, 0
0.121147, 0, 5.48181e-18, 0, 1.41421, -5.48181e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42641e-21, 0, 0, 2.29834e-23, 0, 0, 5.48036e-18, 0, 0, 0
0.129029, 0, 1.20886e-17, 0, 1.41421, -1.20886e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14555e-21, 0, 0, 5.14655e-23, 0, 0, 1.20854e-17, 0, 0, 0
0.136911, 0, 2.57162e-17, 0, 1.41421, -2.57162e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69153e-21, 0, 0, 1.1078e-22, 0, 0, 2.57094e-17, 0, 0, 0
0.144792, 0, 5.40658e-17, 0, 1.41421, -5.40658e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40683e-20, 0, 0, 2.35744e-22, 0, 0, 5.40515e-17, 0, 0, 0
0.152674, 0, 1.12369e-16, 0, 1.41421, -1.12369e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92392e-20, 0, 0, 4.9611e-22, 0, 0, 1.12339e-16, 0, 0, 0
0.160555, 0, 2.30936e-16, 0, 1.41421, -2.30936e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00911e-20, 0, 0, 1.03274e-21, 0, 0, 2.30874e-16, 0, 0, 0
0.168437, 0, 4.69413e-16, 0, 1.41421, -4.69413e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22145e-19, 0, 0, 2.12708e-21, 0, 0, 4.69289e-16, 0, 0, 0
0.176318, 0, 9.43909e-16, 0, 1.41421, -9.43909e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45612e-19, 0, 0, 4.33566e-21, 0, 0, 9.43659e-16, 0, 0, 0
0.1842, 0, 1.87801e-15, 0, 1.41421, -1.87801e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.88671e-19, 0, 0, 8.74766e-21, 0, 0, 1.87751e-15, 0, 0, 0
0.192081, 0, 3.69774e-15, 0, 1.41421, -3.69774e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.62177e-19, 0, 0, 1.74734e-20, 0, 0, 3.69676e-15, 0, 0, 0
0.199963, 0, 7.20635e-15, 0, 1.41421, -7.20635e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87514e-18, 0, 0, 3.45612e-20, 0, 0, 7.20444e-15, 0, 0, 0
0.207845, 0, 1.39026e-14, 0, 1.41421, -1.39026e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61755e-18, 0, 0, 6.77009e-20, 0, 0, 1.3899e-14, 0, 0, 0
0.215726, 0, 2.65547e-14, 0, 1.41421, -2.65547e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9097e-18, 0, 0, 1.3136e-19, 0, 0, 2.65477e-14, 0, 0, 0
0.223608, 0, 5.02231e-14, 0, 1.41421, -5.02231e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30683e-17, 0, 0, 2.52501e-19, 0, 0, 5.02098e-14, 0, 0, 0
0.231489, 0, 9.40658e-14, 0, 1.41421, -9.40658e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44765e-17, 0, 0, 4.80908e-19, 0, 0, 9.40409e-14, 0, 0, 0
0.239371, 0, 1.74491e-13, 0, 1.41421, -1.74491e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54036e-17, 0, 0, 9.07661e-19, 0, 0, 1.74445e-13, 0, 0, 0
0.247252, 0, 3.20604e-13, 0, 1.41421, -3.20604e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.34233e-17, 0, 0, 1.69789e-18, 0, 0, 3.20519e-13, 0, 0, 0
