   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_191.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0306107, 382, 0, 0, 19.5959, 382, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.022727, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0148433, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00695955, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000924182, 0, 5.79561e-24, 0, 1.41421, -5.79561e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84839e-27, 0, 0, 9.11987e-29, 0, 1.03404e-27, 0, 5.79263e-24, 0, 0, 0
0.00880791, 0, 1.62661e-23, 0, 1.41421, -1.62661e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1877e-27, 0, 0, 2.59942e-28, 0, 2.9939e-27, 0, 1.62577e-23, 0, 0, 0
0.0166916, 0, 4.42767e-23, 0, 1.41421, -4.42767e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41209e-26, 0, 0, 7.18239e-28, 0, 8.37645e-27, 0, 4.42535e-23, 0, 0, 0
0.0245754, 0, 1.17299e-22, 0, 1.41421, -1.17299e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74093e-26, 0, 0, 1.93088e-27, 0, 2.27478e-26, 0, 1.17237e-22, 0, 0, 0
0.0324591, 0, 3.03255e-22, 0, 1.41421, -3.03255e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.67148e-26, 0, 0, 5.06474e-27, 0, 6.01628e-26, 0, 3.03093e-22, 0, 0, 0
0.0403428, 0, 7.66737e-22, 0, 1.41421, -7.66737e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44528e-25, 0, 0, 1.29908e-26, 0, 1.55368e-25, 0, 7.66325e-22, 0, 0, 0
0.0482265, 0, 1.89919e-21, 0, 1.41421, -1.89919e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.05688e-25, 0, 0, 3.26425e-26, 0, 3.92597e-25, 0, 1.89816e-21, 0, 0, 0
0.0561103, 0, 4.61532e-21, 0, 1.41421, -4.61532e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47191e-24, 0, 0, 8.04726e-26, 0, 9.72351e-25, 0, 4.61279e-21, 0, 0, 0
0.063994, 0, 1.10174e-20, 0, 1.41421, -1.10174e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51365e-24, 0, 0, 1.94887e-25, 0, 2.36379e-24, 0, 1.10114e-20, 0, 0, 0
0.0718777, 0, 2.58621e-20, 0, 1.41421, -2.58621e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2478e-24, 0, 0, 4.64152e-25, 0, 5.6472e-24, 0, 2.58477e-20, 0, 0, 0
0.0797615, 0, 5.97505e-20, 0, 1.41421, -5.97505e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90553e-23, 0, 0, 1.08814e-24, 0, 1.32722e-23, 0, 5.9717e-20, 0, 0, 0
