   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0290788, 390, 0, 0, 19.799, 390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0211964, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0133141, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00543172, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00245063, 0, 1.22343e-23, 0, 1.41421, -1.22343e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20865e-25, 0, 4.27965e-28, 7.87518e-28, 0, 1.21122e-23, 0, 0, 0
0.010333, 0, 3.42399e-23, 0, 1.41421, -3.42399e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38261e-25, 0, 1.20698e-27, 2.3022e-27, 0, 3.38981e-23, 0, 0, 0
0.0182153, 0, 9.30799e-23, 0, 1.41421, -9.30799e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.19547e-25, 0, 3.30769e-27, 6.50714e-27, 0, 9.21505e-23, 0, 0, 0
0.0260977, 0, 2.47666e-22, 0, 1.41421, -2.47666e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44672e-24, 0, 8.88538e-27, 1.79884e-26, 0, 2.45193e-22, 0, 0, 0
0.03398, 0, 7.04099e-22, 0, 1.41421, -7.04099e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95583e-24, 0, 2.56653e-26, 5.39373e-26, 0, 6.97064e-22, 0, 0, 0
0.0418624, 0, 1.76635e-21, 0, 1.41421, -1.76635e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74498e-23, 0, 6.49873e-26, 1.39287e-25, 0, 1.74869e-21, 0, 0, 0
