   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_200.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313508, 400, 0, 0, 20.0499, 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234667, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155826, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00769844, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000185672, 0, 2.22943e-23, 0, 1.41421, -2.22943e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78537e-28, 2.50957e-28, 0, 2.22939e-23, 0, 0, 0
0.00806979, 0, 6.13208e-23, 0, 1.41421, -6.13208e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9735e-28, 7.06697e-28, 0, 6.13196e-23, 0, 0, 0
0.0159539, 0, 1.64061e-22, 0, 1.41421, -1.64061e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34767e-27, 1.93235e-27, 0, 1.64058e-22, 0, 0, 0
0.023838, 0, 4.28159e-22, 0, 1.41421, -4.28159e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56225e-27, 5.14688e-27, 0, 4.2815e-22, 0, 0, 0
0.0317221, 0, 1.09238e-21, 0, 1.41421, -1.09238e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.20597e-27, 1.33877e-26, 0, 1.09235e-21, 0, 0, 0
0.0396062, 0, 2.72956e-21, 0, 1.41421, -2.72956e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33032e-26, 3.40768e-26, 0, 2.7295e-21, 0, 0, 0
0.0474904, 0, 6.68989e-21, 0, 1.41421, -6.68989e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78666e-26, 8.50221e-26, 0, 6.68974e-21, 0, 0, 0
0.0553745, 0, 1.61028e-20, 0, 1.41421, -1.61028e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41144e-25, 2.08224e-25, 0, 1.61025e-20, 0, 0, 0
0.0632586, 0, 3.81075e-20, 0, 1.41421, -3.81075e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38528e-25, 5.01156e-25, 0, 3.81067e-20, 0, 0, 0
0.0711427, 0, 8.87452e-20, 0, 1.41421, -8.87452e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99157e-25, 1.18659e-24, 0, 8.87432e-20, 0, 0, 0
0.0790268, 0, 2.03543e-19, 0, 1.41421, -2.03543e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85836e-24, 2.76626e-24, 0, 2.03538e-19, 0, 0, 0
0.0869109, 0, 4.60095e-19, 0, 1.41421, -4.60095e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2599e-24, 6.35462e-24, 0, 4.60085e-19, 0, 0, 0
0.094795, 0, 1.02562e-18, 0, 1.41421, -1.02562e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.63185e-24, 1.4394e-23, 0, 1.0256e-18, 0, 0, 0
0.102679, 0, 2.25585e-18, 0, 1.41421, -2.25585e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14934e-23, 3.21688e-23, 0, 2.2558e-18, 0, 0, 0
0.110563, 0, 4.89809e-18, 0, 1.41421, -4.89809e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.73581e-23, 7.09702e-23, 0, 4.89797e-18, 0, 0, 0
0.118447, 0, 1.05031e-17, 0, 1.41421, -1.05031e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03079e-22, 1.54637e-22, 0, 1.05029e-17, 0, 0, 0
0.126332, 0, 2.22514e-17, 0, 1.41421, -2.22514e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21721e-22, 3.32919e-22, 0, 2.22509e-17, 0, 0, 0
0.134216, 0, 4.65895e-17, 0, 1.41421, -4.65895e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71471e-22, 7.08459e-22, 0, 4.65883e-17, 0, 0, 0
0.1421, 0, 9.64372e-17, 0, 1.41421, -9.64372e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91411e-22, 1.49073e-21, 0, 9.64347e-17, 0, 0, 0
0.149984, 0, 1.974e-16, 0, 1.41421, -1.974e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0622e-21, 3.10263e-21, 0, 1.97395e-16, 0, 0, 0
0.157868, 0, 3.99677e-16, 0, 1.41421, -3.99677e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24423e-21, 6.38906e-21, 0, 3.99666e-16, 0, 0, 0
