   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_201.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313048, 402, 0, 0, 20.0998, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234201, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155355, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00765092, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000233693, 0, 5.26334e-23, 0, 1.41421, -5.26334e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48196e-26, 0, 0, 5.95885e-28, 0, 5.2588e-23, 0, 0, 0
0.0081183, 0, 1.39209e-22, 0, 1.41421, -1.39209e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18542e-25, 0, 0, 1.59843e-27, 0, 1.39088e-22, 0, 0, 0
0.0160029, 0, 3.59664e-22, 0, 1.41421, -3.59664e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06269e-25, 0, 0, 4.18871e-27, 0, 3.59354e-22, 0, 0, 0
0.0238875, 0, 9.09455e-22, 0, 1.41421, -9.09455e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74439e-25, 0, 0, 1.07435e-26, 0, 9.0867e-22, 0, 0, 0
0.0317721, 0, 2.25427e-21, 0, 1.41421, -2.25427e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9196e-24, 0, 0, 2.7014e-26, 0, 2.25232e-21, 0, 0, 0
0.0396568, 0, 5.48463e-21, 0, 1.41421, -5.48463e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67039e-24, 0, 0, 6.66788e-26, 0, 5.47989e-21, 0, 0, 0
0.0475414, 0, 1.31129e-20, 0, 1.41421, -1.31129e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11662e-23, 0, 0, 1.61748e-25, 0, 1.31016e-20, 0, 0, 0
0.055426, 0, 3.08379e-20, 0, 1.41421, -3.08379e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.62597e-23, 0, 0, 3.85991e-25, 0, 3.08112e-20, 0, 0, 0
0.0633106, 0, 7.13959e-20, 0, 1.41421, -7.13959e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.07966e-23, 0, 0, 9.06928e-25, 0, 7.13342e-20, 0, 0, 0
0.0711952, 0, 1.6285e-19, 0, 1.41421, -1.6285e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.38673e-22, 0, 0, 2.09968e-24, 0, 1.62709e-19, 0, 0, 0
