   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_211.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0394063, 422, 0, 0, 20.5913, 422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.031512, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236176, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157233, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00782901, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.53019e-05, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00795962, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0158539, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0237482, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0316426, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0395369, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0474312, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0553255, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0632198, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0711141, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0790085, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0869028, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0947971, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.102691, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.110586, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.11848, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.126374, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.134269, 0, 1.3256e-28, 0, 1.41421, -1.3256e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24104e-31, 0, 0, 7.80789e-34, 0, 0, 1.32335e-28, 0, 0, 0
0.142163, 0, 1.61103e-27, 0, 1.41421, -1.61103e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72359e-30, 0, 0, 9.48912e-33, 0, 0, 1.6083e-27, 0, 0, 0
0.150057, 0, 2.05701e-26, 0, 1.41421, -2.05701e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47756e-29, 0, 0, 1.21348e-31, 0, 0, 2.05352e-26, 0, 0, 0
0.157952, 0, 1.09995e-25, 0, 1.41421, -1.09995e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85956e-28, 0, 0, 6.51219e-31, 0, 0, 1.09808e-25, 0, 0, 0
0.165846, 0, 5.31132e-25, 0, 1.41421, -5.31132e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.97924e-28, 0, 0, 3.16235e-30, 0, 0, 5.30231e-25, 0, 0, 0
0.17374, 0, 2.37022e-24, 0, 1.41421, -2.37022e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00706e-27, 0, 0, 1.42061e-29, 0, 0, 2.3662e-24, 0, 0, 0
0.181635, 0, 9.91842e-24, 0, 1.41421, -9.91842e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67679e-26, 0, 0, 5.98755e-29, 0, 0, 9.90159e-24, 0, 0, 0
0.189529, 0, 3.93032e-23, 0, 1.41421, -3.93032e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64454e-26, 0, 0, 2.3907e-28, 0, 0, 3.92365e-23, 0, 0, 0
0.197423, 0, 1.48522e-22, 0, 1.41421, -1.48522e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5109e-25, 0, 0, 9.10586e-28, 0, 0, 1.4827e-22, 0, 0, 0
0.205317, 0, 5.38035e-22, 0, 1.41421, -5.38035e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09594e-25, 0, 0, 3.32586e-27, 0, 0, 5.37122e-22, 0, 0, 0
0.213212, 0, 1.87608e-21, 0, 1.41421, -1.87608e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17168e-24, 0, 0, 1.16961e-26, 0, 0, 1.8729e-21, 0, 0, 0
0.221106, 0, 6.3171e-21, 0, 1.41421, -6.3171e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06796e-23, 0, 0, 3.97319e-26, 0, 0, 6.30638e-21, 0, 0, 0
0.229, 0, 2.06213e-20, 0, 1.41421, -2.06213e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48622e-23, 0, 0, 1.3095e-25, 0, 0, 2.05863e-20, 0, 0, 0
0.236895, 0, 6.52994e-20, 0, 1.41421, -6.52994e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10394e-22, 0, 0, 4.18778e-25, 0, 0, 6.51886e-20, 0, 0, 0
