   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0320647, 438, 0, 0, 20.9762, 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0241802, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162957, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00841117, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000526674, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00735782, 0, 4.33152e-24, 0, 1.41421, -4.33152e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57041e-26, 0, 0, 2.05524e-29, 2.62078e-28, 0, 4.31553e-24, 0, 0, 0
0.0152423, 0, 1.25116e-23, 0, 1.41421, -1.25116e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53612e-26, 0, 0, 6.0068e-29, 7.83053e-28, 0, 1.24654e-23, 0, 0, 0
0.0231268, 2, 3.50872e-23, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2721e-25, 0, 0, 1.70477e-28, 2.26365e-27, 0, 3.49576e-23, 0, 0, 0
0.0310113, 0, 9.58134e-23, 0, 1.41421, -9.58134e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47373e-25, 0, 0, 4.71194e-28, 6.35477e-27, 0, 9.54592e-23, 0, 0, 0
0.0388958, 0, 2.55367e-22, 0, 1.41421, -2.55367e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25835e-25, 0, 0, 1.27133e-27, 1.7375e-26, 0, 2.54423e-22, 0, 0, 0
