   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_220.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0291297, 440, 0, 0, 21.0238, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0212482, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0133667, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00548517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00239635, 0, 1.00677e-28, 0, 1.41421, -1.00677e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69659e-31, 0, 0, 1.62842e-34, 0, 1.00208e-28, 0, 0, 0
0.0102779, 0, 9.72259e-28, 0, 1.41421, -9.72259e-28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53558e-30, 0, 0, 1.5726e-33, 0, 9.67722e-28, 0, 0, 0
0.0181594, 0, 5.89373e-27, 0, 1.41421, -5.89373e-27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74942e-29, 0, 0, 9.53292e-33, 0, 5.86623e-27, 0, 0, 0
0.0260409, 0, 2.85915e-26, 0, 1.41421, -2.85915e-26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33379e-28, 0, 0, 4.62458e-32, 0, 2.8458e-26, 0, 0, 0
0.0339224, 0, 1.21098e-25, 0, 1.41421, -1.21098e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6492e-28, 0, 0, 1.9636e-31, 0, 1.20533e-25, 0, 0, 0
0.0418039, 0, 4.66571e-25, 0, 1.41421, -4.66571e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17655e-27, 0, 0, 7.59556e-31, 0, 4.64393e-25, 0, 0, 0
0.0496854, 0, 1.67392e-24, 0, 1.41421, -1.67392e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8088e-27, 0, 0, 2.7383e-30, 0, 1.6661e-24, 0, 0, 0
0.057567, 0, 5.67418e-24, 0, 1.41421, -5.67418e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.647e-26, 0, 0, 9.33229e-30, 0, 5.6477e-24, 0, 0, 0
0.0654485, 0, 1.86099e-23, 0, 1.41421, -1.86099e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68152e-26, 0, 0, 3.08334e-29, 0, 1.85231e-23, 0, 0, 0
0.07333, 0, 5.83102e-23, 0, 1.41421, -5.83102e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72017e-25, 0, 0, 9.72956e-29, 0, 5.80381e-23, 0, 0, 0
0.0812115, 0, 1.75795e-22, 0, 1.41421, -1.75795e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.20081e-25, 0, 0, 2.95375e-28, 0, 1.74974e-22, 0, 0, 0
0.089093, 0, 5.12508e-22, 0, 1.41421, -5.12508e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39085e-24, 0, 0, 8.67126e-28, 0, 5.10116e-22, 0, 0, 0
0.0969746, 0, 1.45023e-21, 0, 1.41421, -1.45023e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76532e-24, 0, 0, 2.4709e-27, 0, 1.44347e-21, 0, 0, 0
0.104856, 0, 4.32544e-21, 0, 1.41421, -4.32544e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01782e-23, 0, 0, 7.45379e-27, 0, 4.30526e-21, 0, 0, 0
0.112738, 0, 1.15068e-20, 0, 1.41421, -1.15068e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3679e-23, 0, 0, 1.99701e-26, 0, 1.14531e-20, 0, 0, 0
0.120619, 0, 2.99608e-20, 0, 1.41421, -2.99608e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39767e-22, 0, 0, 5.23773e-26, 0, 2.9821e-20, 0, 0, 0
0.128501, 0, 7.64517e-20, 0, 1.41421, -7.64517e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56647e-22, 0, 0, 1.34659e-25, 0, 7.60949e-20, 0, 0, 0
0.136382, 0, 1.91398e-19, 0, 1.41421, -1.91398e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92871e-22, 0, 0, 3.39741e-25, 0, 1.90505e-19, 0, 0, 0
0.144264, 0, 4.70569e-19, 0, 1.41421, -4.70569e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1952e-21, 0, 0, 8.41992e-25, 0, 4.68373e-19, 0, 0, 0
0.152145, 0, 1.13713e-18, 0, 1.41421, -1.13713e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3047e-21, 0, 0, 2.0516e-24, 0, 1.13182e-18, 0, 0, 0
0.160027, 0, 2.70286e-18, 0, 1.41421, -2.70286e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26088e-20, 0, 0, 4.91853e-24, 0, 2.69025e-18, 0, 0, 0
0.167908, 0, 6.32342e-18, 0, 1.41421, -6.32342e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94987e-20, 0, 0, 1.161e-23, 0, 6.29391e-18, 0, 0, 0
0.17579, 0, 1.45697e-17, 0, 1.41421, -1.45697e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79676e-20, 0, 0, 2.69991e-23, 0, 1.45017e-17, 0, 0, 0
0.183671, 0, 3.30788e-17, 0, 1.41421, -3.30788e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54312e-19, 0, 0, 6.18901e-23, 0, 3.29244e-17, 0, 0, 0
0.191553, 0, 7.40371e-17, 0, 1.41421, -7.40371e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45382e-19, 0, 0, 1.39914e-22, 0, 7.36915e-17, 0, 0, 0
0.199434, 0, 1.6343e-16, 0, 1.41421, -1.6343e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.62398e-19, 0, 0, 3.12071e-22, 0, 1.62667e-16, 0, 0, 0
0.207316, 0, 3.55925e-16, 0, 1.41421, -3.55925e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66038e-18, 0, 0, 6.87026e-22, 0, 3.54263e-16, 0, 0, 0
0.215197, 0, 7.6502e-16, 0, 1.41421, -7.6502e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56881e-18, 0, 0, 1.49338e-21, 0, 7.6145e-16, 0, 0, 0
0.223079, 0, 1.62332e-15, 0, 1.41421, -1.62332e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57277e-18, 0, 0, 3.20614e-21, 0, 1.61575e-15, 0, 0, 0
0.23096, 0, 3.4015e-15, 0, 1.41421, -3.4015e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58679e-17, 0, 0, 6.8004e-21, 0, 3.38562e-15, 0, 0, 0
0.238842, 0, 7.03997e-15, 0, 1.41421, -7.03997e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28413e-17, 0, 0, 1.4254e-20, 0, 7.00712e-15, 0, 0, 0
0.246723, 0, 1.43947e-14, 0, 1.41421, -1.43947e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71507e-17, 0, 0, 2.95322e-20, 0, 1.43275e-14, 0, 0, 0
0.254605, 0, 2.90837e-14, 0, 1.41421, -2.90837e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35674e-16, 0, 0, 6.04927e-20, 0, 2.8948e-14, 0, 0, 0
0.262486, 0, 5.8075e-14, 0, 1.41421, -5.8075e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70916e-16, 0, 0, 1.22532e-19, 0, 5.7804e-14, 0, 0, 0
0.270368, 0, 1.14627e-13, 0, 1.41421, -1.14627e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.34726e-16, 0, 0, 2.45483e-19, 0, 1.14092e-13, 0, 0, 0
0.278249, 0, 2.23671e-13, 0, 1.41421, -2.23671e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04341e-15, 0, 0, 4.86536e-19, 0, 2.22627e-13, 0, 0, 0
0.286131, 0, 4.31534e-13, 0, 1.41421, -4.31534e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01308e-15, 0, 0, 9.54135e-19, 0, 4.2952e-13, 0, 0, 0
0.294012, 0, 8.233e-13, 0, 1.41421, -8.233e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.84065e-15, 0, 0, 1.8518e-18, 0, 8.19457e-13, 0, 0, 0
0.301894, 0, 1.55341e-12, 0, 1.41421, -1.55341e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24662e-15, 0, 0, 3.55759e-18, 0, 1.54616e-12, 0, 0, 0
0.309776, 0, 2.89898e-12, 0, 1.41421, -2.89898e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35239e-14, 0, 0, 6.76686e-18, 0, 2.88545e-12, 0, 0, 0
0.317657, 0, 5.35155e-12, 0, 1.41421, -5.35155e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49657e-14, 0, 0, 1.27466e-17, 0, 5.32658e-12, 0, 0, 0
0.325539, 0, 9.78107e-12, 0, 1.41421, -9.78107e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56321e-14, 0, 0, 2.38321e-17, 0, 9.73542e-12, 0, 0, 0
0.33342, 0, 1.76697e-11, 0, 1.41421, -1.76697e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.24396e-14, 0, 0, 4.40605e-17, 0, 1.75872e-11, 0, 0, 0
0.341302, 0, 3.15842e-11, 0, 1.41421, -3.15842e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4737e-13, 0, 0, 8.07476e-17, 0, 3.14368e-11, 0, 0, 0
0.349183, 0, 5.58651e-11, 2.35418e-43, 1.41421, -5.58651e-11, 0, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.60691e-13, 2.35418e-43, 2.35418e-43, 1.46747e-16, 2.35418e-43, 5.56043e-11, 2.35418e-43, 2.35418e-43, 2.35418e-43
0.357065, 0, 9.7786e-11, 4.17307e-42, 1.41421, -9.7786e-11, 0, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.17307e-42, 4.56377e-13, 4.17307e-42, 4.17307e-42, 2.64583e-16, 4.17307e-42, 9.73294e-11, 4.17307e-42, 4.17307e-42, 4.17307e-42
0.364946, 0, 1.69397e-10, 6.04604e-41, 1.41421, -1.69397e-10, 0, 6.04604e-41, 6.04604e-41, 6.04604e-41, 6.04604e-41, 6.04604e-41, 6.04604e-41, 6.04604e-41, 6.04604e-41, 6.04604e-41, 7.90745e-13, 6.04604e-41, 6.04604e-41, 4.73509e-16, 6.04604e-41, 1.68606e-10, 6.04604e-41, 6.04604e-41, 6.04604e-41
0.372828, 0, 2.90444e-10, 7.75082e-40, 1.41421, -2.90444e-10, 0, 7.75082e-40, 7.75082e-40, 7.75082e-40, 7.75082e-40, 7.75082e-40, 7.75082e-40, 7.75082e-40, 7.75082e-40, 7.75082e-40, 1.35614e-12, 7.75082e-40, 7.75082e-40, 8.41619e-16, 7.75082e-40, 2.89087e-10, 7.75082e-40, 7.75082e-40, 7.75082e-40
0.380709, 0, 4.92916e-10, 8.88414e-39, 1.41421, -4.92916e-10, 0, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 8.88414e-39, 2.30229e-12, 8.88414e-39, 8.88414e-39, 1.48662e-15, 8.88414e-39, 4.90613e-10, 8.88414e-39, 8.88414e-39, 8.88414e-39
