   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_222.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0297081, 444, 0, 0, 21.1187, 444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0218259, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0139437, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00606151, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0018207, 0, 1.51557e-25, 0, 1.41421, -1.51557e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4171e-28, 0, 0, 2.21347e-31, 6.11754e-31, 0, 1.51114e-25, 0, 0, 0
0.0097029, 0, 5.22216e-25, 0, 1.41421, -5.22216e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52199e-27, 0, 0, 7.72212e-31, 2.24445e-30, 0, 5.20691e-25, 0, 0, 0
0.0175851, 0, 1.70293e-24, 0, 1.41421, -1.70293e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96316e-27, 0, 0, 2.55207e-30, 7.69415e-30, 0, 1.69795e-24, 0, 0, 0
0.0254673, 0, 5.30647e-24, 0, 1.41421, -5.30647e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54656e-26, 0, 0, 8.06355e-30, 2.49929e-29, 0, 5.29097e-24, 0, 0, 0
0.0333495, 0, 1.59082e-23, 0, 1.41421, -1.59082e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63643e-26, 0, 0, 2.45174e-29, 7.76457e-29, 0, 1.58618e-23, 0, 0, 0
0.0412317, 0, 4.61114e-23, 0, 1.41421, -4.61114e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34391e-25, 0, 0, 7.20857e-29, 2.32227e-28, 0, 4.59767e-23, 0, 0, 0
0.0491139, 0, 1.29718e-22, 0, 1.41421, -1.29718e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78061e-25, 0, 0, 2.05715e-28, 6.71886e-28, 0, 1.29339e-22, 0, 0, 0
0.0569961, 0, 3.55208e-22, 0, 1.41421, -3.55208e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03525e-24, 0, 0, 5.71486e-28, 1.88742e-27, 0, 3.5417e-22, 0, 0, 0
0.0648783, 0, 9.49041e-22, 0, 1.41421, -9.49041e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76596e-24, 0, 0, 1.54916e-27, 5.16284e-27, 0, 9.46268e-22, 0, 0, 0
0.0727605, 0, 2.47883e-21, 0, 1.41421, -2.47883e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.22451e-24, 0, 0, 4.10571e-27, 1.37837e-26, 0, 2.47159e-21, 0, 0, 0
0.0806427, 0, 6.33971e-21, 0, 1.41421, -6.33971e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8477e-23, 0, 0, 1.06557e-26, 3.5986e-26, 0, 6.32119e-21, 0, 0, 0
0.0885249, 0, 1.5898e-20, 0, 1.41421, -1.5898e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.63345e-23, 0, 0, 2.71195e-26, 9.20223e-26, 0, 1.58516e-20, 0, 0, 0
0.0964072, 0, 3.91355e-20, 0, 1.41421, -3.91355e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1406e-22, 0, 0, 6.77624e-26, 2.30797e-25, 0, 3.90211e-20, 0, 0, 0
0.104289, 0, 9.46647e-20, 0, 1.41421, -9.46647e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75898e-22, 0, 0, 1.66398e-25, 5.68394e-25, 0, 9.4388e-20, 0, 0, 0
0.112172, 0, 2.25202e-19, 0, 1.41421, -2.25202e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.56348e-22, 0, 0, 4.01925e-25, 1.37589e-24, 0, 2.24544e-19, 0, 0, 0
0.120054, 0, 5.27459e-19, 0, 1.41421, -5.27459e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53727e-21, 0, 0, 9.56254e-25, 3.2784e-24, 0, 5.25918e-19, 0, 0, 0
0.127936, 0, 1.21666e-18, 0, 1.41421, -1.21666e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54595e-21, 0, 0, 2.24096e-24, 7.69012e-24, 0, 1.21311e-18, 0, 0, 0
0.135818, 0, 2.84613e-18, 0, 1.41421, -2.84613e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.29499e-21, 0, 0, 5.35711e-24, 1.83861e-23, 0, 2.83781e-18, 0, 0, 0
0.1437, 0, 6.35737e-18, 0, 1.41421, -6.35737e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85284e-20, 0, 0, 1.21573e-23, 4.17255e-23, 0, 6.33879e-18, 0, 0, 0
0.151583, 0, 1.40131e-17, 0, 1.41421, -1.40131e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08409e-20, 0, 0, 2.72315e-23, 9.34344e-23, 0, 1.39721e-17, 0, 0, 0
0.159465, 0, 3.04919e-17, 0, 1.41421, -3.04919e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88681e-20, 0, 0, 6.02291e-23, 2.06533e-22, 0, 3.04028e-17, 0, 0, 0
0.167347, 0, 6.55214e-17, 0, 1.41421, -6.55214e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90961e-19, 0, 0, 1.31582e-22, 4.50847e-22, 0, 6.53298e-17, 0, 0, 0
0.175229, 0, 1.39078e-16, 0, 1.41421, -1.39078e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0534e-19, 0, 0, 2.84038e-22, 9.72249e-22, 0, 1.38672e-16, 0, 0, 0
0.183111, 0, 2.91699e-16, 0, 1.41421, -2.91699e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.50149e-19, 0, 0, 6.06004e-22, 2.07194e-21, 0, 2.90846e-16, 0, 0, 0
0.190994, 0, 6.04671e-16, 0, 1.41421, -6.04671e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7623e-18, 0, 0, 1.27823e-21, 4.36479e-21, 0, 6.02903e-16, 0, 0, 0
0.198876, 0, 1.23912e-15, 0, 1.41421, -1.23912e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.61138e-18, 0, 0, 2.66615e-21, 9.09191e-21, 0, 1.2355e-15, 0, 0, 0
0.206758, 0, 2.51078e-15, 0, 1.41421, -2.51078e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.31759e-18, 0, 0, 5.50044e-21, 1.87313e-20, 0, 2.50344e-15, 0, 0, 0
0.21464, 0, 5.03141e-15, 0, 1.41421, -5.03141e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46638e-17, 0, 0, 1.12264e-20, 3.81775e-20, 0, 5.0167e-15, 0, 0, 0
0.222522, 0, 9.97315e-15, 0, 1.41421, -9.97315e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90662e-17, 0, 0, 2.26723e-20, 7.69973e-20, 0, 9.94399e-15, 0, 0, 0
0.230405, 0, 1.95574e-14, 0, 1.41421, -1.95574e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69987e-17, 0, 0, 4.53155e-20, 1.53698e-19, 0, 1.95002e-14, 0, 0, 0
0.238287, 0, 3.79481e-14, 0, 1.41421, -3.79481e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10597e-16, 0, 0, 8.96535e-20, 3.03723e-19, 0, 3.78371e-14, 0, 0, 0
0.246169, 0, 7.28668e-14, 0, 1.41421, -7.28668e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12364e-16, 0, 0, 1.75611e-19, 5.94278e-19, 0, 7.26536e-14, 0, 0, 0
0.254051, 0, 1.38481e-13, 0, 1.41421, -1.38481e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03588e-16, 0, 0, 3.40621e-19, 1.15157e-18, 0, 1.38076e-13, 0, 0, 0
0.261933, 0, 2.60507e-13, 0, 1.41421, -2.60507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5922e-16, 0, 0, 6.54338e-19, 2.21037e-18, 0, 2.59745e-13, 0, 0, 0
0.269816, 0, 4.85142e-13, 0, 1.41421, -4.85142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41389e-15, 0, 0, 1.24514e-18, 4.20324e-18, 0, 4.83723e-13, 0, 0, 0
