   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0337129, 458, 0, 0, 21.4476, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0258257, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0179386, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0100514, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00216421, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00572297, 0, 5.50744e-24, 0, 1.41421, -5.50744e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97459e-26, 0, 0, 0, 1.95226e-28, 0, 5.4675e-24, 0, 0, 0
0.0136101, 0, 1.57224e-23, 0, 1.41421, -1.57224e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13465e-25, 0, 0, 0, 5.77671e-28, 0, 1.56084e-23, 0, 0, 0
0.0214973, 0, 4.35844e-23, 0, 1.41421, -4.35844e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14537e-25, 0, 0, 0, 1.65377e-27, 0, 4.32682e-23, 0, 0, 0
0.0293845, 0, 1.17669e-22, 0, 1.41421, -1.17669e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.49189e-25, 0, 0, 0, 4.59785e-27, 0, 1.16816e-22, 0, 0, 0
0.0372717, 0, 3.10126e-22, 0, 1.41421, -3.10126e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2381e-24, 0, 0, 0, 1.24508e-26, 0, 3.07876e-22, 0, 0, 0
0.0451589, 0, 7.99447e-22, 0, 1.41421, -7.99447e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76938e-24, 0, 0, 0, 3.29171e-26, 0, 7.93645e-22, 0, 0, 0
0.053046, 0, 2.01888e-21, 0, 1.41421, -2.01888e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45697e-23, 0, 0, 0, 8.51282e-26, 0, 2.00423e-21, 0, 0, 0
0.0609332, 0, 5.00136e-21, 0, 1.41421, -5.00136e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.60933e-23, 0, 0, 0, 2.15703e-25, 0, 4.96505e-21, 0, 0, 0
