   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_240.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.033898, 480, 0, 0, 21.9545, 480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0260107, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0181234, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0102361, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00234875, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00553856, 0, 9.7013e-24, 0, 1.41421, -9.7013e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99022e-26, 0, 0, 1.25271e-28, 0, 0, 9.66127e-24, 0, 0, 0
0.0134259, 0, 2.78729e-23, 0, 1.41421, -2.78729e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14643e-25, 0, 0, 3.63594e-28, 0, 0, 2.77579e-23, 0, 0, 0
0.0213132, 0, 7.77542e-23, 0, 1.41421, -7.77542e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19809e-25, 0, 0, 1.02492e-27, 0, 0, 7.74334e-23, 0, 0, 0
0.0292005, 0, 2.1122e-22, 0, 1.41421, -2.1122e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68765e-25, 0, 0, 2.81409e-27, 0, 0, 2.10349e-22, 0, 0, 0
0.0370878, 0, 5.60067e-22, 0, 1.41421, -5.60067e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3036e-24, 0, 0, 7.54346e-27, 0, 0, 5.57756e-22, 0, 0, 0
0.0449751, 0, 1.45235e-21, 0, 1.41421, -1.45235e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97363e-24, 0, 0, 1.97798e-26, 0, 0, 1.44636e-21, 0, 0, 0
0.0528624, 0, 3.68916e-21, 0, 1.41421, -3.68916e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51738e-23, 0, 0, 5.08146e-26, 0, 0, 3.67393e-21, 0, 0, 0
0.0607497, 0, 9.1916e-21, 0, 1.41421, -9.1916e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78057e-23, 0, 0, 1.28073e-25, 0, 0, 9.15367e-21, 0, 0, 0
0.068637, 0, 2.24888e-20, 0, 1.41421, -2.24888e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24981e-23, 0, 0, 3.17051e-25, 0, 0, 2.2396e-20, 0, 0, 0
0.0765243, 0, 5.40856e-20, 0, 1.41421, -5.40856e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22458e-22, 0, 0, 7.71681e-25, 0, 0, 5.38624e-20, 0, 0, 0
0.0844116, 0, 1.27971e-19, 0, 1.41421, -1.27971e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26355e-22, 0, 0, 1.84826e-24, 0, 0, 1.27443e-19, 0, 0, 0
0.0922989, 0, 2.98117e-19, 0, 1.41421, -2.98117e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22618e-21, 0, 0, 4.35945e-24, 0, 0, 2.96887e-19, 0, 0, 0
0.100186, 0, 6.84218e-19, 0, 1.41421, -6.84218e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81424e-21, 0, 0, 1.01331e-23, 0, 0, 6.81394e-19, 0, 0, 0
0.108074, 0, 1.54806e-18, 0, 1.41421, -1.54806e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36729e-21, 0, 0, 2.32244e-23, 0, 0, 1.54167e-18, 0, 0, 0
0.115961, 0, 3.45461e-18, 0, 1.41421, -3.45461e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4209e-20, 0, 0, 5.25144e-23, 0, 0, 3.44035e-18, 0, 0, 0
0.123848, 0, 7.60721e-18, 0, 1.41421, -7.60721e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1289e-20, 0, 0, 1.17205e-22, 0, 0, 7.57581e-18, 0, 0, 0
0.131736, 0, 1.65369e-17, 0, 1.41421, -1.65369e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.80172e-20, 0, 0, 2.58308e-22, 0, 0, 1.64686e-17, 0, 0, 0
0.139623, 0, 3.55012e-17, 0, 1.41421, -3.55012e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46019e-19, 0, 0, 5.62366e-22, 0, 0, 3.53546e-17, 0, 0, 0
0.14751, 0, 7.5291e-17, 0, 1.41421, -7.5291e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09677e-19, 0, 0, 1.20988e-21, 0, 0, 7.49802e-17, 0, 0, 0
0.155397, 0, 1.57796e-16, 0, 1.41421, -1.57796e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.49023e-19, 0, 0, 2.57321e-21, 0, 0, 1.57144e-16, 0, 0, 0
0.163285, 0, 3.26897e-16, 0, 1.41421, -3.26897e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34455e-18, 0, 0, 5.41144e-21, 0, 0, 3.25547e-16, 0, 0, 0
0.171172, 0, 6.69581e-16, 0, 1.41421, -6.69581e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75402e-18, 0, 0, 1.12558e-20, 0, 0, 6.66816e-16, 0, 0, 0
0.179059, 0, 1.36941e-15, 0, 1.41421, -1.36941e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63245e-18, 0, 0, 2.34533e-20, 0, 0, 1.36375e-15, 0, 0, 0
0.186947, 0, 2.74061e-15, 0, 1.41421, -2.74061e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12723e-17, 0, 0, 4.76902e-20, 0, 0, 2.72929e-15, 0, 0, 0
0.194834, 0, 5.42716e-15, 0, 1.41421, -5.42716e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23221e-17, 0, 0, 9.5992e-20, 0, 0, 5.40474e-15, 0, 0, 0
0.202721, 0, 1.06361e-14, 0, 1.41421, -1.06361e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.37463e-17, 0, 0, 1.91294e-19, 0, 0, 1.05921e-14, 0, 0, 0
0.210609, 0, 2.06316e-14, 0, 1.41421, -2.06316e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.4858e-17, 0, 0, 3.77483e-19, 0, 0, 2.05464e-14, 0, 0, 0
0.218496, 0, 3.9618e-14, 0, 1.41421, -3.9618e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62949e-16, 0, 0, 7.37718e-19, 0, 0, 3.94543e-14, 0, 0, 0
0.226383, 0, 7.53204e-14, 0, 1.41421, -7.53204e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09792e-16, 0, 0, 1.4281e-18, 0, 0, 7.50092e-14, 0, 0, 0
0.234271, 0, 1.4179e-13, 0, 1.41421, -1.4179e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83178e-16, 0, 0, 2.73882e-18, 0, 0, 1.41204e-13, 0, 0, 0
0.242158, 0, 2.64324e-13, 0, 1.41421, -2.64324e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08716e-15, 0, 0, 5.2044e-18, 0, 0, 2.63232e-13, 0, 0, 0
0.250045, 0, 4.88012e-13, 0, 1.41421, -4.88012e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00717e-15, 0, 0, 9.80039e-18, 0, 0, 4.85995e-13, 0, 0, 0
0.257932, 0, 8.92415e-13, 0, 1.41421, -8.92415e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67046e-15, 0, 0, 1.82914e-17, 0, 0, 8.88726e-13, 0, 0, 0
0.26582, 0, 1.61652e-12, 0, 1.41421, -1.61652e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64872e-15, 0, 0, 3.38417e-17, 0, 0, 1.60984e-12, 0, 0, 0
0.273707, 0, 2.90077e-12, 0, 1.41421, -2.90077e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19309e-14, 0, 0, 6.20771e-17, 0, 0, 2.88878e-12, 0, 0, 0
0.281594, 0, 5.15691e-12, 0, 1.41421, -5.15691e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12107e-14, 0, 0, 1.12919e-16, 0, 0, 5.13559e-12, 0, 0, 0
0.289482, 0, 9.08333e-12, 0, 1.41421, -9.08333e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73611e-14, 0, 0, 2.03725e-16, 0, 0, 9.04577e-12, 0, 0, 0
0.297369, 0, 1.58529e-11, 0, 1.41421, -1.58529e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52074e-14, 0, 0, 3.64643e-16, 0, 0, 1.57873e-11, 0, 0, 0
0.305256, 0, 2.7416e-11, 0, 1.41421, -2.7416e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12775e-13, 0, 0, 6.47658e-16, 0, 0, 2.73026e-11, 0, 0, 0
0.313144, 0, 4.69852e-11, 0, 1.41421, -4.69852e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93286e-13, 0, 0, 1.14186e-15, 0, 0, 4.67907e-11, 0, 0, 0
0.321031, 0, 7.98001e-11, 0, 1.41421, -7.98001e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2831e-13, 0, 0, 1.99898e-15, 0, 0, 7.94697e-11, 0, 0, 0
0.328918, 0, 1.34325e-10, 1.03696e-43, 1.41421, -1.34325e-10, 0, 1.03696e-43, 1.03696e-43, 1.03696e-43, 1.03696e-43, 1.03696e-43, 1.03696e-43, 1.03696e-43, 1.03696e-43, 1.03696e-43, 5.52706e-13, 1.03696e-43, 1.03696e-43, 3.47612e-15, 1.03696e-43, 1.03696e-43, 1.33769e-10, 1.03696e-43, 1.03696e-43, 1.03696e-43
