   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_24.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.034517, 48, 0, 0, 7.07107, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.026602, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0186871, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0107722, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0028573, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00505762, 0, 2.03834e-21, 0, 1.41421, -2.03834e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.3044e-23, 0, 0, 6.43278e-26, 0, 3.35905e-26, 0, 2.0052e-21, 0, 0, 0
0.0129725, 0, 4.83912e-21, 0, 1.41421, -4.83912e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.84479e-23, 0, 0, 1.55374e-25, 0, 8.14921e-26, 0, 4.76043e-21, 0, 0, 0
0.0208875, 0, 1.12904e-20, 0, 1.41421, -1.12904e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83031e-22, 0, 0, 3.68772e-25, 0, 1.94102e-25, 0, 1.11068e-20, 0, 0, 0
0.0288024, 0, 2.59157e-20, 0, 1.41421, -2.59157e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20123e-22, 0, 0, 8.61016e-25, 0, 4.54472e-25, 0, 2.54942e-20, 0, 0, 0
0.0367173, 0, 5.85759e-20, 0, 1.41421, -5.85759e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49583e-22, 0, 0, 1.97947e-24, 0, 1.04715e-24, 0, 5.76233e-20, 0, 0, 0
0.0446322, 0, 1.36054e-19, 0, 1.41421, -1.36054e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20558e-21, 0, 0, 4.7123e-24, 0, 2.49776e-24, 0, 1.33841e-19, 0, 0, 0
0.0525471, 0, 2.97502e-19, 0, 1.41421, -2.97502e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82284e-21, 0, 0, 1.04759e-23, 0, 5.55965e-24, 0, 2.92663e-19, 0, 0, 0
0.060462, 0, 6.42201e-19, 0, 1.41421, -6.42201e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04108e-20, 0, 0, 2.29921e-23, 0, 1.22138e-23, 0, 6.31755e-19, 0, 0, 0
0.068377, 0, 1.36916e-18, 0, 1.41421, -1.36916e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.21956e-20, 0, 0, 4.98426e-23, 0, 2.64966e-23, 0, 1.34689e-18, 0, 0, 0
0.0762919, 0, 2.88416e-18, 0, 1.41421, -2.88416e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67553e-20, 0, 0, 1.06769e-22, 0, 5.6791e-23, 0, 2.83724e-18, 0, 0, 0
0.0842068, 0, 6.0052e-18, 0, 1.41421, -6.0052e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73506e-20, 0, 0, 2.2609e-22, 0, 1.20311e-22, 0, 5.9075e-18, 0, 0, 0
0.0921217, 0, 1.2363e-17, 0, 1.41421, -1.2363e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00417e-19, 0, 0, 4.73435e-22, 0, 2.52022e-22, 0, 1.21619e-17, 0, 0, 0
0.100037, 0, 2.51734e-17, 0, 1.41421, -2.51734e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08087e-19, 0, 0, 9.8067e-22, 0, 5.22202e-22, 0, 2.47638e-17, 0, 0, 0
0.107952, 0, 5.07113e-17, 0, 1.41421, -5.07113e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.22082e-19, 0, 0, 2.01002e-21, 0, 1.07066e-21, 0, 4.98862e-17, 0, 0, 0
0.115866, 0, 1.01093e-16, 0, 1.41421, -1.01093e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63882e-18, 0, 0, 4.07764e-21, 0, 2.17275e-21, 0, 9.94481e-17, 0, 0, 0
0.123781, 0, 1.99479e-16, 0, 1.41421, -1.99479e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.23375e-18, 0, 0, 8.18961e-21, 0, 4.36559e-21, 0, 1.96233e-16, 0, 0, 0
0.131696, 0, 3.89696e-16, 0, 1.41421, -3.89696e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.31734e-18, 0, 0, 1.62878e-20, 0, 8.6869e-21, 0, 3.83354e-16, 0, 0, 0
0.139611, 0, 7.53869e-16, 0, 1.41421, -7.53869e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22209e-17, 0, 0, 3.20852e-20, 0, 1.71234e-20, 0, 7.41599e-16, 0, 0, 0
0.147526, 0, 1.4444e-15, 0, 1.41421, -1.4444e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3415e-17, 0, 0, 6.26149e-20, 0, 3.34439e-20, 0, 1.42089e-15, 0, 0, 0
0.155441, 0, 2.74142e-15, 0, 1.41421, -2.74142e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44407e-17, 0, 0, 1.21077e-19, 0, 6.4736e-20, 0, 2.69679e-15, 0, 0, 0
0.163356, 0, 5.155e-15, 0, 1.41421, -5.155e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.35668e-17, 0, 0, 2.32027e-19, 0, 1.24213e-19, 0, 5.07108e-15, 0, 0, 0
0.171271, 0, 9.60535e-15, 0, 1.41421, -9.60535e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5571e-16, 0, 0, 4.40731e-19, 0, 2.36302e-19, 0, 9.44897e-15, 0, 0, 0
0.179186, 0, 1.77372e-14, 0, 1.41421, -1.77372e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.87533e-16, 0, 0, 8.29917e-19, 0, 4.45786e-19, 0, 1.74484e-14, 0, 0, 0
0.187101, 0, 3.24639e-14, 0, 1.41421, -3.24639e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26262e-16, 0, 0, 1.54947e-18, 0, 8.34102e-19, 0, 3.19353e-14, 0, 0, 0
0.195016, 0, 5.88991e-14, 0, 1.41421, -5.88991e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.54789e-16, 0, 0, 2.86875e-18, 0, 1.54817e-18, 0, 5.79398e-14, 0, 0, 0
0.202931, 0, 1.05939e-13, 0, 1.41421, -1.05939e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71732e-15, 0, 0, 5.26772e-18, 0, 2.85099e-18, 0, 1.04213e-13, 0, 0, 0
0.210845, 0, 1.88921e-13, 0, 1.41421, -1.88921e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06251e-15, 0, 0, 9.59461e-18, 0, 5.20967e-18, 0, 1.85843e-13, 0, 0, 0
0.21876, 0, 3.34058e-13, 0, 1.41421, -3.34058e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41527e-15, 0, 0, 1.73366e-17, 0, 9.44765e-18, 0, 3.28616e-13, 0, 0, 0
0.226675, 0, 5.85759e-13, 0, 1.41421, -5.85759e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49551e-15, 0, 0, 3.10806e-17, 0, 1.70058e-17, 0, 5.76216e-13, 0, 0, 0
0.23459, 0, 1.0186e-12, 0, 1.41421, -1.0186e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65122e-14, 0, 0, 5.52926e-17, 0, 3.03872e-17, 0, 1.002e-12, 0, 0, 0
