   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_251.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315005, 502, 0, 0, 22.4499, 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236168, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015733, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00784924, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.4523e-05, 0, 8.75598e-25, 0, 1.41421, -8.75598e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14688e-26, 0, 1.61204e-29, 0, 6.38673e-29, 0, 8.5405e-25, 0, 0, 0
0.00791828, 0, 2.60848e-24, 0, 1.41421, -2.60848e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39572e-26, 0, 4.86079e-29, 0, 1.97555e-28, 0, 2.54428e-24, 0, 0, 0
0.015802, 0, 7.51691e-24, 0, 1.41421, -7.51691e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84306e-25, 0, 1.41808e-28, 0, 5.88454e-28, 0, 7.33188e-24, 0, 0, 0
0.0236858, 0, 2.10326e-23, 0, 1.41421, -2.10326e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15695e-25, 0, 4.01761e-28, 0, 1.69614e-27, 0, 2.05149e-23, 0, 0, 0
0.0315696, 0, 5.73098e-23, 0, 1.41421, -5.73098e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40516e-24, 0, 1.10859e-27, 0, 4.74837e-27, 0, 5.58988e-23, 0, 0, 0
0.0394533, 0, 1.52428e-22, 0, 1.41421, -1.52428e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.73732e-24, 0, 2.98627e-27, 0, 1.29485e-26, 0, 1.48674e-22, 0, 0, 0
0.0473371, 0, 3.96493e-22, 0, 1.41421, -3.96493e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.72147e-24, 0, 7.86829e-27, 0, 3.44745e-26, 0, 3.8673e-22, 0, 0, 0
0.0552208, 0, 1.01028e-21, 0, 1.41421, -1.01028e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47706e-23, 0, 2.03107e-26, 0, 8.97871e-26, 0, 9.85397e-22, 0, 0, 0
0.0631046, 0, 2.525e-21, 0, 1.41421, -2.525e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.19092e-23, 0, 5.14339e-26, 0, 2.29121e-25, 0, 2.46281e-21, 0, 0, 0
0.0709883, 0, 6.19724e-21, 0, 1.41421, -6.19724e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51947e-22, 0, 1.27926e-25, 0, 5.7364e-25, 0, 6.04459e-21, 0, 0, 0
0.0788721, 0, 1.49515e-20, 0, 1.41421, -1.49515e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66586e-22, 0, 3.12815e-25, 0, 1.41071e-24, 0, 1.45832e-20, 0, 0, 0
0.0867559, 0, 3.54888e-20, 0, 1.41421, -3.54888e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.70127e-22, 0, 7.52688e-25, 0, 3.4111e-24, 0, 3.46145e-20, 0, 0, 0
0.0946396, 0, 8.29368e-20, 0, 1.41421, -8.29368e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03347e-21, 0, 1.7835e-24, 0, 8.11681e-24, 0, 8.08934e-20, 0, 0, 0
0.102523, 0, 1.9096e-19, 0, 1.41421, -1.9096e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.682e-21, 0, 4.16443e-24, 0, 1.90214e-23, 0, 1.86255e-19, 0, 0, 0
0.110407, 0, 4.33438e-19, 0, 1.41421, -4.33438e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06271e-20, 0, 9.5878e-24, 0, 4.39298e-23, 0, 4.22758e-19, 0, 0, 0
0.118291, 0, 9.70357e-19, 0, 1.41421, -9.70357e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37914e-20, 0, 2.17769e-23, 0, 1.00045e-22, 0, 9.46444e-19, 0, 0, 0
0.126175, 0, 2.14367e-18, 0, 1.41421, -2.14367e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25587e-20, 0, 4.88199e-23, 0, 2.24795e-22, 0, 2.09084e-18, 0, 0, 0
0.134058, 0, 4.67506e-18, 0, 1.41421, -4.67506e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14623e-19, 0, 1.08071e-22, 0, 4.98588e-22, 0, 4.55983e-18, 0, 0, 0
0.141942, 0, 1.00689e-17, 0, 1.41421, -1.00689e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46869e-19, 0, 2.36317e-22, 0, 1.09207e-21, 0, 9.8207e-18, 0, 0, 0
0.149826, 0, 2.14234e-17, 0, 1.41421, -2.14234e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25257e-19, 0, 5.10635e-22, 0, 2.36312e-21, 0, 2.08953e-17, 0, 0, 0
0.15771, 0, 4.50444e-17, 0, 1.41421, -4.50444e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10439e-18, 0, 1.09068e-21, 0, 5.05363e-21, 0, 4.39338e-17, 0, 0, 0
0.165593, 0, 9.36179e-17, 0, 1.41421, -9.36179e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29531e-18, 0, 2.30345e-21, 0, 1.06843e-20, 0, 9.13096e-17, 0, 0, 0
