   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_263.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0312837, 526, 0, 0, 22.9783, 526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234003, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.015517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00763362, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000249738, 0, 4.38438e-23, 0, 1.41421, -4.38438e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08039e-26, 0, 0, 0, 0, 4.3793e-23, 0, 0, 0
0.00813309, 0, 1.15311e-22, 0, 1.41421, -1.15311e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33617e-25, 0, 0, 0, 0, 1.15178e-22, 0, 0, 0
0.0160165, 0, 2.96273e-22, 0, 1.41421, -2.96273e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43306e-25, 0, 0, 0, 0, 2.9593e-22, 0, 0, 0
0.0238998, 0, 7.45067e-22, 0, 1.41421, -7.45067e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.63344e-25, 0, 0, 0, 0, 7.44204e-22, 0, 0, 0
0.0317832, 0, 1.83682e-21, 0, 1.41421, -1.83682e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.12841e-24, 0, 0, 0, 0, 1.83469e-21, 0, 0, 0
0.0396665, 0, 4.44513e-21, 0, 1.41421, -4.44513e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.15078e-24, 0, 0, 0, 0, 4.43998e-21, 0, 0, 0
0.0475499, 0, 1.05715e-20, 0, 1.41421, -1.05715e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22497e-23, 0, 0, 0, 0, 1.05593e-20, 0, 0, 0
0.0554332, 0, 2.47318e-20, 0, 1.41421, -2.47318e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86579e-23, 0, 0, 0, 0, 2.47032e-20, 0, 0, 0
0.0633166, 0, 5.69643e-20, 0, 1.41421, -5.69643e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.60071e-23, 0, 0, 0, 0, 5.68982e-20, 0, 0, 0
0.0712, 0, 1.29271e-19, 0, 1.41421, -1.29271e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49792e-22, 0, 0, 0, 0, 1.29121e-19, 0, 0, 0
0.0790833, 0, 2.89224e-19, 0, 1.41421, -2.89224e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35138e-22, 0, 0, 0, 0, 2.88889e-19, 0, 0, 0
0.0869667, 0, 6.38346e-19, 0, 1.41421, -6.38346e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39681e-22, 0, 0, 0, 0, 6.37606e-19, 0, 0, 0
0.09485, 0, 1.39055e-18, 0, 1.41421, -1.39055e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61129e-21, 0, 0, 0, 0, 1.38894e-18, 0, 0, 0
0.102733, 0, 3.06917e-18, 0, 1.41421, -3.06917e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55639e-21, 0, 0, 0, 0, 3.06562e-18, 0, 0, 0
0.110617, 0, 6.50352e-18, 0, 1.41421, -6.50352e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.53593e-21, 0, 0, 0, 0, 6.49598e-18, 0, 0, 0
0.1185, 0, 1.36222e-17, 0, 1.41421, -1.36222e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57847e-20, 0, 0, 0, 0, 1.36064e-17, 0, 0, 0
0.126383, 0, 2.82133e-17, 0, 1.41421, -2.82133e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26921e-20, 0, 0, 0, 0, 2.81806e-17, 0, 0, 0
0.134267, 0, 5.77944e-17, 0, 1.41421, -5.77944e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69691e-20, 0, 0, 0, 0, 5.77274e-17, 0, 0, 0
0.14215, 0, 1.17125e-16, 0, 1.41421, -1.17125e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35718e-19, 0, 0, 0, 0, 1.1699e-16, 0, 0, 0
0.150034, 0, 2.34882e-16, 0, 1.41421, -2.34882e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72168e-19, 0, 0, 0, 0, 2.3461e-16, 0, 0, 0
0.157917, 0, 4.66198e-16, 0, 1.41421, -4.66198e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40204e-19, 0, 0, 0, 0, 4.65657e-16, 0, 0, 0
0.1658, 0, 9.16001e-16, 0, 1.41421, -9.16001e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06141e-18, 0, 0, 0, 0, 9.1494e-16, 0, 0, 0
0.173684, 0, 1.78198e-15, 0, 1.41421, -1.78198e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06485e-18, 0, 0, 0, 0, 1.77991e-15, 0, 0, 0
0.181567, 0, 3.43287e-15, 0, 1.41421, -3.43287e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97781e-18, 0, 0, 0, 0, 3.4289e-15, 0, 0, 0
0.18945, 0, 6.54976e-15, 0, 1.41421, -6.54976e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.58947e-18, 0, 0, 0, 0, 6.54217e-15, 0, 0, 0
0.197334, 0, 1.23784e-14, 0, 1.41421, -1.23784e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43433e-17, 0, 0, 0, 0, 1.2364e-14, 0, 0, 0
0.205217, 0, 2.31754e-14, 0, 1.41421, -2.31754e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68541e-17, 0, 0, 0, 0, 2.31486e-14, 0, 0, 0
