   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_267.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0323588, 534, 0, 0, 23.1517, 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0244747, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0165905, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00870632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000822155, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00706201, 0, 1.43814e-24, 0, 1.41421, -1.43814e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9636e-27, 0, 0, 0, 6.27651e-29, 0, 1.43411e-24, 0, 0, 0
0.0149462, 0, 4.27852e-24, 0, 1.41421, -4.27852e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17919e-26, 0, 0, 0, 1.90208e-28, 0, 4.26654e-24, 0, 0, 0
0.0228303, 0, 1.22971e-23, 0, 1.41421, -1.22971e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.38916e-26, 0, 0, 0, 5.56421e-28, 0, 1.22627e-23, 0, 0, 0
0.0307145, 0, 3.42899e-23, 0, 1.41421, -3.42899e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.4505e-26, 0, 0, 0, 1.57819e-27, 0, 3.41938e-23, 0, 0, 0
0.0385987, 0, 9.30643e-23, 0, 1.41421, -9.30643e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5649e-25, 0, 0, 0, 4.35469e-27, 0, 9.28035e-23, 0, 0, 0
0.0464828, 0, 2.46465e-22, 0, 1.41421, -2.46465e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79272e-25, 0, 0, 0, 1.17205e-26, 0, 2.45774e-22, 0, 0, 0
0.054367, 0, 6.38227e-22, 0, 1.41421, -6.38227e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75899e-24, 0, 0, 0, 3.08357e-26, 0, 6.36437e-22, 0, 0, 0
0.0622512, 0, 1.61871e-21, 0, 1.41421, -1.61871e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46125e-24, 0, 0, 0, 7.94408e-26, 0, 1.61417e-21, 0, 0, 0
0.0701354, 0, 4.02675e-21, 0, 1.41421, -4.02675e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10979e-23, 0, 0, 0, 2.00703e-25, 0, 4.01546e-21, 0, 0, 0
0.0780195, 0, 9.83666e-21, 0, 1.41421, -9.83666e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71103e-23, 0, 0, 0, 4.9788e-25, 0, 9.80905e-21, 0, 0, 0
