   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0359153, 52, 0, 0, 7.34847, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0280008, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0121717, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00425721, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00365731, 0, 7.90224e-21, 0, 1.41421, -7.90224e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11399e-22, 0, 1.27303e-25, 0, 0, 7.79071e-21, 0, 0, 0
0.0115718, 0, 1.77272e-20, 0, 1.41421, -1.77272e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49902e-22, 0, 2.899e-25, 0, 0, 1.7477e-20, 0, 0, 0
0.0194864, 0, 3.92121e-20, 0, 1.41421, -3.92121e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.52776e-22, 0, 6.51021e-25, 0, 0, 3.86587e-20, 0, 0, 0
0.0274009, 0, 8.55793e-20, 0, 1.41421, -8.55793e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20642e-21, 0, 1.44265e-24, 0, 0, 8.43714e-20, 0, 0, 0
0.0353154, 0, 1.84387e-19, 0, 1.41421, -1.84387e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59931e-21, 0, 3.15643e-24, 0, 0, 1.81784e-19, 0, 0, 0
0.0432299, 0, 3.92394e-19, 0, 1.41421, -3.92394e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53161e-21, 0, 6.82216e-24, 0, 0, 3.86856e-19, 0, 0, 0
0.0511445, 0, 8.25171e-19, 0, 1.41421, -8.25171e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16325e-20, 0, 1.45727e-23, 0, 0, 8.13524e-19, 0, 0, 0
0.059059, 0, 1.71541e-18, 0, 1.41421, -1.71541e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41823e-20, 0, 3.07774e-23, 0, 0, 1.6912e-18, 0, 0, 0
0.0669735, 0, 3.5266e-18, 0, 1.41421, -3.5266e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97148e-20, 0, 6.42925e-23, 0, 0, 3.47682e-18, 0, 0, 0
0.0748881, 0, 7.17213e-18, 0, 1.41421, -7.17213e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01106e-19, 0, 1.32883e-22, 0, 0, 7.0709e-18, 0, 0, 0
0.0828026, 0, 1.44336e-17, 0, 1.41421, -1.44336e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03471e-19, 0, 2.71831e-22, 0, 0, 1.42299e-17, 0, 0, 0
0.0907171, 0, 2.92193e-17, 0, 1.41421, -2.92193e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11906e-19, 0, 5.62024e-22, 0, 0, 2.88068e-17, 0, 0, 0
0.0986316, 0, 5.7524e-17, 0, 1.41421, -5.7524e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.10918e-19, 0, 1.12494e-21, 0, 0, 5.67119e-17, 0, 0, 0
0.106546, 0, 1.12166e-16, 0, 1.41421, -1.12166e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5812e-18, 0, 2.23067e-21, 0, 0, 1.10582e-16, 0, 0, 0
0.114461, 0, 2.16663e-16, 0, 1.41421, -2.16663e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0543e-18, 0, 4.38293e-21, 0, 0, 2.13604e-16, 0, 0, 0
0.122375, 0, 4.14666e-16, 0, 1.41421, -4.14666e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.84556e-18, 0, 8.53485e-21, 0, 0, 4.08812e-16, 0, 0, 0
0.13029, 0, 7.86449e-16, 0, 1.41421, -7.86449e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10866e-17, 0, 1.64742e-20, 0, 0, 7.75346e-16, 0, 0, 0
0.138204, 0, 1.47831e-15, 0, 1.41421, -1.47831e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08397e-17, 0, 3.1525e-20, 0, 0, 1.45744e-15, 0, 0, 0
