   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_279.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313135, 558, 0, 0, 23.6643, 558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234312, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155488, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00766637, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000216022, 0, 1.83636e-24, 0, 1.41421, -1.83636e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83426e-27, 0, 0, 5.94683e-29, 0, 0, 1.82647e-24, 0, 0, 0
0.00809841, 0, 6.22421e-24, 0, 1.41421, -6.22421e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33325e-26, 0, 0, 2.07608e-28, 0, 0, 6.19067e-24, 0, 0, 0
0.0159808, 0, 1.70622e-23, 0, 1.41421, -1.70622e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.1373e-26, 0, 0, 5.77647e-28, 0, 0, 1.69702e-23, 0, 0, 0
0.0238632, 0, 4.54956e-23, 0, 1.41421, -4.54956e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43642e-25, 0, 0, 1.56278e-27, 0, 0, 4.52504e-23, 0, 0, 0
0.0317456, 0, 1.18333e-22, 0, 1.41421, -1.18333e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3371e-25, 0, 0, 4.12313e-27, 0, 0, 1.17696e-22, 0, 0, 0
0.039628, 0, 3.00887e-22, 0, 1.41421, -3.00887e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61134e-24, 0, 0, 1.06328e-26, 0, 0, 2.99265e-22, 0, 0, 0
0.0475104, 0, 7.49262e-22, 0, 1.41421, -7.49262e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01251e-24, 0, 0, 2.68512e-26, 0, 0, 7.45222e-22, 0, 0, 0
0.0553928, 0, 1.82995e-21, 0, 1.41421, -1.82995e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79991e-24, 0, 0, 6.65036e-26, 0, 0, 1.82008e-21, 0, 0, 0
0.0632752, 0, 4.38897e-21, 0, 1.41421, -4.38897e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35042e-23, 0, 0, 1.61754e-25, 0, 0, 4.3653e-21, 0, 0, 0
0.0711575, 0, 1.03482e-20, 0, 1.41421, -1.03482e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.54176e-23, 0, 0, 3.86786e-25, 0, 0, 1.02924e-20, 0, 0, 0
0.0790399, 0, 2.40076e-20, 0, 1.41421, -2.40076e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28567e-22, 0, 0, 9.10138e-25, 0, 0, 2.38781e-20, 0, 0, 0
0.0869223, 0, 5.48479e-20, 0, 1.41421, -5.48479e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93726e-22, 0, 0, 2.10924e-24, 0, 0, 5.45521e-20, 0, 0, 0
0.0948047, 0, 1.23483e-19, 0, 1.41421, -1.23483e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61286e-22, 0, 0, 4.81778e-24, 0, 0, 1.22817e-19, 0, 0, 0
0.102687, 0, 2.74137e-19, 0, 1.41421, -2.74137e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46808e-21, 0, 0, 1.08531e-23, 0, 0, 2.72658e-19, 0, 0, 0
0.11057, 0, 6.00454e-19, 0, 1.41421, -6.00454e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.21559e-21, 0, 0, 2.41268e-23, 0, 0, 5.97215e-19, 0, 0, 0
0.118452, 0, 1.29825e-18, 0, 1.41421, -1.29825e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.95249e-21, 0, 0, 5.29546e-23, 0, 0, 1.29125e-18, 0, 0, 0
0.126334, 0, 2.77206e-18, 0, 1.41421, -2.77206e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48451e-20, 0, 0, 1.14808e-22, 0, 0, 2.7571e-18, 0, 0, 0
0.134217, 0, 5.84762e-18, 0, 1.41421, -5.84762e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.13155e-20, 0, 0, 2.45969e-22, 0, 0, 5.81606e-18, 0, 0, 0
