   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_281.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0329815, 562, 0, 0, 23.7487, 562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0250963, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0172111, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00932587, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00144064, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00644459, 0, 2.81461e-23, 0, 1.41421, -2.81461e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00906e-25, 0, 0, 1.97661e-28, 3.47224e-27, 0, 2.80415e-23, 0, 0, 0
0.0143298, 0, 7.67645e-23, 0, 1.41421, -7.67645e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75206e-25, 0, 0, 5.45909e-28, 9.76949e-27, 0, 7.64789e-23, 0, 0, 0
0.022215, 0, 2.03714e-22, 0, 1.41421, -2.03714e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30326e-25, 0, 0, 1.46684e-27, 2.66617e-26, 0, 2.02956e-22, 0, 0, 0
0.0301003, 0, 5.27475e-22, 0, 1.41421, -5.27475e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89102e-24, 0, 0, 3.84543e-27, 7.08253e-26, 0, 5.25509e-22, 0, 0, 0
0.0379855, 0, 1.3355e-21, 0, 1.41421, -1.3355e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78781e-24, 0, 0, 9.85766e-27, 1.83636e-25, 0, 1.33052e-21, 0, 0, 0
0.0458707, 0, 3.31222e-21, 0, 1.41421, -3.31222e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18744e-23, 0, 0, 2.47549e-26, 4.65734e-25, 0, 3.29986e-21, 0, 0, 0
0.0537559, 0, 8.05869e-21, 0, 1.41421, -8.05869e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.88904e-23, 0, 0, 6.09899e-26, 1.15743e-24, 0, 8.02858e-21, 0, 0, 0
0.0616412, 0, 1.92582e-20, 0, 1.41421, -1.92582e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.90405e-23, 0, 0, 1.4761e-25, 2.82268e-24, 0, 1.91862e-20, 0, 0, 0
0.0695264, 0, 4.52517e-20, 0, 1.41421, -4.52517e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62226e-22, 0, 0, 3.51325e-25, 6.76367e-24, 0, 4.50823e-20, 0, 0, 0
0.0774116, 0, 1.04645e-19, 0, 1.41421, -1.04645e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7515e-22, 0, 0, 8.23079e-25, 1.5941e-23, 0, 1.04253e-19, 0, 0, 0
0.0852969, 0, 2.38352e-19, 0, 1.41421, -2.38352e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54482e-22, 0, 0, 1.89964e-24, 3.69886e-23, 0, 2.37459e-19, 0, 0, 0
0.0931821, 0, 5.35099e-19, 0, 1.41421, -5.35099e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9183e-21, 0, 0, 4.32224e-24, 8.45636e-23, 0, 5.33092e-19, 0, 0, 0
0.101067, 0, 1.18479e-18, 0, 1.41421, -1.18479e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2474e-21, 0, 0, 9.7014e-24, 1.90624e-22, 0, 1.18034e-18, 0, 0, 0
0.108953, 0, 2.58865e-18, 0, 1.41421, -2.58865e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28012e-21, 0, 0, 2.14925e-23, 4.23954e-22, 0, 2.57892e-18, 0, 0, 0
0.116838, 0, 5.58397e-18, 0, 1.41421, -5.58397e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00181e-20, 0, 0, 4.70204e-23, 9.30785e-22, 0, 5.56298e-18, 0, 0, 0
