   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_28.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0358393, 56, 0, 0, 7.61577, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0279241, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0200089, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120938, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00417863, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00373652, 0, 8.28222e-21, 0, 1.41421, -8.28222e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1466e-23, 0, 0, 1.29794e-25, 0, 1.20996e-24, 0, 8.22941e-21, 0, 0, 0
0.0116517, 0, 1.84784e-20, 0, 1.41421, -1.84784e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14825e-22, 0, 0, 2.94055e-25, 0, 2.75286e-24, 0, 1.83605e-20, 0, 0, 0
0.0195668, 0, 4.06547e-20, 0, 1.41421, -4.06547e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52628e-22, 0, 0, 6.57018e-25, 0, 6.17355e-24, 0, 4.03952e-20, 0, 0, 0
0.027482, 0, 8.826e-20, 0, 1.41421, -8.826e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48446e-22, 0, 0, 1.4487e-24, 0, 1.36566e-23, 0, 8.76964e-20, 0, 0, 0
0.0353971, 0, 1.89177e-19, 0, 1.41421, -1.89177e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17554e-21, 0, 0, 3.15415e-24, 0, 2.98189e-23, 0, 1.87968e-19, 0, 0, 0
0.0433123, 0, 4.00538e-19, 0, 1.41421, -4.00538e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48892e-21, 0, 0, 6.78445e-24, 0, 6.43037e-23, 0, 3.97978e-19, 0, 0, 0
0.0512274, 0, 8.62556e-19, 0, 1.41421, -8.62556e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.35985e-21, 0, 0, 1.49365e-23, 0, 1.41993e-22, 0, 8.57039e-19, 0, 0, 0
0.0591426, 0, 1.77913e-18, 0, 1.41421, -1.77913e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10553e-20, 0, 0, 3.13018e-23, 0, 2.98202e-22, 0, 1.76775e-18, 0, 0, 0
0.0670578, 0, 3.63037e-18, 0, 1.41421, -3.63037e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25587e-20, 0, 0, 6.4906e-23, 0, 6.19584e-22, 0, 3.60712e-18, 0, 0, 0
0.0749729, 0, 7.33073e-18, 0, 1.41421, -7.33073e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.55521e-20, 0, 0, 1.33208e-22, 0, 1.27406e-21, 0, 7.28377e-18, 0, 0, 0
0.0828881, 0, 1.46527e-17, 0, 1.41421, -1.46527e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.10492e-20, 0, 0, 2.70666e-22, 0, 2.5937e-21, 0, 1.45588e-17, 0, 0, 0
0.0908032, 0, 2.89979e-17, 0, 1.41421, -2.89979e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80187e-19, 0, 0, 5.44635e-22, 0, 5.229e-21, 0, 2.88119e-17, 0, 0, 0
0.0987184, 0, 5.68319e-17, 0, 1.41421, -5.68319e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53141e-19, 0, 0, 1.08554e-21, 0, 1.04424e-20, 0, 5.64672e-17, 0, 0, 0
0.106634, 0, 1.10328e-16, 0, 1.41421, -1.10328e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.8555e-19, 0, 0, 2.14363e-21, 0, 2.06623e-20, 0, 1.09619e-16, 0, 0, 0
0.114549, 0, 2.12189e-16, 0, 1.41421, -2.12189e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31849e-18, 0, 0, 4.19472e-21, 0, 4.0518e-20, 0, 2.10826e-16, 0, 0, 0
0.122464, 0, 4.04376e-16, 0, 1.41421, -4.04376e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51267e-18, 0, 0, 8.13549e-21, 0, 7.87596e-20, 0, 4.01776e-16, 0, 0, 0
0.130379, 0, 7.63724e-16, 0, 1.41421, -7.63724e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74553e-18, 0, 0, 1.56411e-20, 0, 1.51785e-19, 0, 7.58811e-16, 0, 0, 0
0.138294, 0, 1.42969e-15, 0, 1.41421, -1.42969e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.88357e-18, 0, 0, 2.98138e-20, 0, 2.90073e-19, 0, 1.42048e-15, 0, 0, 0
0.146209, 0, 2.65311e-15, 0, 1.41421, -2.65311e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64854e-17, 0, 0, 5.63503e-20, 0, 5.49808e-19, 0, 2.63602e-15, 0, 0, 0
0.154124, 0, 4.8813e-15, 0, 1.41421, -4.8813e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03303e-17, 0, 0, 1.05625e-19, 0, 1.03375e-18, 0, 4.84983e-15, 0, 0, 0
0.16204, 0, 8.90486e-15, 0, 1.41421, -8.90486e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53306e-17, 0, 0, 1.9637e-19, 0, 1.92833e-18, 0, 8.84741e-15, 0, 0, 0
0.169955, 0, 1.61094e-14, 0, 1.41421, -1.61094e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00096e-16, 0, 0, 3.62144e-19, 0, 3.56928e-18, 0, 1.60054e-14, 0, 0, 0
0.17787, 0, 2.89023e-14, 0, 1.41421, -2.89023e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79583e-16, 0, 0, 6.62586e-19, 0, 6.55648e-18, 0, 2.87155e-14, 0, 0, 0
0.185785, 0, 5.14311e-14, 0, 1.41421, -5.14311e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19562e-16, 0, 0, 1.20284e-18, 0, 1.19539e-17, 0, 5.10983e-14, 0, 0, 0
0.1937, 0, 9.07812e-14, 0, 1.41421, -9.07812e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.64057e-16, 0, 0, 2.16686e-18, 0, 2.16351e-17, 0, 9.01934e-14, 0, 0, 0
0.201615, 0, 1.58957e-13, 0, 1.41421, -1.58957e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.87651e-16, 0, 0, 3.874e-18, 0, 3.88749e-17, 0, 1.57926e-13, 0, 0, 0
0.209531, 0, 2.76123e-13, 0, 1.41421, -2.76123e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71564e-15, 0, 0, 6.87453e-18, 0, 6.93576e-17, 0, 2.74331e-13, 0, 0, 0
