   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_297.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0318451, 594, 0, 0, 24.4131, 594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0239616, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0160782, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00819479, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000311363, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00757206, 0, 1.11875e-24, 0, 1.41421, -1.11875e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03448e-29, 0, 4.25634e-28, 0, 1.11831e-24, 0, 0, 0
0.0154555, 0, 3.19705e-24, 0, 1.41421, -3.19705e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88526e-29, 0, 1.25795e-27, 0, 3.19574e-24, 0, 0, 0
0.0233389, 0, 8.87194e-24, 0, 1.41421, -8.87194e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65351e-28, 0, 3.59788e-27, 0, 8.86818e-24, 0, 0, 0
0.0312223, 0, 2.39782e-23, 0, 1.41421, -2.39782e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.52525e-28, 0, 9.99536e-27, 0, 2.39677e-23, 0, 0, 0
0.0391058, 0, 6.32644e-23, 0, 1.41421, -6.32644e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20916e-27, 0, 2.70506e-26, 0, 6.32362e-23, 0, 0, 0
0.0469892, 0, 1.63263e-22, 0, 1.41421, -1.63263e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16064e-27, 0, 7.14825e-26, 0, 1.63189e-22, 0, 0, 0
