   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_29.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0353177, 58, 0, 0, 7.74597, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0274039, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0194901, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0115763, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00366251, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00425128, 0, 1.58184e-21, 0, 1.41421, -1.58184e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87212e-26, 5.08808e-25, 0, 1.58131e-21, 0, 0, 0
0.0121651, 0, 3.99562e-21, 0, 1.41421, -3.99562e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85084e-26, 1.32979e-24, 0, 3.99424e-21, 0, 0, 0
0.0200789, 0, 9.20547e-21, 0, 1.41421, -9.20547e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13505e-25, 3.12666e-24, 0, 9.20223e-21, 0, 0, 0
0.0279927, 0, 2.08856e-20, 0, 1.41421, -2.08856e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61547e-25, 7.23463e-24, 0, 2.08781e-20, 0, 0, 0
0.0359065, 0, 4.67003e-20, 0, 1.41421, -4.67003e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.93966e-25, 1.64886e-23, 0, 4.66832e-20, 0, 0, 0
0.0438202, 0, 1.0298e-19, 0, 1.41421, -1.0298e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3303e-24, 3.70442e-23, 0, 1.02941e-19, 0, 0, 0
0.051734, 0, 2.24078e-19, 0, 1.41421, -2.24078e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94023e-24, 8.20968e-23, 0, 2.23993e-19, 0, 0, 0
0.0596478, 0, 4.81381e-19, 0, 1.41421, -4.81381e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41637e-24, 1.79584e-22, 0, 4.81195e-19, 0, 0, 0
0.0675616, 0, 1.02147e-18, 0, 1.41421, -1.02147e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3832e-23, 3.87953e-22, 0, 1.02106e-18, 0, 0, 0
0.0754754, 0, 2.14181e-18, 0, 1.41421, -2.14181e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94681e-23, 8.28083e-22, 0, 2.14096e-18, 0, 0, 0
0.0833892, 0, 4.43944e-18, 0, 1.41421, -4.43944e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.20681e-23, 1.74721e-21, 0, 4.43763e-18, 0, 0, 0
0.091303, 0, 9.09944e-18, 0, 1.41421, -9.09944e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29298e-22, 3.64563e-21, 0, 9.09567e-18, 0, 0, 0
0.0992168, 0, 1.84491e-17, 0, 1.41421, -1.84491e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66479e-22, 7.52514e-21, 0, 1.84413e-17, 0, 0, 0
0.107131, 0, 3.70113e-17, 0, 1.41421, -3.70113e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.43522e-22, 1.53718e-20, 0, 3.69953e-17, 0, 0, 0
0.115044, 0, 7.34861e-17, 0, 1.41421, -7.34861e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09743e-21, 3.1084e-20, 0, 7.34539e-17, 0, 0, 0
0.122958, 0, 1.44442e-16, 0, 1.41421, -1.44442e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19407e-21, 6.22417e-20, 0, 1.44378e-16, 0, 0, 0
0.130872, 0, 2.81124e-16, 0, 1.41421, -2.81124e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34459e-21, 1.23446e-19, 0, 2.80997e-16, 0, 0, 0
0.138786, 0, 5.41882e-16, 0, 1.41421, -5.41882e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.52242e-21, 2.42569e-19, 0, 5.41631e-16, 0, 0, 0
0.1467, 0, 1.03465e-15, 0, 1.41421, -1.03465e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65646e-20, 4.72344e-19, 0, 1.03417e-15, 0, 0, 0
0.154613, 0, 1.95724e-15, 0, 1.41421, -1.95724e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1907e-20, 9.11673e-19, 0, 1.9563e-15, 0, 0, 0
0.162527, 0, 3.66877e-15, 0, 1.41421, -3.66877e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09189e-20, 1.74449e-18, 0, 3.66696e-15, 0, 0, 0
0.170441, 0, 6.81533e-15, 0, 1.41421, -6.81533e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15305e-19, 3.31004e-18, 0, 6.8119e-15, 0, 0, 0
0.178355, 0, 1.25487e-14, 0, 1.41421, -1.25487e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16388e-19, 6.22882e-18, 0, 1.25422e-14, 0, 0, 0
0.186269, 0, 2.29038e-14, 0, 1.41421, -2.29038e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02689e-19, 1.16268e-17, 0, 2.28918e-14, 0, 0, 0
0.194182, 0, 4.14443e-14, 0, 1.41421, -4.14443e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.43239e-19, 2.15312e-17, 0, 4.1422e-14, 0, 0, 0
0.202096, 0, 7.43553e-14, 0, 1.41421, -7.43553e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36071e-18, 3.95634e-17, 0, 7.43144e-14, 0, 0, 0
0.21001, 0, 1.32278e-13, 0, 1.41421, -1.32278e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47133e-18, 7.21431e-17, 0, 1.32203e-13, 0, 0, 0
0.217924, 0, 2.33361e-13, 0, 1.41421, -2.33361e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4533e-18, 1.30567e-16, 0, 2.33226e-13, 0, 0, 0
0.225838, 0, 4.0829e-13, 0, 1.41421, -4.0829e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.96294e-18, 2.34566e-16, 0, 4.08048e-13, 0, 0, 0
0.233751, 0, 7.08502e-13, 0, 1.41421, -7.08502e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41307e-17, 4.1836e-16, 0, 7.08069e-13, 0, 0, 0
0.241665, 0, 1.21947e-12, 0, 1.41421, -1.21947e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48892e-17, 7.40912e-16, 0, 1.2187e-12, 0, 0, 0
0.249579, 0, 2.08203e-12, 0, 1.41421, -2.08203e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35193e-17, 1.30307e-15, 0, 2.08069e-12, 0, 0, 0
0.257493, 0, 3.52627e-12, 0, 1.41421, -3.52627e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.55524e-17, 2.2762e-15, 0, 3.52392e-12, 0, 0, 0
0.265406, 0, 5.92482e-12, 0, 1.41421, -5.92482e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30252e-16, 3.94967e-15, 0, 5.92074e-12, 0, 0, 0
0.27332, 0, 9.87626e-12, 0, 1.41421, -9.87626e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23039e-16, 6.80914e-15, 0, 9.86923e-12, 0, 0, 0
0.281234, 0, 1.63337e-11, 0, 1.41421, -1.63337e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79442e-16, 1.16648e-14, 0, 1.63217e-11, 0, 0, 0
0.289148, 0, 2.68026e-11, 0, 1.41421, -2.68026e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.4148e-16, 1.98612e-14, 0, 2.67821e-11, 0, 0, 0
0.297062, 0, 4.3656e-11, 0, 1.41421, -4.3656e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07992e-15, 3.36793e-14, 0, 4.36212e-11, 0, 0, 0
0.304975, 0, 7.0528e-11, 4.48416e-44, 1.41421, -7.0528e-11, 0, 4.48416e-44, 4.48416e-44, 4.48416e-44, 4.48416e-44, 4.48416e-44, 4.48416e-44, 4.48416e-44, 4.48416e-44, 4.48416e-44, 1.80448e-15, 5.66808e-14, 4.48416e-44, 7.04696e-11, 4.48416e-44, 4.48416e-44, 4.48416e-44
0.312889, 0, 1.13068e-10, 8.3097e-43, 1.41421, -1.13068e-10, 0, 8.3097e-43, 8.3097e-43, 8.3097e-43, 8.3097e-43, 8.3097e-43, 8.3097e-43, 8.3097e-43, 8.3097e-43, 8.3097e-43, 2.99918e-15, 9.48771e-14, 8.3097e-43, 1.1297e-10, 8.3097e-43, 8.3097e-43, 8.3097e-43
0.320803, 0, 1.79883e-10, 1.26439e-41, 1.41421, -1.79883e-10, 0, 1.26439e-41, 1.26439e-41, 1.26439e-41, 1.26439e-41, 1.26439e-41, 1.26439e-41, 1.26439e-41, 1.26439e-41, 1.26439e-41, 4.96028e-15, 1.58e-13, 1.26439e-41, 1.7972e-10, 1.26439e-41, 1.26439e-41, 1.26439e-41
0.328717, 0, 2.84012e-10, 1.69389e-40, 1.41421, -2.84012e-10, 0, 1.69389e-40, 1.69389e-40, 1.69389e-40, 1.69389e-40, 1.69389e-40, 1.69389e-40, 1.69389e-40, 1.69389e-40, 1.69389e-40, 8.16672e-15, 2.61853e-13, 1.69389e-40, 2.83742e-10, 1.69389e-40, 1.69389e-40, 1.69389e-40
0.336631, 0, 4.45034e-10, 2.02865e-39, 1.41421, -4.45034e-10, 0, 2.02865e-39, 2.02865e-39, 2.02865e-39, 2.02865e-39, 2.02865e-39, 2.02865e-39, 2.02865e-39, 2.02865e-39, 2.02865e-39, 1.33913e-14, 4.32019e-13, 2.02865e-39, 4.44588e-10, 2.02865e-39, 2.02865e-39, 2.02865e-39
0.344544, 0, 6.92114e-10, 2.18847e-38, 1.41421, -6.92114e-10, 0, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18847e-38, 2.18794e-14, 7.09813e-13, 2.18847e-38, 6.91383e-10, 2.18847e-38, 2.18847e-38, 2.18847e-38
0.352458, 0, 1.06834e-09, 2.13768e-37, 1.41421, -1.06834e-09, 0, 2.13768e-37, 2.13768e-37, 2.13768e-37, 2.13768e-37, 2.13768e-37, 2.13768e-37, 2.13768e-37, 2.13768e-37, 2.13768e-37, 3.56374e-14, 1.16183e-12, 2.13768e-37, 1.06715e-09, 2.13768e-37, 2.13768e-37, 2.13768e-37
0.360372, 0, 1.63686e-09, 1.90192e-36, 1.41421, -1.63686e-09, 0, 1.90192e-36, 1.90192e-36, 1.90192e-36, 1.90192e-36, 1.90192e-36, 1.90192e-36, 1.90192e-36, 1.90192e-36, 1.90192e-36, 5.78961e-14, 1.89523e-12, 1.90192e-36, 1.6349e-09, 1.90192e-36, 1.90192e-36, 1.90192e-36
0.368286, 0, 2.48942e-09, 1.549e-35, 1.41421, -2.48942e-09, 0, 1.549e-35, 1.549e-35, 1.549e-35, 1.549e-35, 1.549e-35, 1.549e-35, 1.549e-35, 1.549e-35, 1.549e-35, 9.38602e-14, 3.08229e-12, 1.549e-35, 2.48624e-09, 1.549e-35, 1.549e-35, 1.549e-35
0.3762, 0, 3.7583e-09, 1.16038e-34, 1.41421, -3.7583e-09, 0, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.16038e-34, 1.51916e-13, 4.99961e-12, 1.16038e-34, 3.75315e-09, 1.16038e-34, 1.16038e-34, 1.16038e-34
0.384113, 0, 5.63264e-09, 8.08243e-34, 1.41421, -5.63264e-09, 0, 8.08243e-34, 8.08243e-34, 8.08243e-34, 8.08243e-34, 8.08243e-34, 8.08243e-34, 8.08243e-34, 8.08243e-34, 8.08243e-34, 2.45579e-13, 8.09106e-12, 8.08243e-34, 5.62431e-09, 8.08243e-34, 8.08243e-34, 8.08243e-34
0.392027, 0, 8.3808e-09, 5.27876e-33, 1.41421, -8.3808e-09, 0, 5.27876e-33, 5.27876e-33, 5.27876e-33, 5.27876e-33, 5.27876e-33, 5.27876e-33, 5.27876e-33, 5.27876e-33, 5.27876e-33, 3.96645e-13, 1.30684e-11, 5.27876e-33, 8.36733e-09, 5.27876e-33, 5.27876e-33, 5.27876e-33
0.399941, 0, 1.23804e-08, 3.36583e-32, 1.41421, -1.23804e-08, 0, 3.36583e-32, 3.36583e-32, 3.36583e-32, 3.36583e-32, 3.36583e-32, 3.36583e-32, 3.36583e-32, 3.36583e-32, 3.36583e-32, 6.40239e-13, 2.10718e-11, 3.36583e-32, 1.23586e-08, 3.36583e-32, 3.36583e-32, 3.36583e-32
0.407855, 0, 1.81585e-08, 1.95688e-31, 1.41421, -1.81585e-08, 0, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.95688e-31, 1.03295e-12, 3.39259e-11, 1.95688e-31, 1.81235e-08, 1.95688e-31, 1.95688e-31, 1.95688e-31
0.415769, 0, 2.64455e-08, 1.0857e-30, 1.41421, -2.64455e-08, 0, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.0857e-30, 1.66583e-12, 5.4546e-11, 1.0857e-30, 2.63893e-08, 1.0857e-30, 1.0857e-30, 1.0857e-30
0.423682, 0, 3.82453e-08, 5.68029e-30, 1.41421, -3.82453e-08, 0, 5.68029e-30, 5.68029e-30, 5.68029e-30, 5.68029e-30, 5.68029e-30, 5.68029e-30, 5.68029e-30, 5.68029e-30, 5.68029e-30, 2.68512e-12, 8.75802e-11, 5.68029e-30, 3.8155e-08, 5.68029e-30, 5.68029e-30, 5.68029e-30
0.431596, 0, 5.49273e-08, 2.79644e-29, 1.41421, -5.49273e-08, 0, 2.79644e-29, 2.79644e-29, 2.79644e-29, 2.79644e-29, 2.79644e-29, 2.79644e-29, 2.79644e-29, 2.79644e-29, 2.79644e-29, 4.32512e-12, 1.4042e-10, 2.79644e-29, 5.47825e-08, 2.79644e-29, 2.79644e-29, 2.79644e-29
0.43951, 0, 7.83452e-08, 1.31035e-28, 1.41421, -7.83452e-08, 0, 1.31035e-28, 1.31035e-28, 1.31035e-28, 1.31035e-28, 1.31035e-28, 1.31035e-28, 1.31035e-28, 1.31035e-28, 1.31035e-28, 6.95998e-12, 2.24781e-10, 1.31035e-28, 7.81134e-08, 1.31035e-28, 1.31035e-28, 1.31035e-28
0.447424, 0, 1.10989e-07, 5.84592e-28, 1.41421, -1.10989e-07, 0, 5.84592e-28, 5.84592e-28, 5.84592e-28, 5.84592e-28, 5.84592e-28, 5.84592e-28, 5.84592e-28, 5.84592e-28, 5.84592e-28, 1.11848e-11, 3.59145e-10, 5.84592e-28, 1.10619e-07, 5.84592e-28, 5.84592e-28, 5.84592e-28
0.455338, 0, 1.56183e-07, 2.48001e-27, 1.41421, -1.56183e-07, 0, 2.48001e-27, 2.48001e-27, 2.48001e-27, 2.48001e-27, 2.48001e-27, 2.48001e-27, 2.48001e-27, 2.48001e-27, 2.48001e-27, 1.79421e-11, 5.72549e-10, 2.48001e-27, 1.55592e-07, 2.48001e-27, 2.48001e-27, 2.48001e-27
