   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_323.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0325121, 646, 0, 0, 25.4558, 646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0246277, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0167433, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00885894, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000974552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00690984, 0, 8.38094e-25, 0, 1.41421, -8.38094e-25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.09226e-26, 0, 0, 1.81285e-30, 0, 4.62462e-28, 0, 8.06707e-25, 0, 0, 0
0.0147942, 0, 2.68563e-24, 0, 1.41421, -2.68563e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90866e-26, 0, 0, 5.86883e-30, 0, 1.5654e-27, 0, 2.58497e-24, 0, 0, 0
0.0226786, 0, 8.22559e-24, 0, 1.41421, -8.22559e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.03476e-25, 0, 0, 1.81762e-29, 0, 5.01973e-27, 0, 7.91708e-24, 0, 0, 0
0.030563, 0, 2.45188e-23, 0, 1.41421, -2.45188e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.04576e-25, 0, 0, 5.49618e-29, 0, 1.56491e-26, 0, 2.35985e-23, 0, 0, 0
0.0384474, 0, 7.03966e-23, 0, 1.41421, -7.03966e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59708e-24, 0, 0, 1.5998e-28, 0, 4.66592e-26, 0, 6.77527e-23, 0, 0, 0
0.0463318, 0, 2.19369e-22, 0, 1.41421, -2.19369e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09273e-24, 0, 0, 5.09847e-28, 0, 1.53126e-25, 0, 2.11123e-22, 0, 0, 0
0.0542162, 0, 5.84123e-22, 0, 1.41421, -5.84123e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15484e-23, 0, 0, 1.37463e-27, 0, 4.18722e-25, 0, 5.62155e-22, 0, 0, 0
0.0621006, 0, 1.51955e-21, 0, 1.41421, -1.51955e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.60554e-23, 0, 0, 3.62072e-27, 0, 1.11634e-24, 0, 1.46237e-21, 0, 0, 0
0.069985, 0, 3.86888e-21, 0, 1.41421, -3.86888e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42719e-22, 0, 0, 9.33415e-27, 0, 2.90823e-24, 0, 3.72325e-21, 0, 0, 0
0.0778693, 0, 9.6552e-21, 0, 1.41421, -9.6552e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56164e-22, 0, 0, 2.35877e-26, 0, 7.41666e-24, 0, 9.2916e-21, 0, 0, 0
0.0857537, 0, 2.36476e-20, 0, 1.41421, -2.36476e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72304e-22, 0, 0, 5.85041e-26, 0, 1.85433e-23, 0, 2.27566e-20, 0, 0, 0
0.0936381, 0, 5.69017e-20, 0, 1.41421, -5.69017e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.09894e-21, 0, 0, 1.42579e-25, 0, 4.5511e-23, 0, 5.47571e-20, 0, 0, 0
