   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_328.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0364949, 656, 0, 0, 25.6515, 656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0286068, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0207187, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0128307, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00494259, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00294548, 0, 2.64749e-24, 0, 1.41421, -2.64749e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.42352e-30, 0, 0, 2.64749e-24, 0, 0, 0
0.0108336, 0, 8.51119e-24, 0, 1.41421, -8.51119e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11026e-29, 0, 0, 8.51118e-24, 0, 0, 0
0.0187216, 0, 3.07274e-23, 0, 1.41421, -3.07274e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.06974e-29, 0, 0, 3.07274e-23, 0, 0, 0
0.0266097, 0, 8.79421e-23, 0, 1.41421, -8.79421e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17423e-28, 0, 0, 8.7942e-23, 0, 0, 0
0.0344978, 0, 2.44063e-22, 0, 1.41421, -2.44063e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28543e-28, 0, 0, 2.44063e-22, 0, 0, 0
0.0423859, 0, 6.59033e-22, 0, 1.41421, -6.59033e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94492e-28, 0, 0, 6.59032e-22, 0, 0, 0
0.0502739, 0, 1.73599e-21, 0, 1.41421, -1.73599e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37605e-27, 0, 0, 1.73599e-21, 0, 0, 0
0.058162, 0, 4.47029e-21, 0, 1.41421, -4.47029e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17106e-27, 0, 0, 4.47029e-21, 0, 0, 0
0.0660501, 0, 1.12726e-20, 0, 1.41421, -1.12726e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56982e-26, 0, 0, 1.12726e-20, 0, 0, 0
0.0739381, 0, 2.78762e-20, 0, 1.41421, -2.78762e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91704e-26, 0, 0, 2.78762e-20, 0, 0, 0
0.0818262, 0, 6.76863e-20, 0, 1.41421, -6.76863e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.59903e-26, 0, 0, 6.76862e-20, 0, 0, 0
0.0897143, 0, 1.61539e-19, 0, 1.41421, -1.61539e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3127e-25, 0, 0, 1.61539e-19, 0, 0, 0
0.0976024, 0, 3.79279e-19, 0, 1.41421, -3.79279e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.48317e-25, 0, 0, 3.79278e-19, 0, 0, 0
0.10549, 0, 8.76776e-19, 0, 1.41421, -8.76776e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28032e-24, 0, 0, 8.76775e-19, 0, 0, 0
0.113379, 0, 1.99694e-18, 0, 1.41421, -1.99694e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94632e-24, 0, 0, 1.99694e-18, 0, 0, 0
0.121267, 0, 4.48391e-18, 0, 1.41421, -4.48391e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.68636e-24, 0, 0, 4.4839e-18, 0, 0, 0
0.129155, 0, 9.93098e-18, 0, 1.41421, -9.93098e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49721e-23, 0, 0, 9.93097e-18, 0, 0, 0
0.137043, 0, 2.17059e-17, 0, 1.41421, -2.17059e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30957e-23, 0, 0, 2.17059e-17, 0, 0, 0
0.144931, 0, 4.68379e-17, 0, 1.41421, -4.68379e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2251e-23, 0, 0, 4.68378e-17, 0, 0, 0
0.152819, 0, 9.98189e-17, 0, 1.41421, -9.98189e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55836e-22, 0, 0, 9.98188e-17, 0, 0, 0
0.160707, 0, 2.10169e-16, 0, 1.41421, -2.10169e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32194e-22, 0, 0, 2.10169e-16, 0, 0, 0
0.168595, 0, 4.37318e-16, 0, 1.41421, -4.37318e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.00092e-22, 0, 0, 4.37317e-16, 0, 0, 0
0.176483, 0, 8.99527e-16, 0, 1.41421, -8.99527e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45908e-21, 0, 0, 8.99525e-16, 0, 0, 0
0.184371, 0, 1.82946e-15, 0, 1.41421, -1.82946e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00799e-21, 0, 0, 1.82946e-15, 0, 0, 0
0.192259, 0, 3.67979e-15, 0, 1.41421, -3.67979e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13546e-21, 0, 0, 3.67979e-15, 0, 0, 0
0.200147, 0, 7.32148e-15, 0, 1.41421, -7.32148e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23847e-20, 0, 0, 7.32147e-15, 0, 0, 0
0.208035, 0, 1.44122e-14, 0, 1.41421, -1.44122e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.47446e-20, 0, 0, 1.44122e-14, 0, 0, 0
0.215923, 0, 2.80729e-14, 0, 1.41421, -2.80729e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89447e-20, 0, 0, 2.80728e-14, 0, 0, 0
0.223812, 0, 5.41175e-14, 0, 1.41421, -5.41175e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.58601e-20, 0, 0, 5.41174e-14, 0, 0, 0
0.2317, 0, 1.03262e-13, 0, 1.41421, -1.03262e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85928e-19, 0, 0, 1.03262e-13, 0, 0, 0
0.239588, 0, 1.95053e-13, 0, 1.41421, -1.95053e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57197e-19, 0, 0, 1.95053e-13, 0, 0, 0
0.247476, 0, 3.64776e-13, 0, 1.41421, -3.64776e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.7984e-19, 0, 0, 3.64775e-13, 0, 0, 0
0.255364, 0, 6.7547e-13, 0, 1.41421, -6.7547e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28204e-18, 0, 0, 6.75468e-13, 0, 0, 0
0.263252, 0, 1.23861e-12, 0, 1.41421, -1.23861e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39584e-18, 0, 0, 1.23861e-12, 0, 0, 0
0.27114, 0, 2.25279e-12, 0, 1.41421, -2.25279e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.4502e-18, 0, 0, 2.25279e-12, 0, 0, 0
0.279028, 0, 4.05105e-12, 0, 1.41421, -4.05105e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.16929e-18, 0, 0, 4.05105e-12, 0, 0, 0
0.286916, 0, 7.21592e-12, 0, 1.41421, -7.21592e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48701e-17, 0, 0, 7.21591e-12, 0, 0, 0
