   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_332.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0322908, 664, 0, 0, 25.807, 664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0244072, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0165235, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00863983, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000756158, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00712751, 0, 2.81731e-23, 0, 1.41421, -2.81731e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15408e-25, 0, 0, 0, 2.80577e-23, 0, 0, 0
0.0150112, 0, 7.53639e-23, 0, 1.41421, -7.53639e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0872e-25, 0, 0, 0, 7.50551e-23, 0, 0, 0
0.0228948, 0, 1.96634e-22, 0, 1.41421, -1.96634e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05493e-25, 0, 0, 0, 1.95829e-22, 0, 0, 0
0.0307785, 0, 5.01532e-22, 0, 1.41421, -5.01532e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05447e-24, 0, 0, 0, 4.99478e-22, 0, 0, 0
0.0386622, 0, 1.25277e-21, 0, 1.41421, -1.25277e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13183e-24, 0, 0, 0, 1.24764e-21, 0, 0, 0
0.0465459, 0, 3.06926e-21, 0, 1.41421, -3.06926e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25729e-23, 0, 0, 0, 3.05669e-21, 0, 0, 0
0.0544295, 0, 7.38488e-21, 0, 1.41421, -7.38488e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02514e-23, 0, 0, 0, 7.35463e-21, 0, 0, 0
0.0623132, 0, 1.74689e-20, 0, 1.41421, -1.74689e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.15594e-23, 0, 0, 0, 1.73973e-20, 0, 0, 0
0.0701969, 0, 4.06637e-20, 0, 1.41421, -4.06637e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66575e-22, 0, 0, 0, 4.04971e-20, 0, 0, 0
0.0780805, 0, 9.3222e-20, 0, 1.41421, -9.3222e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81874e-22, 0, 0, 0, 9.28401e-20, 0, 0, 0
0.0859642, 0, 2.10623e-19, 0, 1.41421, -2.10623e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.62796e-22, 0, 0, 0, 2.09761e-19, 0, 0, 0
0.0938479, 0, 4.69288e-19, 0, 1.41421, -4.69288e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92239e-21, 0, 0, 0, 4.67365e-19, 0, 0, 0
0.101732, 0, 1.0317e-18, 0, 1.41421, -1.0317e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22627e-21, 0, 0, 0, 1.02748e-18, 0, 0, 0
0.109615, 0, 2.23904e-18, 0, 1.41421, -2.23904e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.17199e-21, 0, 0, 0, 2.22987e-18, 0, 0, 0
0.117499, 0, 4.79895e-18, 0, 1.41421, -4.79895e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96584e-20, 0, 0, 0, 4.77929e-18, 0, 0, 0
0.125383, 0, 1.01619e-17, 0, 1.41421, -1.01619e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16274e-20, 0, 0, 0, 1.01203e-17, 0, 0, 0
0.133266, 0, 2.12668e-17, 0, 1.41421, -2.12668e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.71172e-20, 0, 0, 0, 2.11797e-17, 0, 0, 0
0.14115, 0, 4.40005e-17, 0, 1.41421, -4.40005e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80243e-19, 0, 0, 0, 4.38203e-17, 0, 0, 0
0.149034, 0, 9.00251e-17, 0, 1.41421, -9.00251e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.68778e-19, 0, 0, 0, 8.96563e-17, 0, 0, 0
